cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,local_risk,strong_fixed_alpha,strong_fixed_risk,phase_early_alpha,phase_late_alpha,phase_risk,safe_risk,safe_charged_shadow_risk,safe_to_local_ratio,safe_to_fixed_ratio,phase_to_fixed_ratio,safe_checkpoint_valid,safe_early_alpha_mean,safe_late_alpha_mean,safe_uses_nonzero,safe_uses_shadow,safe_environment_used,safe_message_used
H0-I0.5-N1-S0.9-T0-D0,0.0,0.5,1.0,0.9,0.0,0,0.020408163975126216,1.0,0.018877551734960394,0.0,1.0,0.018877551734960394,0.018877552923783302,0.020408165156076127,0.925000061092784,1.0000000629754815,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N1-S0.9-T0-D1,0.0,0.5,1.0,0.9,0.0,1,0.020408163975126216,0.5,0.01588424675069333,0.5,0.5,0.01588424675069333,0.01643771431496975,0.020408165156076127,0.8054479734190831,1.0348438029806015,1.0,True,0.4166666666666667,0.5,True,False,240,18
H0-I0.5-N1-S0.9-T0-D3,0.0,0.5,1.0,0.9,0.0,3,0.020408163975126216,0.5,0.011080818921663491,0.5,0.5,0.011080818921663491,0.011293088125073698,0.020408165156076127,0.5533612988820497,1.0191564544922949,1.0,True,0.3333333333333333,0.5,True,False,240,17
H0-I0.5-N1-S0.9-T0.6-D0,0.0,0.5,1.0,0.9,0.6,0,0.06598357346166561,1.0,0.06103480551000934,0.0,1.0,0.06103480551000934,0.059428618359005855,0.06424715481577618,0.90065777346133,0.9736840784928842,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N1-S0.9-T0.6-D1,0.0,0.5,1.0,0.9,0.6,1,0.06598357346166561,0.5,0.051356842691629656,0.5,0.5,0.051356842691629656,0.05270514497103819,0.06424715481577618,0.7987616039264412,1.026253605337547,1.0,True,0.5,0.5,True,False,240,18
H0-I0.5-N1-S0.9-T0.6-D3,0.0,0.5,1.0,0.9,0.6,3,0.06598357346166561,0.5,0.03580407775564884,0.5,0.5,0.03580407775564884,0.03599880062801127,0.06424715481577618,0.545572158939307,1.0054385669054613,1.0,True,0.4166666666666667,0.5,True,False,240,18
H0-I0.5-N1-S0.9-T0.9-D0,0.0,0.5,1.0,0.9,0.9,0,0.14676403925298642,1.0,0.1357567363669811,0.0,1.0,0.1357567363669811,0.12577146334849995,0.13596914939901306,0.8569637629807922,0.9264473109349896,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N1-S0.9-T0.9-D1,0.0,0.5,1.0,0.9,0.9,1,0.14676403925298642,0.5,0.1142305031857272,0.5,0.5,0.1142305031857272,0.11546812995160634,0.13596914939901306,0.7867603708601032,1.0108344683019288,1.0,True,0.5,0.5,True,False,240,18
H0-I0.5-N1-S0.9-T0.9-D3,0.0,0.5,1.0,0.9,0.9,3,0.14676403925298642,0.5,0.07962499756721034,0.5,0.5,0.07962499756721034,0.07804081928763355,0.13596914939901306,0.5317434685284839,0.9801045107946207,1.0,True,0.5,0.5,True,False,240,18
H0-I1.5-N0.1-S0-T0-D0,0.0,1.5,0.1,0.0,0.0,0,0.0020408232764582107,1.0,0.0005102110362923873,0.0,1.0,0.0005102110362923873,0.0005102226069771775,0.0020408348392700016,0.2500082260246727,1.0000226782330588,1.0,True,1.0,1.0,True,False,240,18
H0-I1.5-N0.1-S0-T0-D1,0.0,1.5,0.1,0.0,0.0,1,0.0020408232764582107,1.0,0.0005111367514482224,0.0,1.0,0.0005102846198298774,0.0005103883818175737,0.0020408348392700016,0.25008945541984307,0.9985358719979961,0.9983328695971663,True,0.25,1.0,True,False,240,16
H0-I1.5-N0.1-S0-T0-D3,0.0,1.5,0.1,0.0,0.0,3,0.0020408232764582107,0.5,0.0007509203721322986,0.0,0.75,0.0004180702228129127,0.0004394870422075531,0.0020408348392700016,0.21534791732200842,0.5852645080857167,0.5567437485092711,True,0.16666666666666666,0.75,True,False,240,16
H0-I1.5-N0.1-S0-T0.6-D0,0.0,1.5,0.1,0.0,0.6,0,0.006598364225112152,1.0,0.0016495962734558727,0.0,1.0,0.0016495962734558727,0.0016061973484696789,0.006424733805240008,0.24342356585239555,0.973691183906912,1.0,True,1.0,1.0,True,False,240,18
H0-I1.5-N0.1-S0-T0.6-D1,0.0,1.5,0.1,0.0,0.6,1,0.006598364225112152,1.0,0.0016505215197293024,0.25,1.0,0.001649613139568066,0.001649935194665916,0.006424733805240008,0.25005215510634715,0.9996447637571653,0.9994496405224783,True,0.5,1.0,True,False,240,17
H0-I1.5-N0.1-S0-T0.6-D3,0.0,1.5,0.1,0.0,0.6,3,0.006598364225112152,0.5,0.0022265296915284817,0.0,0.75,0.0013441803282748582,0.0013724357433731512,0.006424733805240008,0.2079963603933707,0.6164012762079958,0.6037109378730526,True,0.25,0.75,True,False,240,16
