persistence,rho,delay,seed,decision,alpha_m,transitions_before,persistence_upper,certified_upper,covered_so_far,remaining_before,block_budget,gap,num_agents,eta,updates,observations,exact_radius
0.9,0.9,2,115,9,0.00011111111111111112,11169,0.9070200809169596,0.908,True,3872,2000,19,1,0.027982107348404114,71,1361,0.9641716567689474
0.9,0.9,2,115,10,9.090909090909092e-05,12530,0.9060248510395186,0.907,True,1872,1872,19,1,0.02798015432111208,66,1278,0.9641740838377505
0.9,0.9,2,116,1,0.005,128,0.9703412808711063,0.971,True,19872,2000,55,1,0.026215205989270303,31,1721,0.9663393746397033
0.9,0.9,2,116,2,0.0016666666666666668,1849,0.9159247673837787,0.916,True,17872,2000,20,1,0.027493189095508217,68,1388,0.9647722046112261
0.9,0.9,2,116,3,0.0008333333333333334,3237,0.9149218952434917,0.915,True,15872,2000,20,1,0.027642755388030748,68,1388,0.9645860431516595
0.9,0.9,2,116,4,0.0005,4625,0.9148711199008248,0.915,True,13872,2000,19,1,0.027115764842166438,71,1361,0.9652495208624575
0.9,0.9,2,116,5,0.0003333333333333333,5986,0.9147125643040573,0.915,True,11872,2000,20,1,0.027670127532649212,68,1388,0.9645519816737037
0.9,0.9,2,116,6,0.0002380952380952381,7374,0.9122454223350409,0.913,True,9872,2000,20,1,0.02792082328074049,68,1388,0.9642401345619569
0.9,0.9,2,116,7,0.00017857142857142857,8762,0.9104641255105173,0.911,True,7872,2000,19,1,0.027671237876558532,71,1361,0.9645581408295313
0.9,0.9,2,116,8,0.0001388888888888889,10123,0.9107404676560822,0.911,True,5872,2000,20,1,0.028137840981297638,68,1388,0.9639703483232218
0.9,0.9,2,116,9,0.00011111111111111112,11511,0.9100462995392383,0.911,True,3872,2000,19,1,0.027633926752982752,71,1361,0.9646045489302355
0.9,0.9,2,116,10,9.090909090909092e-05,12872,0.9090546570493019,0.91,True,1872,1872,19,1,0.027645274111062226,66,1278,0.964590434438482
0.9,0.9,2,117,1,0.005,128,0.9390717838608685,0.94,True,19872,2000,29,1,0.027597396593680698,52,1532,0.9646168668300654
0.9,0.9,2,117,2,0.0016666666666666668,1660,0.9177035416576231,0.918,True,17872,2000,20,1,0.02721740729503613,68,1388,0.9651156553263588
0.9,0.9,2,117,3,0.0008333333333333334,3048,0.9195893275556463,0.92,True,15872,2000,22,1,0.02792379593308588,64,1424,0.9642254459833869
0.9,0.9,2,117,4,0.0005,4472,0.9154825960636752,0.916,True,13872,2000,19,1,0.026967719247500566,71,1361,0.9654339595684516
0.9,0.9,2,117,5,0.0003333333333333333,5833,0.9121375512570771,0.913,True,11872,2000,19,1,0.027406060721172812,71,1361,0.964888071819584
0.9,0.9,2,117,6,0.0002380952380952381,7194,0.9113480470377807,0.912,True,9872,2000,20,1,0.028035033224699517,68,1388,0.9640981346383568
0.9,0.9,2,117,7,0.00017857142857142857,8582,0.9125506174328116,0.913,True,7872,2000,19,1,0.027414040264830897,71,1361,0.9648781403566423
0.9,0.9,2,117,8,0.0001388888888888889,9943,0.911505253479694,0.912,True,5872,2000,20,1,0.02802820182284985,68,1388,0.9641066270663489
0.9,0.9,2,117,9,0.00011111111111111112,11331,0.9102076417940287,0.911,True,3872,2000,19,1,0.027633926752982752,71,1361,0.9646045489302355
0.9,0.9,2,117,10,9.090909090909092e-05,12692,0.9098652906986947,0.91,True,1872,1872,19,1,0.027645274111062226,66,1278,0.964590434438482
0.9,0.9,2,118,1,0.005,128,0.9552627915901846,0.956,True,19872,2000,40,1,0.027556714170093647,40,1640,0.9646640043972029
0.9,0.9,2,118,2,0.0016666666666666668,1768,0.9238025177327536,0.924,True,17872,2000,21,1,0.026838182647085138,66,1406,0.9655827144075207
