persistence,rho,delay,seed,simultaneous_coverage,largest_action_radius,online_error,oracle_error,static_error,worst_mixing_error,online_to_oracle,first_updating_gap,final_gap,median_selected_q,final_transition_count
0.5,0.0,0,0,True,0.9721177922174531,0.0002974914074100261,0.0002495536009429936,2.6248918393887767e-05,7.655341239517966e-05,1.1920942285981402,2,3,32.0,1784
0.5,0.0,0,1,True,0.9707616224721032,0.00029760980802887623,0.0002495536009429936,2.5645209114101912e-05,7.655341239517966e-05,1.1925686782490479,4,3,32.0,1944
0.5,0.0,0,2,True,0.9708392778117872,0.00029812236444185625,0.0002495536009429936,2.564707480545263e-05,7.655341239517966e-05,1.1946225713246965,4,3,32.0,1904
0.5,0.0,0,3,True,0.969773921672583,0.00029820906813712075,0.0002495536009429936,2.624948907750232e-05,7.655341239517966e-05,1.1949700064846656,6,3,32.0,2024
0.5,0.0,0,4,True,0.9716383759939653,0.0002861350549617852,0.0002495536009429936,2.6248245363399168e-05,7.655341239517966e-05,1.1465875622734372,3,2,32.0,1592
0.5,0.0,0,5,True,0.9704513333246538,0.00029880769757288325,0.0002495536009429936,2.5659117558966088e-05,7.655341239517966e-05,1.1973688075177922,4,3,32.0,2024
0.5,0.0,0,6,True,0.9701922368925227,0.00030098743546758355,0.0002495536009429936,2.6247318318440787e-05,7.655341239517966e-05,1.2061033554724747,5,3,32.0,2064
0.5,0.0,0,7,True,0.9708949708778352,0.0002874425766004176,0.0002495536009429936,2.5650389142867632e-05,7.655341239517966e-05,1.1518270043559864,4,2,32.0,1712
0.5,0.0,0,8,True,0.9709825274717332,0.0002881700080771723,0.0002495536009429936,2.564794579886388e-05,7.655341239517966e-05,1.1547419351524404,4,2,32.0,1632
0.5,0.0,0,9,True,0.9707616224721032,0.0002991610152237509,0.0002495536009429936,2.5646204243406684e-05,7.655341239517966e-05,1.1987846061659886,4,3,32.0,2024
0.5,0.0,0,10,True,0.9708949708778352,0.0002977401760929872,0.0002495536009429936,2.566013843623797e-05,7.655341239517966e-05,1.193091083309998,4,3,32.0,1864
0.5,0.0,0,11,True,0.9704513333246538,0.0002999868950495561,0.0002495536009429936,2.56450727986891e-05,7.655341239517966e-05,1.202094034772446,4,3,32.0,1904
0.5,0.0,0,12,True,0.971014821604848,0.00029754915755785655,0.0002495536009429936,2.5649908443338893e-05,7.655341239517966e-05,1.1923256424010757,4,3,32.0,1824
0.5,0.0,0,13,True,0.9714703836014498,0.0002988076746244585,0.0002495536009429936,2.6247754133683694e-05,7.655341239517966e-05,1.1973687155598935,3,3,32.0,1784
0.5,0.0,0,14,True,0.9695141170656112,0.00029829936398813306,0.0002495536009429936,2.5070249875145815e-05,7.655341239517966e-05,1.1953318359700793,6,3,32.0,2064
0.5,0.0,0,15,True,0.971377653906289,0.00029829935606071935,0.0002495536009429936,2.6247411279337214e-05,7.655341239517966e-05,1.1953318042037024,3,3,32.0,1784
0.5,0.0,0,16,True,0.970118496409705,0.00029812236580166294,0.0002495536009429936,2.6248315692827037e-05,7.655341239517966e-05,1.194622576773653,5,3,32.0,1904
0.5,0.0,0,17,True,0.9705676089836552,0.00029859267774609495,0.0002495536009429936,2.564828398846228e-05,7.655341239517966e-05,1.1965071897091297,4,3,32.0,1864
0.5,0.0,0,18,True,0.971377653906289,0.0002889478355427895,0.0002495536009429936,2.5650902550853533e-05,7.655341239517966e-05,1.1578588104957652,3,2,32.0,1712
0.5,0.0,0,19,True,0.9714703836014498,0.00029803920696087004,0.0002495536009429936,2.5652032381550828e-05,7.655341239517966e-05,1.194289346395575,3,3,32.0,1784
0.5,0.0,0,20,True,0.9714703836014498,0.0002861350562843905,0.0002495536009429936,2.564548730254201e-05,7.655341239517966e-05,1.1465875675733217,3,2,32.0,1672
0.5,0.0,0,21,True,0.9706796525142437,0.0002988076781683231,0.0002495536009429936,2.624728913302172e-05,7.655341239517966e-05,1.1973687297607087,4,3,32.0,1824
0.5,0.0,0,22,True,0.9708949708778352,0.0002885526165816074,0.0002495536009429936,2.56572273729526e-05,7.655341239517966e-05,1.1562751067956838,4,2,32.0,1832
0.5,0.0,0,23,True,0.969773921672583,0.0002981223595708898,0.0002495536009429936,2.5653309670537548e-05,7.655341239517966e-05,1.194622551805978,6,3,32.0,1944
0.5,0.0,0,24,True,0.9709825274717332,0.00029788308625686426,0.0002495536009429936,2.624724189981093e-05,7.655341239517966e-05,1.1936637465107574,4,3,32.0,1864
0.5,0.0,0,25,True,0.971377653906289,0.0002978100181871266,0.0002495536009429936,2.6247570232247175e-05,7.655341239517966e-05,1.1933709514179935,3,3,32.0,1784
0.5,0.0,0,26,True,0.9707616224721032,0.0002982993778695524,0.0002495536009429936,2.6247206943699805e-05,7.655341239517966e-05,1.1953318915950804,4,3,32.0,1904
