rho,num_agents,max_delay,selected_max_delay,active_delay_groups,mean_boundary,joint_eta,exact_boundary,below_eta,below_radius,below_residual,above_eta,above_radius,above_residual,joint_radius,joint_residual,operator_dimension,operator_evaluations,joint_to_exact_ratio,exact_to_mean_ratio
0.0,16,0,0,1,4.2098115147650255,0.4373927810905379,3.156079708004804,3.15590075681858,0.9998512541429032,4.0231551466656796e-15,3.156258661305854,1.0001271518244965,1.9622022712895816e-16,0.9144468011390675,1.7954560735938015e-15,16,42,0.1385873683675267,0.7496962030094508
0.9,16,0,0,1,4.2098115147650255,0.0679609250345928,0.5111301396639043,0.5110973923758587,0.9999796426773886,1.7129530973751712e-15,0.5111628876710639,1.0000186023380055,4.326086685395704e-16,0.9864638421528629,1.1334006493238694e-15,16,37,0.13296207709308785,0.12141402005083202
0.0,16,8,3,4,4.115057114511728,0.4363488632302189,2.3440330512840317,2.343901989895908,0.9999634854687234,1.3607553328151893e-14,2.344164114058198,1.0000315161274893,1.3664694858402389e-14,0.9105698427060902,2.399713688245238e-12,256,41,0.18615303354668675,0.5696234550470298
0.9,16,8,3,4,4.115057114511728,0.06793567174124356,0.5086885795299738,0.5086560999057834,0.9999864383374542,2.015612151823435e-12,0.5087210598587192,1.0000155299349665,2.014634425015655e-12,0.9863760906965664,1.3705714164643444e-14,256,37,0.13355061323377035,0.12361640807756619
0.0,16,32,12,13,1.2931845703348515,0.3543562147008278,1.0143130748321334,1.0142564339510944,0.9999934193643136,6.195591060679916e-11,1.0143697163057246,1.0000063737388323,6.212753733820096e-11,0.9103042251106438,7.573147119991781e-11,2704,42,0.34935585815994036,0.7843529053006654
0.9,16,32,12,13,1.2931845703348515,0.06557341714513457,0.4290422769109462,0.42901498275888933,0.999993300765081,1.1226581962993216e-11,0.42906957164723625,1.0000066492607318,1.1079478547958746e-11,0.986466026689756,7.596102955225613e-12,2704,39,0.15283672652787375,0.331771880637156
0.0,32,0,0,1,4.2098115147650255,0.5476125865680102,3.71292265210492,3.7127162824676523,0.99981315832923,1.483522064886205e-15,3.713129023814643,1.0001743197524844,5.862602255363654e-16,0.8934822455315345,7.653274731824698e-16,16,42,0.14748828291846022,0.8819688575326062
0.9,32,0,0,1,4.2098115147650255,0.0681741968826708,0.5127416826072521,0.5127088524145796,0.9999807488377414,2.9118574237771883e-15,0.5127745135192713,1.0000198103669438,6.687840414024264e-16,0.9864215025517796,2.9011146445979187e-15,16,37,0.13296012240707689,0.1217968264871049
0.0,32,8,8,9,2.1034893587976695,0.48450346515727244,1.6944478029918708,1.6943532734767024,0.9999908068148655,8.105376389965075e-11,1.694542333487801,1.0000100961609248,8.104136081504414e-11,0.8848951394797727,9.337252893739278e-13,1296,42,0.28593590448864176,0.805541419025955
0.9,32,8,8,9,2.1034893587976695,0.06708632967038644,0.4731333919222297,0.4731037004517682,0.9999894976347499,8.332800474127714e-12,0.4731630839962015,1.0000077661734976,8.333584059100513e-12,0.9863471537327697,8.931131631212936e-15,1296,38,0.14179157678520737,0.22492787517245505
0.0,32,32,32,29,0.5345835420861842,0.2890855861645199,0.5345622772024297,0.5345264372749069,0.9999979794277483,9.979615416872879e-11,0.5345981180411793,1.0000020173506943,3.5406889442120106e-11,0.9783563220967452,6.609390528693169e-11,17424,40,0.5407893495167975,0.9999602215891803
0.9,32,32,32,29,0.5345835420861842,0.061344496040986844,0.3131750699607096,0.3131522352701734,0.9999975280471277,5.3762610595707965e-11,0.31319790536887543,1.0000036463096325,2.8243573291779026e-11,0.9865645996989438,5.657313011639017e-11,17424,39,0.1958792443111229,0.5858299878416764
