persistence,rho,seed,decision,persistence_upper,certified_persistence,rho_upper_before,gap,probes,collision_trials,collisions,cumulative_tv_bias,p_trials,jointly_covered_so_far,spent
0.5,0.0,20270203,9,0.5425206569707361,0.544,0.25857803744668373,3,153,1367,726,4.9333348304317095,4458,True,18128
0.5,0.0,20270203,10,0.536568741286606,0.538,0.2414661766561903,2,156,1523,815,6.28491883043178,4770,True,20000
0.5,0.0,20270204,1,0.6637015798253265,0.664,1.0,5,133,133,69,0.7573770108764154,798,True,2128
0.5,0.0,20270204,2,0.5889014649864928,0.59,0.5329627919674704,3,153,286,142,2.0958210108764144,1268,True,4128
0.5,0.0,20270204,3,0.5674821845566518,0.5680000000000001,0.35354799644417145,3,153,439,223,2.6731181628764036,1738,True,6128
0.5,0.0,20270204,4,0.5634437150000393,0.5640000000000001,0.3142095071630273,3,153,592,295,3.154414546876372,2208,True,8128
0.5,0.0,20270204,5,0.5531765170822349,0.554,0.2577039501058267,3,153,745,355,3.4435184508763985,2678,True,10128
0.5,0.0,20270204,6,0.5482908003735254,0.55,0.18824651853306862,3,153,898,422,3.673018450876407,3148,True,12128
0.5,0.0,20270204,7,0.5483748431257003,0.55,0.15589053942601572,3,153,1051,503,3.902518450876416,3618,True,14128
0.5,0.0,20270204,8,0.5485229135756382,0.55,0.15828249594934896,3,153,1204,586,4.132018450876425,4088,True,16128
0.5,0.0,20270204,9,0.5458233274646127,0.546,0.16247812856401733,3,153,1357,674,4.310727346876397,4558,True,18128
0.5,0.0,20270204,10,0.5457613121182814,0.546,0.1723596787781312,3,144,1501,747,4.478923954876371,4990,True,20000
0.5,0.0,20270205,1,0.649161317137962,0.65,1.0,5,133,133,66,0.4847850000000011,798,True,2128
0.5,0.0,20270205,2,0.5741185025896314,0.5760000000000001,0.48375088202947913,3,153,286,148,1.2907449359999983,1268,True,4128
0.5,0.0,20270205,3,0.5682617624773627,0.5700000000000001,0.3898761357806999,3,153,439,229,1.9204929359999996,1738,True,6128
0.5,0.0,20270205,4,0.5668617336554604,0.5680000000000001,0.33811554257589105,3,153,592,301,2.497790087999989,2208,True,8128
0.5,0.0,20270205,5,0.5545255642254718,0.556,0.2757558945015146,3,153,745,377,2.8202210640000036,2678,True,10128
0.5,0.0,20270205,6,0.554227944288791,0.556,0.24563363964212526,3,153,898,459,3.1426520400000184,3148,True,12128
0.5,0.0,20270205,7,0.5483748431257003,0.55,0.23711466768687028,3,153,1051,533,3.372152040000027,3618,True,14128
0.5,0.0,20270205,8,0.5523708177647608,0.554,0.21436172256994568,3,153,1204,610,3.661255944000054,4088,True,16128
