persistence,rho,seed,joint_simultaneous_coverage,final_p_upper,final_rho_upper,collision_upper,hoeffding_radius,average_tv_bias,collision_trials,p_trials,d0_q,d0_gap,d0_eta,d0_updates,d0_exact_radius,d2_q,d2_gap,d2_eta,d2_updates,d2_exact_radius
0.5,0.0,20270201,True,0.5375151852766,0.1872766570736295,0.5936383285368148,0.0818703945163691,0.005214854072870254,1526,4740,8,2,0.008402699548726463,1111,0.9891297704961142,1,2,0.024720409101389576,1818,0.9682130587589884
0.5,0.0,20270202,True,0.5392675480622551,0.14025539165049006,0.570127695825245,0.08248269423054884,0.0026350082569213573,1501,4990,8,2,0.008505556771335762,1111,0.9889984096491323,1,2,0.024741057955819115,1818,0.9681871300731187
0.5,0.0,20270203,True,0.5321604087323355,0.24239562437428042,0.6211978121871402,0.08194310514155151,0.004126670276055009,1523,4770,4,2,0.006432049021148654,1428,0.9916576020065397,1,2,0.02467999126559728,1818,0.9682638149462569
0.5,0.0,20270204,True,0.5470511232843254,0.1662697508260229,0.5831348754130115,0.08248269423054884,0.002983959996586523,1501,4990,8,3,0.008754488881424298,1052,0.9886806641835149,1,2,0.024822916027938464,1818,0.9680843536983136
0.5,0.0,20270205,True,0.5456546341100981,0.19246094106869283,0.5962304705343464,0.08248269423054884,0.0027551047514990483,1501,4990,8,2,0.008469480230095678,1111,0.9890444789769252,1,2,0.02480291064425828,1818,0.9681094694862682
0.5,0.0,20270206,True,0.5310837117933798,0.11119913993404595,0.555599569967023,0.08094351731421866,0.005007490352484845,1565,4350,8,2,0.008547414856410146,1111,0.9889449637004493,2,2,0.027639802787897003,1666,0.9642922397281545
0.5,0.0,20270207,True,0.5281867048396489,0.18158748683359005,0.590793743416795,0.08064192055639288,0.005082114368640457,1578,4220,8,2,0.00834947861229249,1111,0.9891977560848997,1,2,0.024641631602865092,1818,0.9683119909949707
0.5,0.0,20270208,True,0.5371338356645479,0.18333839029299814,0.5916691951464991,0.08196738788102728,0.0031315050315690084,1522,4780,8,2,0.008402699548726463,1111,0.9891297704961142,1,2,0.024720409101389576,1818,0.9682130587589884
0.5,0.0,20270209,True,0.5366741636916215,0.18181165610706929,0.5909058280535346,0.0818703945163691,0.004448277573862811,1526,4740,8,2,0.008402699548726463,1111,0.9891297704961142,1,2,0.024720409101389576,1818,0.9682130587589884
0.5,0.0,20270210,True,0.5396932968523132,0.17482414083676723,0.5874120704183836,0.08268174133183308,0.0023860558112659015,1493,5070,8,2,0.008460463629289898,1111,0.9890559938630339,1,2,0.024741057955819115,1818,0.9681871300731187
0.5,0.0,20270211,True,0.535919030388017,0.15508577866516715,0.5775428893325836,0.08143841471873291,0.00517183212680405,1544,4560,8,2,0.008475224507717616,1111,0.989037143261699,1,2,0.02470000655683848,1818,0.968238679399643
0.5,0.0,20270212,True,0.5335530424876063,0.1573953995116697,0.5786976997558348,0.08155767867094924,0.003962633170655576,1539,4610,8,2,0.00846133527542685,1111,0.9890548806907089,1,2,0.02467999126559728,1818,0.9682638149462569
0.5,0.0,20270213,True,0.530672993152898,0.13419089374257798,0.567095446871289,0.08108393604640125,0.00493389696985249,1559,4410,8,2,0.008496085347090027,1111,0.9890105040587999,1,2,0.024660492537858365,1818,0.9682883029278552
0.5,0.0,20270214,True,0.5357137333874638,0.16319757559686754,0.5815987877984338,0.08194310514155151,0.005236772610920329,1523,4770,8,2,0.008430327181230154,1111,0.989094482697613,1,2,0.02470000655683848,1818,0.968238679399643
0.5,0.0,20270215,True,0.5203314124287595,0.18165634169711264,0.5908281708485563,0.080827092847152,0.004905536600130511,1570,4300,8,2,0.008309275234446165,1111,0.9892491200637699,1,2,0.024574610660908332,1818,0.9683961733324369
0.5,0.0,20270216,True,0.5172233370927177,0.15971111013620942,0.5798555550681047,0.07984742080491329,0.004657855279930506,1613,3870,8,2,0.008379810386165585,1111,0.9891590082630807,2,2,0.027583677516573875,1666,0.9643633847512353
0.5,0.0,20270217,True,0.5302659009630826,0.17480215674177568,0.5874010783708878,0.08177376670330758,0.004320122125096613,1530,4700,8,2,0.008403561923233847,1111,0.9891286689707492,1,2,0.024660492537858365,1818,0.9682883029278552
0.5,0.0,20270218,True,0.5377920589432064,0.1595224210133026,0.5797612105066513,0.08206474914169726,0.004284076648221455,1518,4820,8,2,0.008489962131939833,1111,0.989018323202935,1,2,0.024720409101389576,1818,0.9682130587589884
0.5,0.0,20270219,True,0.5330743894601724,0.17555841237668735,0.5877792061883437,0.08233440896264167,0.004449442215748542,1507,4930,8,2,0.00841652772425459,1111,0.9891121078851755,1,2,0.02467999126559728,1818,0.9682638149462569
0.5,0.0,20270220,True,0.5255010814693777,0.13656829446226548,0.5682841472311327,0.08013959595113261,0.005019551280000065,1600,4000,8,2,0.008461655752102058,1111,0.9890544714132478,2,2,0.027615469566514173,1666,0.9643230839145231
0.5,0.0,20270221,True,0.5355405109314755,0.18620781031680722,0.5931039051584036,0.08295795335311783,0.003398313478700088,1482,5180,8,2,0.008388146695631676,1111,0.989148359534756,1,2,0.02470000655683848,1818,0.968238679399643
0.5,0.0,20270222,True,0.5426405394391196,0.14950867939091173,0.5747543396954559,0.08268174133183308,0.0024543800113120276,1493,5070,8,2,0.008539359773139287,1111,0.9889552481986958,1,2,0.024782478592079705,1818,0.968135122166527
0.5,0.0,20270223,True,0.5361942835237477,0.17953397615955913,0.5897669880797796,0.08265677651762887,0.003094147305122517,1494,5060,8,2,0.00844496944396228,1111,0.9890757818565872,1,2,0.024720409101389576,1818,0.9682130587589884
0.5,0.0,20270224,True,0.5254396536341293,0.17156644851836633,0.5857832242591832,0.080827092847152,0.004319188736871893,1570,4300,8,2,0.008369588050187712,1111,0.9891720665540042,1,2,0.024606249032685067,1818,0.9683564319732982
0.5,0.0,20270225,True,0.5198409180245445,0.16886157141273728,0.5844307857063686,0.08094351731421866,0.00444573484582407,1565,4350,8,2,0.008342856279021319,1111,0.9892062163690231,1,2,0.024560397830662686,1818,0.9684140272139036
0.5,0.0,20270226,True,0.5255465482492296,0.17044231380713581,0.5852211569035679,0.08155767867094924,0.003988364522417195,1539,4610,8,2,0.008369588050187712,1111,0.9891720665540042,1,2,0.024606249032685067,1818,0.9683564319732982
0.5,0.0,20270227,True,0.5379160530545926,0.1878441208543986,0.5939220604271993,0.08303379688271578,0.002436607019804802,1479,5210,8,2,0.008402699548726463,1111,0.9891297704961142,1,2,0.024720409101389576,1818,0.9682130587589884
0.5,0.0,20270228,True,0.5255791526396745,0.1691136472699708,0.5845568236349854,0.08094351731421866,0.004571772774440895,1565,4350,8,2,0.008369588050187712,1111,0.9891720665540042,1,2,0.024606249032685067,1818,0.9683564319732982
0.5,0.0,20270229,True,0.5333760797969329,0.14394265059776634,0.5719713252988832,0.08094351731421866,0.006043782425559196,1565,4350,8,2,0.00846133527542685,1111,0.9890548806907089,1,2,0.02467999126559728,1818,0.9682638149462569
0.5,0.0,20270230,True,0.5431986766138144,0.143336922100068,0.571668461050034,0.0828823306329052,0.0019174435484419251,1485,5150,8,2,0.008539359773139287,1111,0.9889552481986958,1,2,0.024782478592079705,1818,0.968135122166527
