average_weight_norm,bellman_residual,delay,encoder_sha256,environment_budget,environment_used,game,master_seed,message_budget,message_used,overhead,prediction_risk,q,rho,selected_common_actors,split,updates
0.06379549986863502,2.3443672383354783e-06,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,21845,asterix,202608056001,196608,196605,8,9.523977138166716e-05,1,0.7,0,selection,21845
0.05004067038485592,1.9566074159761063e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,65536,asterix,202608056001,196608,196608,8,1.4284132401227835e-06,4,0.7,3,selection,16384
0.06689078318907407,2.910591788402874e-06,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,196608,196608,8,0.00015029111275035757,16,0.7,12,selection,8192
0.06397386024063718,2.40385338204941e-06,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,21845,asterix,202608056001,196608,196605,8,9.804491829844766e-05,1,0.7,0,selection,21837
0.05000102830837287,1.9642184589464266e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,65536,asterix,202608056001,196608,196608,8,1.4810043872348242e-06,4,0.7,3,selection,16376
0.06698892750140122,2.9483025943747686e-06,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,196608,196608,8,0.00015213201305589813,16,0.7,12,selection,8184
0.0522231685460576,8.962335321694047e-08,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,21845,asterix,202608056001,196608,196605,8,8.106018358571715e-07,1,0.9,1,selection,21845
0.04624407894870275,5.427054399394679e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,65536,asterix,202608056001,196608,196608,8,1.6024765371145948e-05,4,0.9,3,selection,16384
0.06804579438511438,3.440509233734425e-06,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,196608,196608,8,0.0001743540127219455,16,0.9,14,selection,8192
0.05232466491756295,9.387293367184195e-08,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,21845,asterix,202608056001,196608,196605,8,9.475432960198127e-07,1,0.9,1,selection,21837
