cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,dual_use_auc,dual_use_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,candidate_scores,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1808804502,0.01029473193303545,0.010033862725036716,0.001996854010488721,240,0,30,12,168,0.04861639436652518,0.189267742385321,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2863024076,0.008884825816470458,0.00905784679799266,0.001422872937339015,240,0,30,12,168,0.027391520945166142,0.12113981577971869,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2950424385,0.011354280410095124,0.01162500365279818,0.0011562940372460203,240,0,30,12,168,0.03501049941831778,0.12628636845862848,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3476054506,0.009222077759604248,0.009952822804673906,0.005245647643666316,240,0,30,12,168,0.014067700357630816,0.08685411594407474,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,859049474,0.009149770127312194,0.008264342749096452,0.002078293348811467,240,0,30,12,168,0.030922027500373928,0.1416931875292154,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2088432960,0.007567677276065779,0.006904552576912171,0.000925834408394515,240,0,30,12,168,0.04552773402322321,0.11337014439926887,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,4057090488,0.010347741204839084,0.009821321671342016,0.0003737545468010504,240,0,30,12,168,0.011839721289079693,0.08229169753575748,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,4197492090,0.011870820905272769,0.012866396101107583,0.0020372064775507027,240,0,30,12,168,0.017883564531624783,0.10039684989628714,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3445129534,0.011472311081053456,0.011482465144879002,0.0012124662976293493,240,0,30,12,168,0.018267924022819335,0.16445898498699377,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1554091691,0.010065822289857371,0.010783879018917628,0.00361952224764659,240,0,30,12,168,0.031876263619255434,0.17242566011307203,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1360135080,0.010827581653654349,0.010538730731139938,0.0008372846864358448,240,0,30,12,168,0.058114632125165024,0.21340748290542708,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2498757706,0.01128400684446016,0.01257107953719803,0.0004031748139255873,240,0,30,12,168,0.011758707674402569,0.03576617259135142,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1598408979,0.010622876377234323,0.010274671660266596,0.0016207912216979776,240,0,30,12,168,0.04666908625401359,0.14178761820302788,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2984591295,0.008952768171037018,0.008813817265204252,0.0034554886645530255,240,0,30,12,168,0.04209664698004689,0.10799203429097126,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3736052005,0.011256704269411074,0.011911318647371244,0.003926427395593274,240,0,30,12,168,0.03389383428611082,0.18061024670891862,0.7916666666666666,0.20833333333333334
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2446090982,0.009709975494087624,0.009471923064351656,0.0015052025736412371,240,0,30,12,168,0.025215504019660353,0.10370850001034967,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2759634938,0.008745121788152154,0.00788470213327815,0.0013248914966313705,240,0,30,12,168,0.002873829278181994,0.015190352608037617,0.7916666666666666,0.20833333333333334
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1796341307,0.010407170936858402,0.009480925686533423,0.0011738709748846216,240,0,30,12,168,0.02479438396658194,0.1622642268322584,0.75,0.25
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,702779833,0.00888726253529429,0.007633683364509554,0.0010469616297355848,240,0,30,12,168,0.02178500906877334,0.07955896245202587,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3081155260,0.010627982801747848,0.010011798268241674,0.004277259551442325,240,0,30,12,168,0.027898473577971955,0.09515878559989302,0.7916666666666666,0.20833333333333334
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3689771675,0.00999648837642825,0.011037960690628443,0.0008204171124509021,240,0,30,12,168,0.04317597911861936,0.15972741808759594,0.75,0.25
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1151854685,0.008160130434397443,0.007599352288556735,0.00022470786541798759,240,0,30,12,168,0.05976293787104339,0.17752606403859597,0.7916666666666666,0.20833333333333334
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2094958580,0.00836640943460919,0.008125093919658358,0.0037139319939859246,240,0,30,12,168,0.042088392657895934,0.1722767824279914,0.7916666666666666,0.20833333333333334
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1636281357,0.011877048219467445,0.01204454181060931,0.0025958349546552715,240,0,30,12,168,0.052901974928573216,0.19681856578234064,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,830070239,0.009097171016972057,0.007706498098994068,0.0010029108602920755,240,0,30,12,168,0.04364405117639233,0.20341847309000977,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3490259395,0.010333706985310559,0.010192778724228527,0.00401939462038576,240,0,30,12,168,0.05829919453386045,0.15667390641870085,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3512698917,0.009139732635212441,0.0076924486858387904,0.0030280227830021887,240,0,30,12,168,0.055460903529110324,0.12995671328621447,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2341267830,0.008429525009727329,0.009725092329077804,0.0007184209311798808,240,0,30,12,168,0.04640307745634257,0.16954279726544694,0.7916666666666666,0.20833333333333334
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2814696786,0.00889063397881452,0.008748792347933508,0.0014724799861858616,240,0,30,12,168,0.03622493792409972,0.14621353198935044,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,748652165,0.011255676669457391,0.010903603192962436,0.006059886086280974,240,0,30,12,168,0.04122309730586602,0.2005338035032597,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,4244158386,0.011228247601275615,0.011545275360305264,0.006487533998258294,240,0,30,12,168,0.03246814188315252,0.15362720821725775,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3723470981,0.012236880407636007,0.010408878019721233,0.00430546872133089,240,0,30,12,168,0.039594746403911314,0.1487079876874367,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,1808804502,0.011450529173412919,0.011450529173412919,0.0005135910507621942,240,0,30,11,168,0.03526646658147725,0.13523485749915182,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,2863024076,0.009045843004138751,0.009045843004138751,0.0012278260773064963,240,0,30,11,168,0.05499866562579083,0.1655930123030508,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,2950424385,0.010679715552167958,0.010800062092870232,0.0008054570661072506,240,0,30,11,168,0.022113719558354453,0.08529305841059663,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,3476054506,0.011896309160392622,0.011896309160392622,0.002236194421122759,240,0,30,11,168,0.005227584442433253,0.03471644440500384,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,859049474,0.0097460967441148,0.009837749638423226,0.003513850001204423,240,0,30,11,168,0.020936374733134196,0.11517964337321192,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,2088432960,0.007644073676107407,0.008531906726108493,0.00012424110017857594,240,0,30,11,168,0.039800706556026355,0.11118218147709459,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,4057090488,0.011979157644635327,0.012415355944871989,0.0015549986416617085,240,0,30,11,168,0.021616264126204276,0.11346583342090023,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,4197492090,0.012099540028113342,0.012099540028113342,0.002501097167575496,240,0,30,11,168,0.03017013693973125,0.08264094771797592,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,3445129534,0.008839668813393736,0.0089243277487477,0.0013217099986790636,240,0,30,11,168,0.029531871655676122,0.14257637521210859,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,1554091691,0.012094738837943311,0.012734153147024377,0.004932237765816707,240,0,30,11,168,0.031119333448202308,0.07936140822972969,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,1360135080,0.011419844062135512,0.01133406515894491,0.003473904635915381,240,0,30,11,168,0.01477748234333764,0.08139838932099788,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,2498757706,0.010023701871338575,0.011073299962357619,0.002590683060803668,240,0,30,11,168,0.03247238670133145,0.16647983011927495,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,1598408979,0.00937791567144447,0.00937791567144447,0.00023718915676230519,240,0,30,12,168,0.06410145646726204,0.22908513662502397,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,2984591295,0.009691329889046316,0.009882887005853833,0.0019149543860705665,240,0,30,11,168,0.07194765336615484,0.28248926866522456,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,3736052005,0.01059908674662108,0.01199915483683976,0.0015959114039735254,240,0,30,11,168,0.03651887228743705,0.12639847356701475,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,2446090982,0.008964963186545142,0.009954244843340308,0.0015867923311086605,240,0,30,11,168,0.014140718564332596,0.08646466145225892,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,2759634938,0.01367352401503174,0.013797846473153607,0.002123456058833104,240,0,30,11,168,0.046544327035014675,0.163988605170769,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,1796341307,0.010338698723374305,0.010170962601082578,0.0013623683166994458,240,0,30,11,168,0.023490044264157475,0.2093687573596797,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,702779833,0.010346265457553174,0.010544677258776539,0.001789996312616785,240,0,30,11,168,0.024776193962005675,0.15342244719381062,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,3081155260,0.009155511651775354,0.009272571791639922,0.003855936661066583,240,0,30,11,168,0.0854691057994705,0.24047559695130594,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,3689771675,0.010774994839160688,0.011249872105326297,0.00443926947427711,240,0,30,11,168,0.01541669556408254,0.08577647017498587,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,1151854685,0.01246049745450091,0.012658970738267475,0.003836368264079744,240,0,30,11,168,0.028372930648663485,0.10787561201036908,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,2094958580,0.009777068157160377,0.010492985149848399,0.0030183797203265183,240,0,30,11,168,0.0351155249288268,0.15842156811104763,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,1636281357,0.009549938264871322,0.010345366226305256,0.0016788079381422564,240,0,30,11,168,0.01942735879944342,0.04316642821950124,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,830070239,0.010711261932848874,0.012108530807588185,0.0009085976115116855,240,0,30,11,168,0.017323413456798845,0.0759522347972964,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,3490259395,0.008943288603324896,0.008943288603324896,0.0071964278224452526,240,0,30,10,168,0.04063990013325069,0.17309523194014018,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,3512698917,0.012323738123789348,0.012867196989733959,0.0008879780044259587,240,0,30,11,168,0.04223348211828568,0.21117726117626207,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,2341267830,0.01055607996765189,0.013714742564583672,0.004622311988231811,240,0,30,11,168,0.016782949612333366,0.0875861317107471,0.75,0.25
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,2814696786,0.012433890441677002,0.012433890441677002,0.0008690675016550914,240,0,30,12,168,0.04103490505090921,0.10753184739828799,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,748652165,0.009979603421592377,0.009979603421592377,0.003044243188417167,240,0,30,11,168,0.038974074066269425,0.12928359177955429,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,4244158386,0.01218640563534921,0.01218640563534921,0.0008833139085993627,240,0,30,11,168,0.030971062014670248,0.11990321525931116,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D1,stationary,0.1,0.5,0.1,0.0,0.0,1,3723470981,0.009546181371371448,0.009720743071007678,0.004175301657683046,240,0,30,11,168,0.023529373984107375,0.17127133260646238,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,1808804502,0.011228420951872861,0.011228420951872861,0.004091894932949813,240,0,30,12,168,0.05504937006986039,0.18620196350981544,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,2863024076,0.012725475080276607,0.012596007316024617,0.0004319620281169198,240,0,30,11,168,0.010768652247362032,0.041873852107996795,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,2950424385,0.010195276649367369,0.010257670931997304,0.001883190378899478,240,0,30,11,168,0.0676020563624407,0.26734701794285126,0.9583333333333334,0.041666666666666664
