cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_dual_use_auc,mean_strong_static_auc,dual_use_to_static_ratio
Falternating-H0.1-I1.5-N0.5-S0-T0-D1,alternating,0.1,1.5,0.5,0.0,0.0,1,0.08757711182271122,0.08636729654240517,1.0140077937916239
Falternating-H0.1-I1.5-N0.5-S0-T0-D3,alternating,0.1,1.5,0.5,0.0,0.0,3,0.08945451682402628,0.0884428410641874,1.0114387523926855
Falternating-H0.1-I1.5-N0.5-S0-T0.9-D0,alternating,0.1,1.5,0.5,0.0,0.9,0,0.1968576965849611,0.1689546273494557,1.165151257904244
Falternating-H0.1-I1.5-N0.5-S0-T0.9-D1,alternating,0.1,1.5,0.5,0.0,0.9,1,0.21959097541878053,0.2115212024407216,1.0381511304065156
Falternating-H0.1-I1.5-N0.5-S0-T0.9-D3,alternating,0.1,1.5,0.5,0.0,0.9,3,0.21706667125912682,0.20848447395579406,1.0411646831080212
Falternating-H0.1-I1.5-N0.5-S0.9-T0-D0,alternating,0.1,1.5,0.5,0.9,0.0,0,0.08486028624644779,0.08213648607030448,1.0331618785567704
Falternating-H0.1-I1.5-N0.5-S0.9-T0-D1,alternating,0.1,1.5,0.5,0.9,0.0,1,0.08601857011743497,0.08584262516888527,1.0020496221801645
Falternating-H0.1-I1.5-N0.5-S0.9-T0-D3,alternating,0.1,1.5,0.5,0.9,0.0,3,0.0862426196465397,0.08487007978800803,1.0161722465910255
Falternating-H0.1-I1.5-N0.5-S0.9-T0.9-D0,alternating,0.1,1.5,0.5,0.9,0.9,0,0.23749060369278466,0.2229148551982626,1.0653870666517862
Falternating-H0.1-I1.5-N0.5-S0.9-T0.9-D1,alternating,0.1,1.5,0.5,0.9,0.9,1,0.2045406810261602,0.20283913158842484,1.0083886645757678
Falternating-H0.1-I1.5-N0.5-S0.9-T0.9-D3,alternating,0.1,1.5,0.5,0.9,0.9,3,0.17416917603868004,0.17160577388834497,1.0149377383537395
Falternating-H0.3-I0.5-N0.1-S0-T0-D0,alternating,0.3,0.5,0.1,0.0,0.0,0,0.014810169075996252,0.02398786663259287,0.6174025103121648
Falternating-H0.3-I0.5-N0.1-S0-T0-D1,alternating,0.3,0.5,0.1,0.0,0.0,1,0.015792955021404535,0.022934491033324525,0.6886115326674084
Falternating-H0.3-I0.5-N0.1-S0-T0-D3,alternating,0.3,0.5,0.1,0.0,0.0,3,0.01564643462030381,0.02184423393818873,0.7162729837346347
Falternating-H0.3-I0.5-N0.1-S0-T0.9-D0,alternating,0.3,0.5,0.1,0.0,0.9,0,0.04203092506124094,0.04789696523591731,0.877527936357072
Falternating-H0.3-I0.5-N0.1-S0-T0.9-D1,alternating,0.3,0.5,0.1,0.0,0.9,1,0.0448010087988949,0.04564555227272094,0.9814977926265388
Falternating-H0.3-I0.5-N0.1-S0-T0.9-D3,alternating,0.3,0.5,0.1,0.0,0.9,3,0.0481047427080017,0.04911401123378294,0.9794504969065321
Falternating-H0.3-I0.5-N0.1-S0.9-T0-D0,alternating,0.3,0.5,0.1,0.9,0.0,0,0.014895579891606808,0.02399559399215315,0.6207631241167793
Falternating-H0.3-I0.5-N0.1-S0.9-T0-D1,alternating,0.3,0.5,0.1,0.9,0.0,1,0.015174041124709246,0.022619623046590223,0.6708352784418591
Falternating-H0.3-I0.5-N0.1-S0.9-T0-D3,alternating,0.3,0.5,0.1,0.9,0.0,3,0.01566640287708964,0.021794537412037775,0.7188224544943366
Falternating-H0.3-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.3,0.5,0.1,0.9,0.9,0,0.048356529507523324,0.0529810248359101,0.9127141209006525
Falternating-H0.3-I0.5-N0.1-S0.9-T0.9-D1,alternating,0.3,0.5,0.1,0.9,0.9,1,0.04332727419092558,0.04467309767084286,0.9698739610619016
Falternating-H0.3-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.3,0.5,0.1,0.9,0.9,3,0.04426265034787668,0.04398302023781532,1.0063576832275138
Falternating-H0.3-I0.5-N0.5-S0-T0-D0,alternating,0.3,0.5,0.5,0.0,0.0,0,0.028690134933113193,0.03261380752125141,0.8796929004507823
Falternating-H0.3-I0.5-N0.5-S0-T0-D1,alternating,0.3,0.5,0.5,0.0,0.0,1,0.030866646264170086,0.030886890247856475,0.9993445768245383
Falternating-H0.3-I0.5-N0.5-S0-T0-D3,alternating,0.3,0.5,0.5,0.0,0.0,3,0.030016692861842727,0.029335369714110993,1.0232253131414943
Falternating-H0.3-I0.5-N0.5-S0-T0.9-D0,alternating,0.3,0.5,0.5,0.0,0.9,0,0.15951355048095148,0.1193630414987554,1.336373038740092
Falternating-H0.3-I0.5-N0.5-S0-T0.9-D1,alternating,0.3,0.5,0.5,0.0,0.9,1,0.1584391165147638,0.13586581582733953,1.1661440778901353
Falternating-H0.3-I0.5-N0.5-S0-T0.9-D3,alternating,0.3,0.5,0.5,0.0,0.9,3,0.1720328922733756,0.1439502093535197,1.1950860859874757
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D0,alternating,0.3,0.5,0.5,0.9,0.0,0,0.029826365322747343,0.03199543436668381,0.9322069199287047
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D1,alternating,0.3,0.5,0.5,0.9,0.0,1,0.029166966738746258,0.029994392939561108,0.9724139707550635
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D3,alternating,0.3,0.5,0.5,0.9,0.0,3,0.02705735920907025,0.02809071123623119,0.9632137464063875
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D0,alternating,0.3,0.5,0.5,0.9,0.9,0,0.16010355307233698,0.14547928223758017,1.1005247662060507
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D1,alternating,0.3,0.5,0.5,0.9,0.9,1,0.1541789143873593,0.15082823548885663,1.02221519656212
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D3,alternating,0.3,0.5,0.5,0.9,0.9,3,0.1284122573800509,0.11439272836656089,1.1225561206003036
Falternating-H0.3-I1.5-N0.1-S0-T0-D0,alternating,0.3,1.5,0.1,0.0,0.0,0,0.07469914096733438,0.08680898251184714,0.8605001326578147
Falternating-H0.3-I1.5-N0.1-S0-T0-D1,alternating,0.3,1.5,0.1,0.0,0.0,1,0.08055597119729876,0.08970722497242772,0.8979875503010858
Falternating-H0.3-I1.5-N0.1-S0-T0-D3,alternating,0.3,1.5,0.1,0.0,0.0,3,0.08207634581539612,0.09103283062484549,0.9016125858333478
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D0,alternating,0.3,1.5,0.1,0.0,0.9,0,0.09828545077087177,0.1054459293132963,0.9320933620761249
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D1,alternating,0.3,1.5,0.1,0.0,0.9,1,0.11398208564018295,0.1174774098964555,0.9702468392914576
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D3,alternating,0.3,1.5,0.1,0.0,0.9,3,0.10884227505081247,0.11371768818514254,0.9571270467054126
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D0,alternating,0.3,1.5,0.1,0.9,0.0,0,0.07616732610519447,0.08710864944242153,0.8743945244558151
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D1,alternating,0.3,1.5,0.1,0.9,0.0,1,0.0812495819111014,0.0893997136295632,0.9088349236527458
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D3,alternating,0.3,1.5,0.1,0.9,0.0,3,0.08114232062541288,0.08956911846419444,0.9059184908451432
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D0,alternating,0.3,1.5,0.1,0.9,0.9,0,0.10433190209917,0.11165869302084772,0.9343822614840231
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D1,alternating,0.3,1.5,0.1,0.9,0.9,1,0.11181489788757193,0.11625365155948213,0.9618183720479604
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D3,alternating,0.3,1.5,0.1,0.9,0.9,3,0.10708747137177034,0.11397899068316883,0.9395369333410306
Falternating-H0.3-I1.5-N0.5-S0-T0-D0,alternating,0.3,1.5,0.5,0.0,0.0,0,0.08566817218101253,0.09243150797821686,0.9268286762258792
Falternating-H0.3-I1.5-N0.5-S0-T0-D1,alternating,0.3,1.5,0.5,0.0,0.0,1,0.09364825295937158,0.09806770729943357,0.9549346623698675
Falternating-H0.3-I1.5-N0.5-S0-T0-D3,alternating,0.3,1.5,0.5,0.0,0.0,3,0.09601291157301128,0.09838324207537374,0.9759071722748627
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D0,alternating,0.3,1.5,0.5,0.0,0.9,0,0.21731139099237118,0.1908618980203321,1.1385792200872982
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D1,alternating,0.3,1.5,0.5,0.0,0.9,1,0.227959240214629,0.22268691591375978,1.023675950063052
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D3,alternating,0.3,1.5,0.5,0.0,0.9,3,0.2236921100257449,0.21456482239448282,1.0425386022247456
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D0,alternating,0.3,1.5,0.5,0.9,0.0,0,0.08909657994839419,0.09270731785815808,0.9610522880697691
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D1,alternating,0.3,1.5,0.5,0.9,0.0,1,0.09463779503921416,0.09820569594170545,0.9636691042380151
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D3,alternating,0.3,1.5,0.5,0.9,0.0,3,0.094338564447776,0.09658804642347606,0.9767105551981294
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D0,alternating,0.3,1.5,0.5,0.9,0.9,0,0.22611284720059444,0.21108621605832797,1.0711871737665442
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D1,alternating,0.3,1.5,0.5,0.9,0.9,1,0.25016909098796836,0.241277971530622,1.0368501086151494
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D3,alternating,0.3,1.5,0.5,0.9,0.9,3,0.22654415737201355,0.22525588888033604,1.0057191334623081
Falternating-H0.6-I0.5-N0.1-S0-T0-D0,alternating,0.6,0.5,0.1,0.0,0.0,0,0.025341078136213675,0.06681248055743044,0.37928659323509295
Falternating-H0.6-I0.5-N0.1-S0-T0-D1,alternating,0.6,0.5,0.1,0.0,0.0,1,0.025091043280034114,0.06294693073290594,0.3986063019736338
Falternating-H0.6-I0.5-N0.1-S0-T0-D3,alternating,0.6,0.5,0.1,0.0,0.0,3,0.025702517373839658,0.05785992246921949,0.44421969952540064
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D0,alternating,0.6,0.5,0.1,0.0,0.9,0,0.058876605460622275,0.09359674022644868,0.6290454701539365
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D1,alternating,0.6,0.5,0.1,0.0,0.9,1,0.054250788649116616,0.08660627191097292,0.6264071579583037
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D3,alternating,0.6,0.5,0.1,0.0,0.9,3,0.05189950055024879,0.07433544678637656,0.6981797082540762
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D0,alternating,0.6,0.5,0.1,0.9,0.0,0,0.025712844391902807,0.06710292928757425,0.38318512567027635
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D1,alternating,0.6,0.5,0.1,0.9,0.0,1,0.02659715341958592,0.06383964138252324,0.4166244177378347
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D3,alternating,0.6,0.5,0.1,0.9,0.0,3,0.02566587886959844,0.05787618626817134,0.4434618195240904
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.6,0.5,0.1,0.9,0.9,0,0.05756005672874773,0.09573407180713048,0.6012494365089831
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D1,alternating,0.6,0.5,0.1,0.9,0.9,1,0.06323361848328392,0.0927096338002396,0.6820609238898806
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.6,0.5,0.1,0.9,0.9,3,0.05539990560954434,0.08054970342904812,0.6877729308878601
Falternating-H0.6-I0.5-N0.5-S0-T0-D0,alternating,0.6,0.5,0.5,0.0,0.0,0,0.04232194966347461,0.07371916508376786,0.5740969748556395
Falternating-H0.6-I0.5-N0.5-S0-T0-D1,alternating,0.6,0.5,0.5,0.0,0.0,1,0.04315699549134017,0.07096009081637195,0.6081868694759754
Falternating-H0.6-I0.5-N0.5-S0-T0-D3,alternating,0.6,0.5,0.5,0.0,0.0,3,0.04560035557637383,0.0660055986800625,0.6908558741721976
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D0,alternating,0.6,0.5,0.5,0.0,0.9,0,0.16585710221080452,0.18221174975858073,0.9102437270404071
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D1,alternating,0.6,0.5,0.5,0.0,0.9,1,0.17424939301503867,0.17198299320725963,1.0131780460702167
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D3,alternating,0.6,0.5,0.5,0.0,0.9,3,0.19953964230898089,0.18485001884775829,1.079467795312052
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D0,alternating,0.6,0.5,0.5,0.9,0.0,0,0.04583878564556164,0.07410190817743939,0.6185911641546288
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D1,alternating,0.6,0.5,0.5,0.9,0.0,1,0.045446468794961066,0.07034281445839838,0.6460712319356894
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D3,alternating,0.6,0.5,0.5,0.9,0.0,3,0.04596720228238996,0.06401947291859714,0.718019068055102
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D0,alternating,0.6,0.5,0.5,0.9,0.9,0,0.20662885722959706,0.2068390419459192,0.9989838247443773
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D1,alternating,0.6,0.5,0.5,0.9,0.9,1,0.16644550350081627,0.17591558893079232,0.9461668776057037
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D3,alternating,0.6,0.5,0.5,0.9,0.9,3,0.18815881854006222,0.1885507969287689,0.9979210992735568
Falternating-H0.6-I1.5-N0.1-S0-T0-D0,alternating,0.6,1.5,0.1,0.0,0.0,0,0.0833195750060188,0.1335469867456256,0.6238970794954906
Falternating-H0.6-I1.5-N0.1-S0-T0-D1,alternating,0.6,1.5,0.1,0.0,0.0,1,0.09210195557637134,0.12985231624282312,0.709282346601667
Falternating-H0.6-I1.5-N0.1-S0-T0-D3,alternating,0.6,1.5,0.1,0.0,0.0,3,0.09044257628925598,0.12494983054864914,0.7238311239969406
Falternating-H0.6-I1.5-N0.1-S0-T0.9-D0,alternating,0.6,1.5,0.1,0.0,0.9,0,0.10943605024707209,0.15703478938882398,0.6968904831406776
Falternating-H0.6-I1.5-N0.1-S0-T0.9-D1,alternating,0.6,1.5,0.1,0.0,0.9,1,0.11900257958871167,0.15068441809801375,0.789747082616768
