seed,seed_index,max_delay,policy,block,scenario,selected_num_agents,selected_eta,block_spent,probe_cost,estimated_rho_global,estimated_rho_cluster,estimated_rho_idiosyncratic,true_rho_global,true_rho_cluster,num_agents,eta,proxy_risk,lrv_used,predicted_exploitation_updates
20260729,0,4,piecewise_oracle,10.0,global,32.0,0.0025,1980.0,0.0,0.6,0.0,0.4,0.6,0.0,32.0,0.0025,0.01365964456851808,23.418749999999978,55.0
20260729,0,4,piecewise_oracle,11.0,global,1.0,0.0025,2000.0,0.0,0.6,0.0,0.4,0.6,0.0,1.0,0.0025,0.02176094675803638,15.575999999999988,400.0
20260729,0,4,piecewise_oracle,12.0,mixed,32.0,0.0025,1980.0,0.0,0.3,0.4,0.29999999999999993,0.3,0.4,32.0,0.0025,0.00793531247734399,12.280795503815458,55.0
20260729,0,4,piecewise_oracle,13.0,mixed,32.0,0.0025,1980.0,0.0,0.3,0.4,0.29999999999999993,0.3,0.4,32.0,0.0025,0.004869359095573464,12.280795503815458,55.0
20260729,0,4,piecewise_oracle,14.0,mixed,32.0,0.0025,1980.0,0.0,0.3,0.4,0.29999999999999993,0.3,0.4,32.0,0.0025,0.003797317235244288,12.280795503815458,55.0
20260729,0,4,piecewise_oracle,15.0,mixed,2.0,0.0025,1998.0,0.0,0.3,0.4,0.29999999999999993,0.3,0.4,2.0,0.0025,0.011798923995420301,9.510085154353096,333.0
20260729,0,4,fixed_q1_oracle_eta,0.0,independent,1.0,0.009170040432046712,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.009170040432046712,0.007534803510805792,1.4999999999999998,400.0
20260729,0,4,fixed_q1_oracle_eta,1.0,independent,1.0,0.0038555270635198514,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0038555270635198514,0.0036601203005545376,1.4999999999999998,400.0
20260729,0,4,fixed_q1_oracle_eta,2.0,independent,1.0,0.0025,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0025,0.0019216780709107927,1.4999999999999998,400.0
20260729,0,4,fixed_q1_oracle_eta,3.0,independent,1.0,0.0025,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0025,0.0016252089627868454,1.4999999999999998,400.0
20260729,0,4,fixed_q1_oracle_eta,4.0,clustered,1.0,0.0025,2000.0,0.0,0.0,0.6,0.4,0.0,0.6,1.0,0.0025,0.003315936734745294,3.0564999999999993,400.0
20260729,0,4,fixed_q1_oracle_eta,5.0,clustered,1.0,0.0025,2000.0,0.0,0.0,0.6,0.4,0.0,0.6,1.0,0.0025,0.003858303018651102,3.0564999999999993,400.0
20260729,0,4,fixed_q1_oracle_eta,6.0,clustered,1.0,0.0025,2000.0,0.0,0.0,0.6,0.4,0.0,0.6,1.0,0.0025,0.0035125002531562937,3.0564999999999993,400.0
20260729,0,4,fixed_q1_oracle_eta,7.0,clustered,1.0,0.0025,2000.0,0.0,0.0,0.6,0.4,0.0,0.6,1.0,0.0025,0.004043867448468297,3.0564999999999993,400.0
20260729,0,4,fixed_q1_oracle_eta,8.0,global,1.0,0.0025,2000.0,0.0,0.6,0.0,0.4,0.6,0.0,1.0,0.0025,0.016898819373415953,15.575999999999988,400.0
20260729,0,4,fixed_q1_oracle_eta,9.0,global,1.0,0.0025,2000.0,0.0,0.6,0.0,0.4,0.6,0.0,1.0,0.0025,0.017855612673399076,15.575999999999988,400.0
20260729,0,4,fixed_q1_oracle_eta,10.0,global,1.0,0.0025,2000.0,0.0,0.6,0.0,0.4,0.6,0.0,1.0,0.0025,0.018275768680434044,15.575999999999988,400.0
20260729,0,4,fixed_q1_oracle_eta,11.0,global,1.0,0.0025,2000.0,0.0,0.6,0.0,0.4,0.6,0.0,1.0,0.0025,0.018654828740702595,15.575999999999988,400.0
20260729,0,4,fixed_q1_oracle_eta,12.0,mixed,1.0,0.0025,2000.0,0.0,0.3,0.4,0.29999999999999993,0.3,0.4,1.0,0.0025,0.01300927117647168,9.57566666666666,400.0
