seed,seed_index,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260735,6,16,sparse_adaptive,31886,24230,768,1914,True,True
20260735,6,16,piecewise_oracle,31700,28000,0,925,True,True
20260735,6,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260735,6,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260735,6,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260735,6,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260736,7,4,sparse_adaptive,31916,20636,768,2820,True,True
20260736,7,4,piecewise_oracle,31760,23320,0,2110,True,True
20260736,7,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260736,7,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260736,7,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260736,7,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260736,7,16,sparse_adaptive,31908,22364,768,2386,True,True
20260736,7,16,piecewise_oracle,31810,20434,0,2844,True,True
20260736,7,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260736,7,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260736,7,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260736,7,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260737,8,4,sparse_adaptive,31910,19854,768,3014,True,True
20260737,8,4,piecewise_oracle,31712,26368,0,1336,True,True
20260737,8,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260737,8,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260737,8,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260737,8,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260737,8,16,sparse_adaptive,31894,23218,768,2169,True,True
20260737,8,16,piecewise_oracle,31736,25812,0,1481,True,True
20260737,8,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260737,8,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
