comparison,numerator,denominator,ratio,bootstrap_95_lower,bootstrap_95_upper,bootstrap_replications
adaptive_vs_best_fixed,sparse_adaptive,fixed_q32_oracle_eta,2.619217193849619,1.6280062764456094,4.079835782487838,2000
adaptive_vs_piecewise_oracle,sparse_adaptive,piecewise_oracle,8.22647902334235,6.214855346834434,10.579573869383648,2000
