seed_index,max_delay,regime,policy,regime_mse,oracle_regime_mse,normalized_regime_score
0,4,independent,sparse_adaptive,0.0009906621183625518,3.0395487313987655e-05,32.592407817941464
0,4,clustered,sparse_adaptive,0.0026574526730639334,0.00035255537348548836,7.537688751674402
0,4,global,sparse_adaptive,0.03543378876498425,0.016622194400462285,2.131715458940776
0,4,mixed,sparse_adaptive,0.00044355429445578677,0.006733061651133659,0.06587705822968436
0,16,independent,sparse_adaptive,0.00010771931144826867,1.0909986271865159e-05,9.87345985265416
0,16,clustered,sparse_adaptive,0.002125967264357704,0.00040564468676135556,5.240959227966986
0,16,global,sparse_adaptive,0.0015865107031428093,0.014326701090073599,0.11073803335242609
0,16,mixed,sparse_adaptive,0.008068992650838647,0.006121979142170898,1.3180366125810294
1,4,independent,sparse_adaptive,0.0014408676670060335,7.421123208934091e-05,19.41576263376697
1,4,clustered,sparse_adaptive,0.00046599281755991374,0.0006117272810645653,0.7617656298554553
1,4,global,sparse_adaptive,0.028997654118297533,0.032856489997179855,0.8825548353091418
1,4,mixed,sparse_adaptive,0.0001296147599286903,0.0019604386472429867,0.0661151830030339
1,16,independent,sparse_adaptive,3.517673523438549e-05,0.0006416180105974615,0.054825043333228185
1,16,clustered,sparse_adaptive,0.002517043007703872,0.00017940000150416091,14.030339947603027
1,16,global,sparse_adaptive,0.016707276695963648,0.010866896132231242,1.5374469851064299
1,16,mixed,sparse_adaptive,0.005819241030474632,0.02752833851999517,0.21139092816109603
2,4,independent,sparse_adaptive,0.000453382663038516,2.0654058106559944e-05,21.95126307379357
2,4,clustered,sparse_adaptive,0.0002270701369557612,0.0010006248601763105,0.22692833847417238
2,4,global,sparse_adaptive,0.02374507732808491,0.008401479513602041,2.826297117030578
2,4,mixed,sparse_adaptive,0.0023008580544467564,0.006303988153718061,0.36498451430143025
2,16,independent,sparse_adaptive,0.00011474302570295427,5.816396673030104e-06,19.72751037339031
2,16,clustered,sparse_adaptive,0.0012754523148217696,0.00037721713799859525,3.3812151844132794
