policy,budget,mean_mse,standard_error
sparse_adaptive,0.0,1.0,0.0
sparse_adaptive,200.0,0.5161941807635144,0.005465874477797366
sparse_adaptive,400.0,0.26771537126078976,0.005226200714761301
sparse_adaptive,600.0,0.12631118492858132,0.004218409461033059
sparse_adaptive,800.0,0.06282649576360902,0.002908238119481801
sparse_adaptive,1000.0,0.03228599151445192,0.0021984586436433443
sparse_adaptive,1200.0,0.016678976760636673,0.0013942756190665363
sparse_adaptive,1400.0,0.011365563386262212,0.0012686486294481672
sparse_adaptive,1600.0,0.0066839032937172456,0.0008359983883059239
sparse_adaptive,1800.0,0.0049177395882258656,0.0006811585952072357
sparse_adaptive,2000.0,0.003918709414631954,0.000611650390383992
sparse_adaptive,2200.0,0.00329035540154749,0.0005443305600842102
sparse_adaptive,2400.0,0.0026842847475983217,0.00043738420000655507
sparse_adaptive,2600.0,0.00241187009290479,0.0005008972520441353
sparse_adaptive,2800.0,0.0021633627160889753,0.00048007361937258287
sparse_adaptive,3000.0,0.0018057367190095906,0.00035128958730239234
sparse_adaptive,3200.0,0.0014274961895121808,0.0002661733412966688
sparse_adaptive,3400.0,0.0012640983447472004,0.00023711862900630107
sparse_adaptive,3600.0,0.0009049744281640007,0.00014535740302041203
sparse_adaptive,3800.0,0.0008984879975466721,0.00018654199004825115
sparse_adaptive,4000.0,0.000830902548656709,0.00018633310330065867
sparse_adaptive,4200.0,0.0008083112237964593,0.0001516034282833848
sparse_adaptive,4400.0,0.0006834860818293396,0.00010235534131917823
sparse_adaptive,4600.0,0.0006238893223097966,9.266269357252184e-05
sparse_adaptive,4800.0,0.0005767714792569432,8.132991942835369e-05
sparse_adaptive,5000.0,0.0005068707320707801,6.936277028136322e-05
sparse_adaptive,5200.0,0.0004753444260547591,6.353385361014535e-05
sparse_adaptive,5400.0,0.00046996171377051553,6.0345233648603157e-05
sparse_adaptive,5600.0,0.0004363860755073988,5.601190846455959e-05
sparse_adaptive,5800.0,0.0004192574076953354,5.3472347095954625e-05
sparse_adaptive,6000.0,0.00041803679318714535,5.433221293373531e-05
sparse_adaptive,6200.0,0.0004985770504331827,6.687096372536076e-05
sparse_adaptive,6400.0,0.0005065345088843664,7.311224029326387e-05
sparse_adaptive,6600.0,0.00045760852282327824,6.485073975864837e-05
sparse_adaptive,6800.0,0.00044498740650615815,7.175369028404946e-05
sparse_adaptive,7000.0,0.00043535810194288274,7.345832515275497e-05
sparse_adaptive,7200.0,0.00039857397751448266,5.906277769019925e-05
sparse_adaptive,7400.0,0.00036824574824588144,4.624677454812954e-05
sparse_adaptive,7600.0,0.00035864681243708815,5.0530450383968136e-05
sparse_adaptive,7800.0,0.0003387104195075162,4.808739405228571e-05
sparse_adaptive,8000.0,0.00035563131245688965,6.291924936215934e-05
sparse_adaptive,8200.0,0.0011060396167155864,0.00015957862291282298
sparse_adaptive,8400.0,0.001146675340124981,0.00015524991418168613
sparse_adaptive,8600.0,0.0011854414023185367,0.00016733414733753035
sparse_adaptive,8800.0,0.0012128408133684186,0.00016395718715016966
sparse_adaptive,9000.0,0.0012044736095317597,0.00015819913924904576
sparse_adaptive,9200.0,0.0011648500214709338,0.00015515896211329083
sparse_adaptive,9400.0,0.001178326658346768,0.00015056548060445854
sparse_adaptive,9600.0,0.0011398434467154797,0.00015580341678955953
sparse_adaptive,9800.0,0.0011954196400316545,0.00016694537180301507
sparse_adaptive,10000.0,0.0012009219701130422,0.00017862566105595365
sparse_adaptive,10200.0,0.0017034778154228372,0.0003273257568417104
sparse_adaptive,10400.0,0.001484575519870011,0.00027246051220204204
sparse_adaptive,10600.0,0.001425057999485832,0.0002570632060658884
sparse_adaptive,10800.0,0.0013901758408288443,0.00024460473771008377
sparse_adaptive,11000.0,0.0011588988329581068,0.00018983606872836323
sparse_adaptive,11200.0,0.001130383031721021,0.00017678520486583152
sparse_adaptive,11400.0,0.001050760742955462,0.00017812575036817545
sparse_adaptive,11600.0,0.000972144279827816,0.0001630569401189307
sparse_adaptive,11800.0,0.0008894609468374575,0.00014263497154197463
sparse_adaptive,12000.0,0.00085913455670837,0.0001430876758156115
sparse_adaptive,12200.0,0.0015759351380499303,0.0002039650114005551
sparse_adaptive,12400.0,0.0014699303436886287,0.00019668037123511575
sparse_adaptive,12600.0,0.0012639423802002189,0.00016044205804966854
sparse_adaptive,12800.0,0.001246381964343905,0.00017760592782352927
sparse_adaptive,13000.0,0.0012798216508160699,0.0001867601112030093
sparse_adaptive,13200.0,0.0011506584808003155,0.00014648891616162417
sparse_adaptive,13400.0,0.0010054421154863321,0.00011755987564843846
sparse_adaptive,13600.0,0.0009153162179311392,0.00010606102125641096
sparse_adaptive,13800.0,0.0009547909344053319,0.000121950888571962
sparse_adaptive,14000.0,0.0009553456851673695,0.00011771897336294133
sparse_adaptive,14200.0,0.001264984916512654,0.00014463516142093752
sparse_adaptive,14400.0,0.001380671111591215,0.0001770110495463762
sparse_adaptive,14600.0,0.0012863700661461135,0.0001751682127664653
sparse_adaptive,14800.0,0.0012724910277255625,0.00017456457164589101
sparse_adaptive,15000.0,0.001213788601472149,0.00015707127858809134
sparse_adaptive,15200.0,0.0012479226031911074,0.0001528463152469377
sparse_adaptive,15400.0,0.0011928403686988283,0.00014491496166509684
sparse_adaptive,15600.0,0.0011440602718755229,0.00014573783122155776
sparse_adaptive,15800.0,0.0011159170061044964,0.00013181902406564074
sparse_adaptive,16000.0,0.0010941163346585223,0.00012104680634743794
sparse_adaptive,16200.0,0.0055057697266940875,0.0008592398057963867
sparse_adaptive,16400.0,0.006084984422624618,0.0008092335748350024
sparse_adaptive,16600.0,0.005928140378254477,0.0006964046521285956
sparse_adaptive,16800.0,0.006200777915967443,0.0007590413697451317
sparse_adaptive,17000.0,0.0068032901695029725,0.0008630018968518002
sparse_adaptive,17200.0,0.007959043037737179,0.0010571562188689833
sparse_adaptive,17400.0,0.009160390844981584,0.001236741189285135
sparse_adaptive,17600.0,0.009868278476320132,0.0013464822027286867
sparse_adaptive,17800.0,0.010570515925244842,0.0013788339251652587
sparse_adaptive,18000.0,0.0106468243698429,0.0013927199334609678
sparse_adaptive,18200.0,0.014728593033625169,0.001793328567514273
sparse_adaptive,18400.0,0.015119023923764059,0.00196586371283205
sparse_adaptive,18600.0,0.014993213081118076,0.001916366985481066
sparse_adaptive,18800.0,0.014289419739819361,0.0018003532922643557
sparse_adaptive,19000.0,0.013408626737370997,0.0016496245821117966
sparse_adaptive,19200.0,0.011724291106474636,0.0014300237278030527
sparse_adaptive,19400.0,0.012250958699351246,0.0016240710680022542
sparse_adaptive,19600.0,0.013106761808226343,0.0016194203329544033
sparse_adaptive,19800.0,0.015216374833581339,0.0021130218289543107
sparse_adaptive,20000.0,0.01691789875181525,0.0027776601120706526
sparse_adaptive,20200.0,0.023730604580231535,0.0038446024246545614
sparse_adaptive,20400.0,0.0221141600445109,0.003078306644888721
sparse_adaptive,20600.0,0.020577803643590357,0.0028384487949560315
sparse_adaptive,20800.0,0.02132264743756155,0.0029309382601210784
sparse_adaptive,21000.0,0.021428978982470696,0.0029380300927619772
sparse_adaptive,21200.0,0.018680924225088446,0.0024821913652234026
sparse_adaptive,21400.0,0.016720015944523468,0.0021203293774562483
sparse_adaptive,21600.0,0.01610826809016357,0.001979517549383296
sparse_adaptive,21800.0,0.016182571963275515,0.0019697770589727354
sparse_adaptive,22000.0,0.0156632842705083,0.0018763432907534924
sparse_adaptive,22200.0,0.021361140005435784,0.002242815818944913
sparse_adaptive,22400.0,0.022068731353125527,0.002374409426707825
sparse_adaptive,22600.0,0.020970770687389537,0.00227844112386417
sparse_adaptive,22800.0,0.019978058993520682,0.002272779918307698
sparse_adaptive,23000.0,0.020499926792812408,0.0023750718057026026
sparse_adaptive,23200.0,0.02010201728612362,0.0023519746188447764
sparse_adaptive,23400.0,0.01932783294491198,0.0023219703757571147
sparse_adaptive,23600.0,0.017514578977527576,0.0022158525933762534
sparse_adaptive,23800.0,0.015922559359270075,0.0019041929718188952
sparse_adaptive,24000.0,0.016728839399195464,0.0018756921981076165
sparse_adaptive,24200.0,0.018879979563248897,0.0022535396395030544
sparse_adaptive,24400.0,0.01746017041446742,0.002078822657718349
sparse_adaptive,24600.0,0.016595244823062356,0.0020397868685365877
sparse_adaptive,24800.0,0.015207046432662494,0.002143435523735986
sparse_adaptive,25000.0,0.013937003399003901,0.002151961595772695
sparse_adaptive,25200.0,0.012928470580939527,0.0018327187644636086
sparse_adaptive,25400.0,0.012746932971857798,0.0016436944713088427
sparse_adaptive,25600.0,0.012988924264677624,0.0015586030652087284
sparse_adaptive,25800.0,0.013126931070297011,0.0017830642375437366
sparse_adaptive,26000.0,0.011644399471366253,0.0016294494733369064
sparse_adaptive,26200.0,0.012912145119036175,0.001570441655567023
sparse_adaptive,26400.0,0.01108184221334563,0.0015530525719250363
sparse_adaptive,26600.0,0.010161006490470621,0.0014722761319306923
sparse_adaptive,26800.0,0.00912716998005372,0.0014881439293250227
sparse_adaptive,27000.0,0.00899905295555207,0.0014782809314396656
sparse_adaptive,27200.0,0.008897014200547627,0.0013621970333005337
sparse_adaptive,27400.0,0.008902481399447297,0.0011913756273405104
sparse_adaptive,27600.0,0.009126892932052839,0.0011815243947894047
sparse_adaptive,27800.0,0.009468879700899354,0.0012360608999888504
sparse_adaptive,28000.0,0.010343463826759464,0.001764143369031825
sparse_adaptive,28200.0,0.012482738304485576,0.0017212291682457384
sparse_adaptive,28400.0,0.01029474004843485,0.0012045912145913717
sparse_adaptive,28600.0,0.010740722114694318,0.002008274075370462
sparse_adaptive,28800.0,0.011622432659064865,0.0025657409847136543
sparse_adaptive,29000.0,0.01092522830554732,0.0019386081056822046
sparse_adaptive,29200.0,0.009256569864908179,0.0012522484510006373
sparse_adaptive,29400.0,0.008957091505314223,0.0013648648848091011
sparse_adaptive,29600.0,0.008868618443579838,0.001406228808213658
sparse_adaptive,29800.0,0.009196434708892752,0.001363420035771196
sparse_adaptive,30000.0,0.009431928161739867,0.0014659966482046545
sparse_adaptive,30200.0,0.01168342407085868,0.0013687635895810457
sparse_adaptive,30400.0,0.011680256220605673,0.0014777602216484353
sparse_adaptive,30600.0,0.011711476337169471,0.0016330923429831066
sparse_adaptive,30800.0,0.010875310227693771,0.0015886800116073144
sparse_adaptive,31000.0,0.010865078872804471,0.0016801654912439942
sparse_adaptive,31200.0,0.010841476244055678,0.0018328693327133998
sparse_adaptive,31400.0,0.010065858546189665,0.0018673985866070263
sparse_adaptive,31600.0,0.009763910205275178,0.0016147280368422627
sparse_adaptive,31800.0,0.009930084025825429,0.0018323694160787235
sparse_adaptive,32000.0,0.009563786899052316,0.0015583000994207257
piecewise_oracle,0.0,1.0,0.0
piecewise_oracle,200.0,0.523269870702171,0.0041751872783667
piecewise_oracle,400.0,0.21124247437196347,0.0030231509183262385
piecewise_oracle,600.0,0.09152362589260767,0.0021235263479869536
piecewise_oracle,800.0,0.030928160811329913,0.0014066861001806512
piecewise_oracle,1000.0,0.013062598588780278,0.0009484629201212496
