mixing_eigenvalue,equivalent_persistence,rho,seed,joint_simultaneous_coverage,final_mixing_upper,final_rho_upper,similarity_upper,baseline_lower,similarity_trials,control_trials,d0_q,d0_eta,d0_updates,d0_exact_radius,d2_q,d2_eta,d2_updates,d2_exact_radius
0.0,0.5,0.0,20270401,True,0.0028539571142168893,0.16910420275039134,0.22487637085615816,0.06712293923062454,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270402,True,0.0028539571142168893,0.1740810741511499,0.21698658321802908,0.051948814495057644,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270403,True,0.0028539571142168893,0.1698561992762685,0.21622275630970125,0.05585364486611802,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270404,True,0.0028539571142168893,0.16255781901836677,0.22434319005581413,0.0737786708630126,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270405,True,0.0028539571142168893,0.18421462947193928,0.23564639138894458,0.06304570267509618,1637,1636,8,0.007933037630966859,1176,0.9897301072658808,2,0.026211378853948142,1818,0.9661051219997925
0.0,0.5,0.0,20270406,True,0.0028539571142168893,0.1583043440022012,0.21664828954634405,0.06931715178567519,1637,1636,8,0.008014936331625647,1176,0.9896253599886096,2,0.026308809725551576,1818,0.9659813241467995
0.0,0.5,0.0,20270407,True,0.0028539571142168893,0.1525994414210103,0.21932588403620432,0.07874250487524803,1637,1636,8,0.008014936331625647,1176,0.9896253599886096,2,0.026308809725551576,1818,0.9659813241467995
0.0,0.5,0.0,20270408,True,0.0028539571142168893,0.15930880811453652,0.2197652154434888,0.07191274026954347,1637,1636,8,0.008014936331625647,1176,0.9896253599886096,2,0.026308809725551576,1818,0.9659813241467995
0.0,0.5,0.0,20270409,True,0.0028539571142168893,0.1701330628890681,0.2224301825116515,0.06301868080761075,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270410,True,0.0028539571142168893,0.17297829994964128,0.2260365016981082,0.06415575521807484,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
