path,budget,error_amplitude,max_delay,overhead,q_at_zero,q_at_high,nonincreasing,responsive,high_strength_margin,well_separated
balanced,500,0.03,0,16,32.0,32.0,True,False,0.22584117418653446,False
balanced,500,0.03,4,0,8.0,32.0,False,False,0.5636844560536821,False
balanced,500,0.03,4,4,32.0,32.0,True,False,0.4659756114022548,False
balanced,500,0.03,4,16,32.0,32.0,True,False,0.22337780675137778,False
balanced,500,0.03,16,0,8.0,32.0,False,False,0.5602812395241826,False
balanced,500,0.03,16,4,32.0,32.0,True,False,0.4642721774689503,False
balanced,500,0.03,16,16,32.0,32.0,True,False,0.2232830094997691,False
balanced,500,0.03,32,0,8.0,32.0,False,False,0.5678458694478142,False
balanced,500,0.03,32,4,32.0,32.0,True,False,0.4714921808407635,False
balanced,500,0.03,32,16,32.0,32.0,True,False,0.22762782739762893,False
balanced,500,0.1,0,0,1.0,32.0,False,False,0.06102942452892131,False
balanced,500,0.1,0,4,32.0,32.0,False,False,0.04673113670232444,False
balanced,500,0.1,0,16,32.0,32.0,False,False,0.015682995453395968,False
balanced,500,0.1,4,0,1.0,32.0,False,False,0.06067612148531224,False
balanced,500,0.1,4,4,32.0,32.0,False,False,0.0464223200482327,False
balanced,500,0.1,4,16,32.0,32.0,False,False,0.015283016137789353,False
balanced,500,0.1,16,0,32.0,32.0,False,False,0.06087446640200127,False
balanced,500,0.1,16,4,32.0,32.0,False,False,0.04665348415669299,False
balanced,500,0.1,16,16,32.0,32.0,False,False,0.014556089756888548,False
balanced,500,0.1,32,0,32.0,32.0,False,False,0.06244766649103915,False
balanced,500,0.1,32,4,32.0,32.0,False,False,0.04794773042635387,False
balanced,500,0.1,32,16,32.0,32.0,False,False,0.014344966178331121,False
balanced,500,0.3,0,0,1.0,1.0,True,False,0.5774166060645489,False
balanced,500,0.3,0,4,16.0,1.0,True,True,0.08208478379239274,True
balanced,500,0.3,0,16,8.0,1.0,True,False,0.017065730913628802,False
balanced,500,0.3,4,0,1.0,1.0,True,False,0.5774166060645489,False
balanced,500,0.3,4,4,16.0,1.0,True,True,0.08208478379239274,True
balanced,500,0.3,4,16,16.0,1.0,True,True,0.017065730913628802,False
balanced,500,0.3,16,0,32.0,1.0,True,True,0.5774166060645489,True
balanced,500,0.3,16,4,32.0,1.0,True,True,0.08208478379239274,True
balanced,500,0.3,16,16,16.0,1.0,True,True,0.017065730913628802,False
balanced,500,0.3,32,0,32.0,1.0,True,True,0.5774166060645489,True
balanced,500,0.3,32,4,32.0,1.0,True,True,0.08208478379239274,True
balanced,500,0.3,32,16,16.0,1.0,True,True,0.017065730913628802,False
balanced,500,1.0,0,0,2.0,1.0,True,False,0.7952343416673431,False
balanced,500,1.0,0,4,8.0,1.0,True,False,0.18163662362119748,False
balanced,500,1.0,0,16,4.0,1.0,True,False,0.06497462815341983,False
balanced,500,1.0,4,0,2.0,1.0,True,False,0.7952343416673431,False
balanced,500,1.0,4,4,8.0,1.0,True,False,0.18163662362119748,False
balanced,500,1.0,4,16,4.0,1.0,True,False,0.06497462815341983,False
balanced,500,1.0,16,0,32.0,1.0,True,True,0.7952343416673431,True
balanced,500,1.0,16,4,8.0,1.0,True,False,0.18163662362119748,False
balanced,500,1.0,16,16,4.0,1.0,True,False,0.06497462815341983,False
balanced,500,1.0,32,0,16.0,1.0,True,True,0.7952343416673431,True
balanced,500,1.0,32,4,16.0,1.0,True,True,0.18163662362119748,True
balanced,500,1.0,32,16,16.0,1.0,True,True,0.06497462815341983,True
balanced,1000,0.01,0,0,32.0,32.0,True,False,0.7805354274402521,False
balanced,1000,0.01,0,4,32.0,32.0,True,False,0.6788218388990104,False
balanced,1000,0.01,0,16,32.0,32.0,True,False,0.44592117272544624,False
balanced,1000,0.01,4,0,32.0,32.0,True,False,0.7724674112878858,False
balanced,1000,0.01,4,4,32.0,32.0,True,False,0.6713134500184225,False
balanced,1000,0.01,4,16,32.0,32.0,True,False,0.43968362079338813,False
balanced,1000,0.01,16,0,32.0,32.0,True,False,0.7535326913404945,False
balanced,1000,0.01,16,4,32.0,32.0,True,False,0.6547845122010301,False
balanced,1000,0.01,16,16,32.0,32.0,True,False,0.4283609923574517,False
balanced,1000,0.01,32,0,32.0,32.0,True,False,0.7447290172916325,False
balanced,1000,0.01,32,4,32.0,32.0,True,False,0.650237758056104,False
balanced,1000,0.01,32,16,32.0,32.0,True,False,0.43053594842358156,False
balanced,1000,0.03,0,0,8.0,32.0,False,False,0.6085310697702675,False
balanced,1000,0.03,0,4,32.0,32.0,True,False,0.5143189280441607,False
balanced,1000,0.03,0,16,32.0,32.0,True,False,0.3141281113172681,False
balanced,1000,0.03,4,0,8.0,32.0,False,False,0.6028975742950011,False
balanced,1000,0.03,4,4,32.0,32.0,True,False,0.5092365338641147,False
balanced,1000,0.03,4,16,32.0,32.0,True,False,0.310162553958417,False
balanced,1000,0.03,16,0,8.0,32.0,False,False,0.5903727032050086,False
balanced,1000,0.03,16,4,32.0,32.0,True,False,0.4987190853608311,False
balanced,1000,0.03,16,16,32.0,32.0,True,False,0.30349628677559976,False
balanced,1000,0.03,32,0,8.0,32.0,False,False,0.585470141796281,False
balanced,1000,0.03,32,4,32.0,32.0,True,False,0.4968924873114848,False
balanced,1000,0.03,32,16,32.0,32.0,True,False,0.3059024429850445,False
balanced,1000,0.1,0,0,2.0,32.0,False,False,0.09761091285505132,False
balanced,1000,0.1,0,4,32.0,32.0,False,False,0.07580523672839859,False
balanced,1000,0.1,0,16,32.0,32.0,False,False,0.024045006003930666,False
balanced,1000,0.1,4,0,2.0,32.0,False,False,0.09680725300655417,False
balanced,1000,0.1,4,4,32.0,32.0,False,False,0.07509364047388166,False
balanced,1000,0.1,4,16,32.0,32.0,False,False,0.023220935165708643,False
balanced,1000,0.1,16,0,32.0,32.0,False,False,0.09566132759313738,False
balanced,1000,0.1,16,4,32.0,32.0,False,False,0.07412609509062086,False
balanced,1000,0.1,16,16,32.0,32.0,False,False,0.020795289820435294,False
balanced,1000,0.1,32,0,32.0,32.0,False,False,0.09611558856117108,False
balanced,1000,0.1,32,4,32.0,32.0,False,False,0.07480790860764745,False
balanced,1000,0.1,32,16,32.0,32.0,False,False,0.01945793767743667,False
balanced,1000,0.3,0,0,8.0,1.0,True,False,0.38802580665826003,False
balanced,1000,0.3,0,4,16.0,1.0,True,True,0.11651739964001916,True
balanced,1000,0.3,0,16,16.0,1.0,True,True,0.022645056905062404,False
balanced,1000,0.3,4,0,32.0,1.0,True,True,0.38802580665826003,True
balanced,1000,0.3,4,4,32.0,1.0,True,True,0.11651739964001916,True
balanced,1000,0.3,4,16,32.0,1.0,True,True,0.022645056905062404,False
balanced,1000,0.3,16,0,32.0,1.0,True,True,0.38802580665826003,True
balanced,1000,0.3,16,4,32.0,1.0,True,True,0.11651739964001916,True
balanced,1000,0.3,16,16,32.0,1.0,True,True,0.022645056905062404,False
balanced,1000,0.3,32,0,32.0,1.0,True,True,0.38802580665826003,True
balanced,1000,0.3,32,4,32.0,1.0,True,True,0.11651739964001916,True
balanced,1000,0.3,32,16,32.0,1.0,True,True,0.022645056905062404,False
balanced,1000,1.0,0,0,1.0,1.0,True,False,0.8213880640480288,False
balanced,1000,1.0,0,4,16.0,1.0,True,True,0.16609980212990283,True
balanced,1000,1.0,0,16,8.0,1.0,True,False,0.050960083179441486,False
balanced,1000,1.0,4,0,1.0,1.0,True,False,0.8213880640480288,False
balanced,1000,1.0,4,4,16.0,1.0,True,True,0.16609980212990283,True
balanced,1000,1.0,4,16,8.0,1.0,True,False,0.050960083179441486,False
balanced,1000,1.0,16,0,16.0,1.0,True,True,0.8213880640480288,True
balanced,1000,1.0,16,4,32.0,1.0,True,True,0.16609980212990283,True
balanced,1000,1.0,16,16,16.0,1.0,True,True,0.050960083179441486,True
balanced,1000,1.0,32,0,32.0,1.0,True,True,0.8213880640480288,True
balanced,1000,1.0,32,4,16.0,1.0,True,True,0.16609980212990283,True
