path,strength,rho_global,rho_cluster,budget,error_amplitude,max_delay,overhead,selected_q,selected_eta,best_risk,runner_up_q,runner_up_risk,relative_margin,lrv_at_best_q,horizon_at_best_q
global,0.0,0.0,0.0,250,0.01,0,0,32.0,0.0025,9.857662255814662e-05,16.0,0.0001012540166284057,0.027160537668855362,0.04687499999999999,7.0
global,0.1,0.1,0.0,250,0.01,0,0,32.0,0.0025,0.00026646458444973584,16.0,0.0004444678795657383,0.6680185867235946,3.9421874999999966,7.0
global,0.2,0.2,0.0,250,0.01,0,0,32.0,0.0025,0.0004343525463413251,16.0,0.0007876817425030709,0.8134617815365376,7.837499999999993,7.0
global,0.30000000000000004,0.30000000000000004,0.0,250,0.01,0,0,32.0,0.0025,0.0006022405082329144,16.0,0.0011308956054404036,0.8778139131800707,11.73281249999999,7.0
global,0.4,0.4,0.0,250,0.01,0,0,32.0,0.0025,0.0007701284701245036,16.0,0.001474109468377736,0.9141085228798549,15.628124999999986,7.0
global,0.5,0.5,0.0,250,0.01,0,0,32.0,0.0025,0.0009380164320160928,16.0,0.0018173233313150687,0.9374109762758297,19.523437499999982,7.0
global,0.6000000000000001,0.6000000000000001,0.0,250,0.01,0,0,32.0,0.0025,0.001105904393907682,16.0,0.002160537194252401,0.9536383128185283,23.41874999999998,7.0
global,0.7000000000000001,0.7000000000000001,0.0,250,0.01,0,0,32.0,0.0025,0.0012737923557992713,16.0,0.002503751057189734,0.9655880691941318,27.31406249999998,7.0
global,0.8,0.8,0.0,250,0.01,0,0,32.0,0.0025,0.0014416803176908605,16.0,0.0028469649201270666,0.9747546562105048,31.209374999999973,7.0
clustered,0.0,0.0,0.0,250,0.01,0,0,32.0,0.0025,9.857662255814662e-05,16.0,0.0001012540166284057,0.027160537668855362,0.04687499999999999,7.0
clustered,0.1,0.0,0.1,250,0.01,0,0,32.0,0.0025,0.00010448113918305221,16.0,0.00011250439476609584,0.07679142518715058,0.18387075095386746,7.0
clustered,0.2,0.0,0.2,250,0.01,0,0,32.0,0.0025,0.0001103856558079578,16.0,0.00012375477290378598,0.12111281124321939,0.3208665019077349,7.0
clustered,0.30000000000000004,0.0,0.30000000000000004,250,0.01,0,0,32.0,0.0025,0.00011629017243286341,16.0,0.00013500515104147612,0.16093344963794967,0.4578622528616024,7.0
clustered,0.4,0.0,0.4,250,0.01,0,0,32.0,0.0025,0.000122194689057769,16.0,0.00014625552917916625,0.19690577640426105,0.5948580038154698,7.0
clustered,0.5,0.0,0.5,250,0.01,0,0,32.0,0.0025,0.0001280992056826746,16.0,0.00015750590731685642,0.2295619358251733,0.7318537547693372,7.0
clustered,0.6000000000000001,0.0,0.6000000000000001,250,0.01,0,0,32.0,0.0025,0.0001340037223075802,16.0,0.00016875628545454655,0.2593402821094657,0.868849505723205,7.0
clustered,0.7000000000000001,0.0,0.7000000000000001,250,0.01,0,0,32.0,0.0025,0.00013990823893248578,16.0,0.00018000666359223669,0.2866051704010143,1.0058452566770724,7.0
clustered,0.8,0.0,0.8,250,0.01,0,0,32.0,0.0025,0.00014581275555739138,16.0,0.00019125704172992682,0.31166193930577446,1.1428410076309397,7.0
balanced,0.0,0.0,0.0,250,0.01,0,0,32.0,0.0025,9.857662255814662e-05,16.0,0.0001012540166284057,0.027160537668855362,0.04687499999999999,7.0
balanced,0.1,0.05,0.05,250,0.01,0,0,32.0,0.0025,0.00018547286181639405,16.0,0.00027848613716591707,0.5014926412339508,2.063029125476932,7.0
balanced,0.2,0.1,0.1,250,0.01,0,0,32.0,0.0025,0.00027236910107464145,16.0,0.0004557182577034284,0.673164305001473,4.079183250953864,7.0
balanced,0.30000000000000004,0.15000000000000002,0.15000000000000002,250,0.01,0,0,32.0,0.0025,0.0003592653403328889,16.0,0.0006329503782409397,0.761790819160176,6.0953373764307965,7.0
balanced,0.4,0.2,0.2,250,0.01,0,0,32.0,0.0025,0.0004461615795911363,16.0,0.0008101824987784512,0.8158948144322616,8.111491501907729,7.0
balanced,0.5,0.25,0.25,250,0.01,0,0,32.0,0.0025,0.0005330578188493837,16.0,0.0009874146193159625,0.8523593208843975,10.12764562738466,7.0
balanced,0.6000000000000001,0.30000000000000004,0.30000000000000004,250,0.01,0,0,32.0,0.0025,0.0006199540581076312,16.0,0.0011646467398534737,0.8786016876935704,12.143799752861593,7.0
balanced,0.7000000000000001,0.35000000000000003,0.35000000000000003,250,0.01,0,0,32.0,0.0025,0.0007068502973658786,16.0,0.0013418788603909854,0.8983918736280935,14.159953878338525,7.0
balanced,0.8,0.4,0.4,250,0.01,0,0,32.0,0.0025,0.000793746536624126,16.0,0.0015191109809284966,0.9138489566069913,16.176108003815457,7.0
global,0.0,0.0,0.0,250,0.03,0,0,8.0,0.0047880164034928676,0.0007841673697478368,4.0,0.0007850827990543267,0.0011673902049561687,0.18749999999999997,31.0
global,0.1,0.1,0.0,250,0.03,0,0,32.0,0.0025,0.001038915065575165,16.0,0.0011865929749536926,0.14214627766204366,3.9421874999999966,7.0
global,0.2,0.2,0.0,250,0.03,0,0,32.0,0.0025,0.0012068030274667541,16.0,0.0015298068378910253,0.2676524694359615,7.837499999999993,7.0
global,0.30000000000000004,0.30000000000000004,0.0,250,0.03,0,0,32.0,0.0025,0.0013746909893583435,16.0,0.001873020700828358,0.3625030754748868,11.73281249999999,7.0
global,0.4,0.4,0.0,250,0.03,0,0,32.0,0.0025,0.0015425789512499327,16.0,0.0022162345637656905,0.43670738017649136,15.628124999999986,7.0
global,0.5,0.5,0.0,250,0.03,0,0,32.0,0.0025,0.001710466913141522,16.0,0.0025594484267030234,0.49634489099951257,19.523437499999982,7.0
global,0.6000000000000001,0.6000000000000001,0.0,250,0.03,0,0,32.0,0.0025,0.0018783548750331111,16.0,0.0029026622896403554,0.545321562087243,23.41874999999998,7.0
global,0.7000000000000001,0.7000000000000001,0.0,250,0.03,0,0,32.0,0.0025,0.0020462428369247003,16.0,0.0032458761525776883,0.5862614612525254,27.31406249999998,7.0
global,0.8,0.8,0.0,250,0.03,0,0,32.0,0.0025,0.0022141307988162895,16.0,0.003589090015515021,0.6209927694577969,31.209374999999973,7.0
clustered,0.0,0.0,0.0,250,0.03,0,0,8.0,0.0047880164034928676,0.0007841673697478368,4.0,0.0007850827990543267,0.0011673902049561687,0.18749999999999997,31.0
clustered,0.1,0.0,0.1,250,0.03,0,0,4.0,0.0025,0.0008140290647516313,8.0,0.0008232373664413459,0.011312006030797099,0.46167466614637526,62.0
clustered,0.2,0.0,0.2,250,0.03,0,0,4.0,0.0025,0.000842975330448936,8.0,0.0008438648055603625,0.0010551614967815837,0.5483493322927506,62.0
clustered,0.30000000000000004,0.0,0.30000000000000004,250,0.03,0,0,8.0,0.0025,0.0008636182590222145,4.0,0.0008719215961462408,0.009614591907108672,0.5168822190426638,31.0
clustered,0.4,0.0,0.4,250,0.03,0,0,8.0,0.0025,0.0008833717124840665,16.0,0.0008883806245671207,0.005670220148853288,0.626676292056885,31.0
clustered,0.5,0.0,0.5,250,0.03,0,0,16.0,0.0025,0.0008996310027048108,32.0,0.0009005496868081037,0.0010211787950068782,0.7150246054457162,15.0
clustered,0.6000000000000001,0.0,0.6000000000000001,250,0.03,0,0,32.0,0.0025,0.0009064542034330093,16.0,0.000910881380842501,0.0048840607641562955,0.868849505723205,7.0
clustered,0.7000000000000001,0.0,0.7000000000000001,250,0.03,0,0,32.0,0.0025,0.0009123587200579148,16.0,0.0009221317589801911,0.010711838126187763,1.0058452566770724,7.0
