persistence,rho,delay,seed,policy,pilot_stays,persistence_upper,certificate_covered,gap,delta_upper,num_agents,eta,theorem_contraction,updates,risk_surrogate,exact_radius,exact_residual,expected_final_error,used_persistence
0.5,0.0,0,0,online_ucb,1076,0.5512343875061603,True,3,0.0005379533761007947,32,0.024636472346270942,0.9689919104619847,417,2.64423471978745e-05,0.9688721210008098,0.0,2.6248918393887767e-05,0.5
0.5,0.0,0,0,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,0,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,0,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,0,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,0,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,1,online_ucb,995,0.511783449345995,True,2,0.0002776993569792579,32,0.02405755330885668,0.9696376304792553,427,2.57427479748188e-05,0.9695772839311416,0.0,2.5645209114101912e-05,0.5
0.5,0.0,0,1,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,1,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,1,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,1,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,1,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,2,online_ucb,1007,0.5176381693829177,True,2,0.0006222100383609932,32,0.024108831348051234,0.9696502801353389,427,2.5865103922456778e-05,0.9695147726958662,2.482534153247273e-16,2.564707480545263e-05,0.5
0.5,0.0,0,2,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,2,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,2,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,2,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,2,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,3,online_ucb,1081,0.553664360380859,True,3,0.0006181841469646478,32,0.024648720413641148,0.9689949408815575,417,2.6471652281283726e-05,0.9688572156881206,0.0,2.6249489077502322e-05,0.5
0.5,0.0,0,3,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,3,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,3,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,3,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,3,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,4,online_ucb,1068,0.5473451534499363,True,3,0.0004245086819545387,32,0.024619177245519742,0.9689876291848345,417,2.6400998162871708e-05,0.9688931692765904,0.0,2.6248245363399168e-05,0.5
0.5,0.0,0,4,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,4,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,4,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,4,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,4,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,5,online_ucb,1028,0.527875446711705,True,2,0.0015540810587542162,32,0.024248763200227487,0.9696847068644635,427,2.6200726873404487e-05,0.9693442372622978,1.5700924586837754e-16,2.5659117558966088e-05,0.5
0.5,0.0,0,5,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,5,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,5,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,5,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,5,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,6,online_ucb,1043,0.5351811793275321,True,3,0.0001741771468027191,32,0.024581109786319607,0.9689781973264261,417,2.631011786589651e-05,0.9689395016574177,0.0,2.6247318318440787e-05,0.5
0.5,0.0,0,6,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,6,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,6,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,6,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,6,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,7,online_ucb,1016,0.5220268956194047,True,2,0.0009703682612563035,32,0.024160898637709476,0.9696631084519985,427,2.598969472908397e-05,0.9694513094722692,0.0,2.5650389142867632e-05,0.5
0.5,0.0,0,7,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,7,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,7,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,7,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,7,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,8,online_ucb,1010,0.5191012984374632,True,2,0.0007297192039940698,32,0.024124882058266302,0.9696542376483815,427,2.5903475571277084e-05,0.9694952078857042,1.5700924586837754e-16,2.564794579886388e-05,0.5
0.5,0.0,0,8,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,8,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,8,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,8,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,8,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,9,online_ucb,1003,0.5156869878789372,True,2,0.0004921631774278444,32,0.024089445760728172,0.9696455007019413,427,2.5818808537338114e-05,0.9695384038092214,1.5700924586837754e-16,2.5646204243406684e-05,0.5
0.5,0.0,0,9,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,9,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,9,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,9,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,9,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,10,online_ucb,1029,0.5283626668915571,True,2,0.001608881746402857,32,0.02425704849173122,0.9696867412212167,427,2.622067867116413e-05,0.9693341422672463,0.0,2.5660138436237972e-05,0.5
0.5,0.0,0,10,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,10,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,10,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,10,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,10,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,11,online_ucb,993,0.5108073197332195,True,2,0.00023359631963206979,32,0.024051006656817513,0.9696360138314858,427,2.5727150666449954e-05,0.9695852654366865,1.5700924586837754e-16,2.56450727986891e-05,0.5
0.5,0.0,0,11,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,11,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,11,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,11,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,11,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,12,online_ucb,1015,0.5215393572806667,True,2,0.0009278878241284186,32,0.02415453229484124,0.9696615408357925,427,2.5974441896577658e-05,0.9694590686631805,1.5700924586837754e-16,2.5649908443338893e-05,0.5
0.5,0.0,0,12,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,12,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,12,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,12,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.0,0,12,oracle_q32,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,13,online_ucb,1059,0.5429678876754775,True,3,0.000317316023710954,32,0.024602861444915518,0.968983586588132,417,2.6362022091476807e-05,0.9689130267715972,1.5700924586837754e-16,2.6247754133683694e-05,0.5
0.5,0.0,0,13,oracle,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,13,iid_naive,-1,0.5,True,1,0.0,32,0.021238100972144132,0.9730296589010241,487,2.2554910751278523e-05,0.9730296589010242,0.0,2.255487626431053e-05,0.5
0.5,0.0,0,13,worst_mixing,-1,0.98,True,93,0.011225215234817352,32,0.06971123919345244,0.9252673058274221,150,8.999527430315697e-05,0.9178530468610453,0.0,7.65534121982137e-05,0.5
0.5,0.0,0,13,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
