task,mixing,rho,delay_trace,budget,best_fixed_policy,best_fixed_q,best_fixed_geometric_terminal_prediction_mse,best_fixed_cvar90_terminal_prediction_mse,best_fixed_mean_message_bytes,best_fixed_mean_environment_steps,best_fixed_mean_agent_transitions,best_fixed_mean_wall_seconds
cartpole,fast_regeneration,0.0,wan_bursty,message_binding,single_agent,1,34.33237189974551,34.70581817626953,134196748.0,1603.0,1603.0,1.4063990454887971
cartpole,fast_regeneration,0.0,zero,environment_binding,fixed_q32,32,32.86992786789264,32.89561462402344,536608384.0,829.0,26528.0,1.682647267007269
cartpole,fast_regeneration,0.0,zero,message_binding,fixed_q4,4,34.57186787560126,34.68663024902344,134108320.0,970.0,3880.0,0.9338497804710642
cartpole,fast_regeneration,0.5,edge_jitter,environment_binding,fixed_q32,32,33.01054156121722,33.0691032409668,536608384.0,829.0,26528.0,3.5233713764464483
cartpole,fast_regeneration,0.5,edge_jitter,message_binding,fixed_q4,4,34.27223005997864,34.28392791748047,134108320.0,970.0,3880.0,2.1260567270219326
cartpole,fast_regeneration,0.5,wan_bursty,environment_binding,fixed_q32,32,33.0481214631764,33.11602020263672,536608384.0,829.0,26528.0,5.58385903656017
cartpole,fast_regeneration,0.5,wan_bursty,message_binding,fixed_q4,4,34.29552708255284,34.36582565307617,134108320.0,970.0,3880.0,2.654159691068344
cartpole,fast_regeneration,0.5,zero,environment_binding,fixed_q32,32,33.04170540998592,33.15931701660156,536608384.0,829.0,26528.0,1.6804347374709323
cartpole,fast_regeneration,0.5,zero,message_binding,fixed_q4,4,34.153012981760924,34.33545684814453,134108320.0,970.0,3880.0,0.9620640324428678
cartpole,fast_regeneration,0.9,edge_jitter,environment_binding,fixed_q32,32,33.12707143131115,33.31838607788086,536608384.0,829.0,26528.0,3.5085332514718175
cartpole,fast_regeneration,0.9,edge_jitter,message_binding,fixed_q4,4,33.95957306965098,34.11019515991211,134108320.0,970.0,3880.0,2.1047994198743254
cartpole,fast_regeneration,0.9,wan_bursty,environment_binding,fixed_q32,32,33.17114549912799,33.3778190612793,536608384.0,829.0,26528.0,5.567761522601359
cartpole,fast_regeneration,0.9,wan_bursty,message_binding,fixed_q4,4,34.03459762107133,34.111019134521484,134108320.0,970.0,3880.0,2.6275637694634497
cartpole,fast_regeneration,0.9,zero,environment_binding,fixed_q32,32,33.20475947324312,33.50042724609375,536608384.0,829.0,26528.0,1.6734175604069605
cartpole,fast_regeneration,0.9,zero,message_binding,fixed_q4,4,33.86455519455318,34.16005325317383,134108320.0,970.0,3880.0,0.9225813400698826
cartpole,slow_regeneration,0.0,edge_jitter,environment_binding,fixed_q32,32,33.713110197700196,34.9902458190918,536608384.0,829.0,26528.0,3.499510603956878
cartpole,slow_regeneration,0.0,edge_jitter,message_binding,fixed_q4,4,34.939844627633676,36.095340728759766,134108320.0,970.0,3880.0,2.1096186820650473
cartpole,slow_regeneration,0.0,wan_bursty,environment_binding,fixed_q32,32,33.74628828162436,34.97230529785156,536608384.0,829.0,26528.0,5.543779019499198
cartpole,slow_regeneration,0.0,wan_bursty,message_binding,fixed_q4,4,35.05391536968666,36.4171142578125,134108320.0,970.0,3880.0,2.623521517496556
cartpole,slow_regeneration,0.0,zero,environment_binding,fixed_q32,32,33.70143605320008,34.97764205932617,536608384.0,829.0,26528.0,1.6707774030510336
cartpole,slow_regeneration,0.0,zero,message_binding,fixed_q4,4,34.85392812588744,35.99788284301758,134108320.0,970.0,3880.0,0.924345976440236
cartpole,slow_regeneration,0.5,edge_jitter,environment_binding,fixed_q32,32,33.503770516637395,34.934539794921875,536608384.0,829.0,26528.0,3.4912985675036907
cartpole,slow_regeneration,0.5,edge_jitter,message_binding,single_agent,1,33.81862135660145,34.33625411987305,134196748.0,1603.0,1603.0,1.3827294600196183
cartpole,slow_regeneration,0.5,wan_bursty,environment_binding,fixed_q32,32,33.62340336567953,34.984920501708984,536608384.0,829.0,26528.0,5.5363070104504
cartpole,slow_regeneration,0.5,wan_bursty,message_binding,single_agent,1,33.86133801348522,34.23176956176758,134196748.0,1603.0,1603.0,1.387187949148938
cartpole,slow_regeneration,0.5,zero,environment_binding,fixed_q32,32,33.476626246296206,34.777793884277344,536608384.0,829.0,26528.0,1.6680299784056842
cartpole,slow_regeneration,0.5,zero,message_binding,single_agent,1,33.830234174513684,34.32548904418945,134196748.0,1603.0,1603.0,1.437403740012087
cartpole,slow_regeneration,0.9,edge_jitter,environment_binding,fixed_q32,32,33.38674207600841,34.82441329956055,536608384.0,829.0,26528.0,3.4817227949388325
cartpole,slow_regeneration,0.9,edge_jitter,message_binding,single_agent,1,33.81862135660145,34.33625411987305,134196748.0,1603.0,1603.0,1.3797093285247684
cartpole,slow_regeneration,0.9,wan_bursty,environment_binding,fixed_q32,32,33.48502690893288,34.88801956176758,536608384.0,829.0,26528.0,5.554239075630903
cartpole,slow_regeneration,0.9,wan_bursty,message_binding,single_agent,1,33.86133801348522,34.23176956176758,134196748.0,1603.0,1603.0,1.3866150416433811
cartpole,slow_regeneration,0.9,zero,environment_binding,fixed_q32,32,33.371654528372645,34.665122985839844,536608384.0,829.0,26528.0,1.6628555704373866
cartpole,slow_regeneration,0.9,zero,message_binding,single_agent,1,33.830234174513684,34.32548904418945,134196748.0,1603.0,1603.0,1.4366703430423513
