task,mixing,rho,delay_trace,budget,best_fixed_policy,best_fixed_q,policy,nominal_q,geometric_terminal_prediction_mse,geometric_terminal_error_ratio_to_best_fixed,cvar90_terminal_prediction_mse,mean_message_bytes,mean_environment_steps,mean_agent_transitions,mean_wall_seconds,seeds
acrobot,fast_regeneration,0.0,zero,message_binding,single_agent,1,fixed_q32,32,908.3793076813007,29.12948111779681,919.5689697265624,134063360.0,202.0,6464.0,0.40754228096920997,2
acrobot,fast_regeneration,0.0,zero,message_binding,single_agent,1,fixed_q4,4,31.283861551832057,1.0031961832023364,31.36026382446289,134130624.0,956.0,3824.0,0.9026027570944279,2
acrobot,fast_regeneration,0.0,zero,message_binding,single_agent,1,oracle_evaluation_only,,31.522797611039863,1.0108582725588415,31.7536563873291,134202828.0,3898.0,15052.0,1.664745372487232,2
acrobot,fast_regeneration,0.0,zero,message_binding,single_agent,1,single_agent,1,31.184191163855697,1.0,31.404809951782227,134175204.0,1593.0,1593.0,1.4314196039922535,2
acrobot,fast_regeneration,0.5,edge_jitter,environment_binding,fixed_q4,4,always_all,32,32.16356300749834,1.0281727703688426,32.68218231201172,536253440.0,808.0,25856.0,3.4024166429881006,2
acrobot,fast_regeneration,0.5,edge_jitter,environment_binding,fixed_q4,4,fixed_q16,16,31.29959074466236,1.0005541649676062,31.59203720092773,373358592.0,1024.0,16384.0,3.399033989524469,2
acrobot,fast_regeneration,0.5,edge_jitter,environment_binding,fixed_q4,4,fixed_q32,32,32.16356300749834,1.0281727703688426,32.68218231201172,536253440.0,808.0,25856.0,3.4024367245147005,2
acrobot,fast_regeneration,0.5,edge_jitter,environment_binding,fixed_q4,4,fixed_q4,4,31.282255214714652,1.0,31.605375289916992,143671296.0,1024.0,4096.0,2.2093654440250248,2
acrobot,fast_regeneration,0.5,edge_jitter,environment_binding,fixed_q4,4,oracle_evaluation_only,,840.3922219615083,26.864822123380726,856.500732421875,169902080.0,1024.0,32768.0,2.1737280410015956,2
acrobot,fast_regeneration,0.5,edge_jitter,environment_binding,fixed_q4,4,single_agent,1,31.580078859155833,1.009520529846617,31.9894962310791,86249472.0,1024.0,1024.0,0.8778765780152753,2
acrobot,fast_regeneration,0.5,edge_jitter,message_binding,single_agent,1,always_all,32,910.8427874575166,29.19139648529584,922.3853759765624,134063360.0,202.0,6464.0,0.8516271056141704,2
acrobot,fast_regeneration,0.5,edge_jitter,message_binding,single_agent,1,fixed_q16,16,476.13008618496684,15.259386488858503,521.8629150390625,134175744.0,368.0,5888.0,1.222671494469978,2
acrobot,fast_regeneration,0.5,edge_jitter,message_binding,single_agent,1,fixed_q32,32,910.8427874575166,29.19139648529584,922.3853759765624,134063360.0,202.0,6464.0,0.8540000824723393,2
acrobot,fast_regeneration,0.5,edge_jitter,message_binding,single_agent,1,fixed_q4,4,32.836049765858384,1.052355204350548,34.39860153198242,134130624.0,956.0,3824.0,2.056992989964783,2
acrobot,fast_regeneration,0.5,edge_jitter,message_binding,single_agent,1,oracle_evaluation_only,,31.499110507481518,1.0095079375055473,32.0781364440918,133969920.0,4088.0,14336.0,6.38517718645744,2
acrobot,fast_regeneration,0.5,edge_jitter,message_binding,single_agent,1,single_agent,1,31.202439661162572,1.0,31.411375045776367,134175204.0,1593.0,1593.0,1.3671323029557243,2
acrobot,fast_regeneration,0.5,wan_bursty,environment_binding,fixed_q16,16,always_all,32,32.38820887185378,1.0301216226685097,32.75104522705078,536253440.0,808.0,25856.0,5.423492239438929,2
acrobot,fast_regeneration,0.5,wan_bursty,environment_binding,fixed_q16,16,fixed_q16,16,31.44115040314634,1.0,32.01427459716797,373358592.0,1024.0,16384.0,5.681624000542797,2
acrobot,fast_regeneration,0.5,wan_bursty,environment_binding,fixed_q16,16,fixed_q32,32,32.38820887185378,1.0301216226685097,32.75104522705078,536253440.0,808.0,25856.0,5.4286321544786915,2
acrobot,fast_regeneration,0.5,wan_bursty,environment_binding,fixed_q16,16,fixed_q4,4,31.781902944977475,1.010837788613391,32.649173736572266,143671296.0,1024.0,4096.0,2.771013577003032,2
acrobot,fast_regeneration,0.5,wan_bursty,environment_binding,fixed_q16,16,oracle_evaluation_only,,854.8075393015054,27.18754016125199,869.8687744140625,169902080.0,1024.0,32768.0,3.08656069857534,2
acrobot,fast_regeneration,0.5,wan_bursty,environment_binding,fixed_q16,16,single_agent,1,32.03671221331698,1.018942112566945,32.764923095703125,86249472.0,1024.0,1024.0,0.8850208265939727,2
acrobot,fast_regeneration,0.5,wan_bursty,message_binding,single_agent,1,always_all,32,917.6470537699006,29.258688782135177,928.5548095703124,134063360.0,202.0,6464.0,1.3599870459875092,2
acrobot,fast_regeneration,0.5,wan_bursty,message_binding,single_agent,1,fixed_q16,16,533.6261934009472,17.014387671786487,577.7293701171875,134175744.0,368.0,5888.0,2.0397508919704705,2
acrobot,fast_regeneration,0.5,wan_bursty,message_binding,single_agent,1,fixed_q32,32,917.6470537699006,29.258688782135177,928.5548095703124,134063360.0,202.0,6464.0,1.362711122026667,2
acrobot,fast_regeneration,0.5,wan_bursty,message_binding,single_agent,1,fixed_q4,4,32.28486584494116,1.0293857951697627,33.157161712646484,134130624.0,956.0,3824.0,2.5834419530583546,2
acrobot,fast_regeneration,0.5,wan_bursty,message_binding,single_agent,1,oracle_evaluation_only,,31.61264558337569,1.0079524092667755,32.331668853759766,133969920.0,4088.0,14336.0,7.990667950129136,2
acrobot,fast_regeneration,0.5,wan_bursty,message_binding,single_agent,1,single_agent,1,31.363232324006233,1.0,31.52276611328125,134175204.0,1593.0,1593.0,1.3809063299559057,2
acrobot,fast_regeneration,0.5,zero,environment_binding,fixed_q4,4,always_all,32,31.682076154430053,1.0147554010264732,31.71798515319824,536253440.0,808.0,25856.0,1.6250848724739626,2
acrobot,fast_regeneration,0.5,zero,environment_binding,fixed_q4,4,fixed_q16,16,31.266955568089386,1.0014593703303418,31.47161865234375,373358592.0,1024.0,16384.0,1.217139609507285,2
acrobot,fast_regeneration,0.5,zero,environment_binding,fixed_q4,4,fixed_q32,32,31.682076154430053,1.0147554010264732,31.71798515319824,536253440.0,808.0,25856.0,1.6225794710917398,2
