persistence,rho,maximum_delay,policy,q,gap,eta,checkpoint,resource_fraction,parameter_mean,parameter_std,return_mean,return_std,seeds,parameter_ci95,return_ci95
0.0,0.0,0,joint,16,64,0.0102631531302343,0,0.0,1.0,0.0,1.0,0.0,64,0.0,0.0
0.0,0.0,0,joint,16,64,0.0102631531302343,1,0.0249375,0.6756219531140246,0.01105112496318543,0.3216772057412489,0.04165515843105454,64,0.0027075256159804304,0.010205513815608361
0.0,0.0,0,joint,16,64,0.0102631531302343,2,0.049875,0.4611533258018568,0.011356568077100178,0.09539932099061842,0.031334714841952285,64,0.0027823591788895437,0.00767700513627831
0.0,0.0,0,joint,16,64,0.0102631531302343,3,0.0748125,0.3175813421390275,0.009972931841745669,0.02700242714735557,0.019991680131165947,64,0.0024433683012276886,0.004897961632135657
0.0,0.0,0,joint,16,64,0.0102631531302343,4,0.09975,0.21975311738312345,0.008746582696272823,0.009471321262638959,0.01199793528419243,64,0.0021429127605868416,0.0029394941446271453
0.0,0.0,0,joint,16,64,0.0102631531302343,5,0.1246875,0.15219842646363937,0.0069182603792027775,0.006638379605390965,0.008984034239431227,64,0.0016949737929046805,0.0022010883886606505
0.0,0.0,0,joint,16,64,0.0102631531302343,6,0.149625,0.10631941854613507,0.006432179825169059,0.012994843197882605,0.016068981926154993,64,0.0015758840571664194,0.003936900571907973
0.0,0.0,0,joint,16,64,0.0102631531302343,7,0.1745625,0.07453652624097713,0.005613202293245566,0.009624837606251505,0.010475875397356721,64,0.0013752345618451636,0.0025665894723523965
0.0,0.0,0,joint,16,64,0.0102631531302343,8,0.1995,0.052065180038862305,0.00413458098791637,0.011391476287321031,0.015731943573910924,64,0.0010129723420395107,0.0038543261756081764
0.0,0.0,0,joint,16,64,0.0102631531302343,9,0.2244375,0.03634907380788897,0.0042129618770398594,0.013200758288780666,0.016896175890406397,64,0.0010321756598747655,0.004139563093149568
0.0,0.0,0,joint,16,64,0.0102631531302343,10,0.249375,0.026333047540239404,0.004319666432877016,0.01669232605806864,0.02601372748666231,64,0.001058318276054869,0.006373363234232266
0.0,0.0,0,joint,16,64,0.0102631531302343,11,0.2743125,0.018917071977014397,0.0034244761976239277,0.021770970812346177,0.026933752122732888,64,0.0008389966684178622,0.006598769270069558
0.0,0.0,0,joint,16,64,0.0102631531302343,12,0.29925,0.013920408552269151,0.0036361517329453917,0.02600131789260997,0.03524537548501817,64,0.0008908571745716209,0.008635116993829451
0.0,0.0,0,joint,16,64,0.0102631531302343,13,0.3241875,0.010051312693644121,0.0030940522532365558,0.02093650106944336,0.025294766408196886,64,0.0007580428020429561,0.0061972177700082365
