persistence,policy,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,omega,innovation_bound,initial_error,update_cost,updates,resource_budget,eta,affine_boundary,a_delta,beta_delta,h_delay,g_delay,young_lambda,contraction,forcing,residual,blocks,finite_time_bound,beats_no_update_bound
0.0,joint,16,0.0,0,0.1,64,3.5549594395554215e-05,0.0006043431047244217,1.8972676907220358,0.10000000000000003,7.412688455006394,0.09104038568949316,1.9636825202828403,0.0,0,0.09400101652747554,4.060351299511963,0.696136173289883,84,1523,128000,0.010263155128331822,0.023181034803012937,0.9994793170002774,2.6715797028368903e-05,0.0,0.0,0.0,0.9994793170002774,2.6715797028368903e-05,0.05130914019201777,1523,0.3430235817666552,True
0.0,q1,1,0.0,0,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,55,2327,128000,0.0019433894770307524,0.004942571208744003,0.9998930491702749,1.2073864020023718e-05,0.0,0.0,0.0,0.9998930491702749,1.2073864020023718e-05,0.11289172838636027,2327,0.56762839471339,True
0.0,q32,32,0.0,0,0.1,68,1.9079553609862025e-05,0.0006296252691254468,1.6569876148975915,0.10000000000000003,7.412688455006394,0.09066556807314705,1.7261808506758176,0.0,0,0.04700050826373777,4.060351299511963,0.696136173289883,104,1230,128000,0.012070154969987932,0.026261897192767565,0.9994086224274238,2.3224382471458635e-05,0.0,0.0,0.0,0.9994086224274238,2.3224382471458635e-05,0.039271665934652325,1230,0.3565781667995159,True
0.0,joint,1,0.9,0,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,55,2327,128000,0.0019433894770307524,0.004942571208744003,0.9998930491702749,1.2073864020023718e-05,0.0,0.0,0.0,0.9998930491702749,1.2073864020023718e-05,0.11289172838636027,2327,0.56762839471339,True
0.0,q1,1,0.9,0,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,55,2327,128000,0.0019433894770307524,0.004942571208744003,0.9998930491702749,1.2073864020023718e-05,0.0,0.0,0.0,0.9998930491702749,1.2073864020023718e-05,0.11289172838636027,2327,0.56762839471339,True
0.0,q32,32,0.9,0,0.1,68,1.9079553609862025e-05,0.0006296252691254468,8.360831544774337,0.10000000000000003,7.412688455006394,0.09066556807314705,8.430024780552563,0.0,0,1.3583146888220214,4.060351299511963,0.696136173289883,104,1230,128000,0.0021411899139114317,0.005377538645099281,0.999883165972337,1.3262673564610687e-05,0.0,0.0,0.0,0.999883165972337,1.3262673564610687e-05,0.11351721608759795,1230,0.6181440096510118,True
0.0,joint,4,0.0,8,0.1,56,0.0001234148815085895,0.0006170744075429475,3.3389520242634765,0.10000000000000003,7.412688455006394,0.090851639326653,3.4067659718090306,0.0,0,0.37600406610990217,4.060351299511963,0.696136173289883,64,2000,128000,0.005444598354734565,0.013334000644371874,0.9997073272786762,2.500342734237349e-05,0.0,0.0,0.0,0.9997073272786762,2.500342734237349e-05,0.08543135564283916,2000,0.425511943366428,True
0.0,q1,1,0.0,8,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,55,2327,128000,0.0019433894770307524,0.004942571208744003,0.9998930491702749,1.2073864020023718e-05,0.0,0.0,0.0,0.9998930491702749,1.2073864020023718e-05,0.11289172838636027,2327,0.56762839471339,True
0.0,q32,32,0.0,8,0.1,68,1.9079553609862025e-05,0.0006296252691254468,1.6569876148975915,0.10000000000000003,7.412688455006394,0.09066556807314705,1.7261808506758176,3.9764934301467165,8,0.04700050826373777,4.060351299511963,0.696136173289883,104,1230,128000,5.978058110866251e-05,0.00014589074006387593,0.9999945922974207,1.7721618610635778e-08,1.2194782377517662e-12,3.6588935906631214e-13,1.1043028716629508e-06,0.9999968008924399,3.4905262762923957e-07,0.10910937537229155,72,0.6960009753902412,True
0.0,joint,1,0.9,8,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,55,2327,128000,0.0019433894770307524,0.004942571208744003,0.9998930491702749,1.2073864020023718e-05,0.0,0.0,0.0,0.9998930491702749,1.2073864020023718e-05,0.11289172838636027,2327,0.56762839471339,True
