persistence,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,omega,innovation_bound,initial_error,update_cost,updates,resource_budget,eta,affine_boundary,a_delta,beta_delta,h_delay,g_delay,young_lambda,contraction,forcing,residual,blocks,finite_time_bound
0.0,1,0.0,0,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,55,2327,128000,0.0019433894770307524,0.004942571208744003,0.9998930491702749,1.2073864020023718e-05,0.0,0.0,0.0,0.9998930491702749,1.2073864020023718e-05,0.11289172838636027,2327,0.56762839471339
0.0,1,0.0,0,0.25,44,0.0007983013019689016,0.0015966026039378031,9.1057040309513,0.10000000000000003,7.412688455006394,0.07632976462111424,9.28116411147165,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,49,2612,128000,0.0015587656951665957,0.004112079244819933,0.9999261216075287,1.099754763268388e-05,0.0,0.0,0.0,0.9999261216075287,1.099754763268388e-05,0.14886013710917487,2612,0.6000895210327214
0.0,1,0.0,0,0.5,40,0.00148741867493181,0.00297483734986362,9.1057040309513,0.10000000000000003,7.412688455006394,0.05589691504228829,9.432626459647496,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,45,2844,128000,0.0008589035516441447,0.0029629560378226427,0.9999659071270691,1.1331271179655947e-05,0.0,0.0,0.0,0.9999659071270691,1.1331271179655947e-05,0.33236480840523663,2844,0.662520312619693
0.0,1,0.0,0,0.75,37,0.0023721017329521705,0.004744203465904341,9.1057040309513,0.10000000000000003,7.412688455006394,0.029665395480179185,9.627072541862816,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,42,3047,128000,1.7793655908762532e-11,0.0015407277420608364,0.9999999999994721,8.902846194452518e-13,0.0,0.0,0.0,0.9999999999994721,8.902846194452518e-13,1.686429224137674,3047,1.686429224137674
0.0,2,0.0,0,0.1,53,0.00019681915438076608,0.0005904574631422982,5.26120162052503,0.10000000000000003,7.412688455006394,0.09124624555958548,5.326090475003452,0.0,0,0.7520081322198043,4.060351299511963,0.696136173289883,59,2169,128000,0.003414775941691513,0.008565968414151044,0.999812626346181,1.885234324078227e-05,0.0,0.0,0.0,0.999812626346181,1.885234324078227e-05,0.1006136287388023,2169,0.49723722504025997
0.0,2,0.0,0,0.25,47,0.000500572545289632,0.0015017176358688962,5.26120162052503,0.10000000000000003,7.412688455006394,0.07773647003583031,5.42623423205812,0.0,0,0.7520081322198043,4.060351299511963,0.696136173289883,53,2415,128000,0.002768243043009732,0.007163021969873357,0.9998679708634592,1.7580371990819378e-05,0.0,0.0,0.0,0.9998679708634592,1.7580371990819378e-05,0.1331552447545729,2415,0.5424249388423896
0.0,2,0.0,0,0.5,42,0.0010896826653167585,0.0032690479959502756,5.26120162052503,0.10000000000000003,7.412688455006394,0.05153513132311524,5.620456593039576,0.0,0,0.7520081322198043,4.060351299511963,0.696136173289883,48,2666,128000,0.0011400865773372442,0.004584603623389584,0.999955856398293,1.7825777825228607e-05,0.0,0.0,0.0,0.999955856398293,1.7825777825228607e-05,0.4038133984521758,2666,0.663680186294078
0.0,2,0.0,0,0.75,40,0.00148741867493181,0.00446225602479543,5.26120162052503,0.10000000000000003,7.412688455006394,0.033845372563432424,5.751585263569324,0.0,0,0.7520081322198043,4.060351299511963,0.696136173289883,46,2782,128000,3.1115114261441957e-11,0.002942264698550844,0.9999999999989468,1.2071695787046495e-12,0.0,0.0,0.0,0.9999999999989468,1.2071695787046495e-12,1.146238343838764,2782,1.146238343838764
0.0,4,0.0,0,0.1,56,0.0001234148815085895,0.0006170744075429475,3.3389520242634765,0.10000000000000003,7.412688455006394,0.090851639326653,3.4067659718090306,0.0,0,0.37600406610990217,4.060351299511963,0.696136173289883,64,2000,128000,0.005444598354734565,0.013334000644371874,0.9997073272786762,2.500342734237349e-05,0.0,0.0,0.0,0.9997073272786762,2.500342734237349e-05,0.08543135564283916,2000,0.425511943366428
0.0,4,0.0,0,0.25,50,0.00031388256269316976,0.0015694128134658488,3.3389520242634765,0.10000000000000003,7.412688455006394,0.07673286351296524,3.5114240582819773,0.0,0,0.37600406610990217,4.060351299511963,0.696136173289883,58,2206,128000,0.004298882982067538,0.010926174429428597,0.99979991940535,2.4909941093906222e-05,0.0,0.0,0.0,0.99979991940535,2.4909941093906222e-05,0.12449953548706576,2206,0.49213122294041045
