seed,seed_index,persistence,rho,maximum_delay,policy,num_agents,gap,eta,updates,finite_time_bound,squared_parameter_error,maximum_squared_error,diverged,finite,charged_budget,within_budget
20261130,0,0.0,0.0,0,joint,16,64,0.010263155128331822,1523,0.3430235817666552,6.018048388513867e-05,0.690839142413896,False,True,127932,True
20261130,0,0.0,0.0,0,q1,1,50,0.0019433894770307524,2327,0.56762839471339,0.011395845525728587,0.6946547325736226,False,True,127985,True
20261130,0,0.0,0.0,0,q32,32,68,0.012070154969987932,1230,0.3565781667995159,0.00267304777674465,0.6890495197618746,False,True,127920,True
20261130,0,0.0,0.9,0,joint,1,50,0.0019433894770307524,2327,0.56762839471339,0.0055957964721408985,0.6946547325736226,False,True,127985,True
20261130,0,0.0,0.9,0,q1,1,50,0.0019433894770307524,2327,0.56762839471339,0.0055957964721408985,0.6946547325736226,False,True,127985,True
20261130,0,0.0,0.9,0,q32,32,68,0.0021411899139114317,1230,0.6181440096510118,0.06936480160664568,0.6945559428007316,False,True,127920,True
20261130,0,0.0,0.0,8,joint,4,56,0.005444598354734565,2000,0.425511943366428,0.003657457428545614,0.6895522418988024,False,True,128000,True
20261130,0,0.0,0.0,8,q1,1,50,0.0019433894770307524,2327,0.56762839471339,0.011395845525728587,0.6946547325736226,False,True,127985,True
20261130,0,0.0,0.0,8,q32,32,68,5.978058110866251e-05,1230,0.6960009753902412,0.6457537520376168,0.6961009795703055,False,True,127920,True
20261130,0,0.0,0.9,8,joint,1,50,0.0019433894770307524,2327,0.56762839471339,0.0055957964721408985,0.6946547325736226,False,True,127985,True
20261130,0,0.0,0.9,8,q1,1,50,0.0019433894770307524,2327,0.56762839471339,0.0055957964721408985,0.6946547325736226,False,True,127985,True
20261130,0,0.0,0.9,8,q32,32,68,5.845080959885974e-05,1230,0.6960039828359549,0.6464428987173465,0.6960929233242652,False,True,127920,True
20261131,1,0.0,0.0,0,joint,16,64,0.010263155128331822,1523,0.3430235817666552,0.0005047222529599995,0.68928779752384,False,True,127932,True
20261131,1,0.0,0.0,0,q1,1,50,0.0019433894770307524,2327,0.56762839471339,0.007953370219087551,0.6914867008195148,False,True,127985,True
20261131,1,0.0,0.0,0,q32,32,68,0.012070154969987932,1230,0.3565781667995159,0.0004063281477161844,0.6874970002076799,False,True,127920,True
20261131,1,0.0,0.9,0,joint,1,50,0.0019433894770307524,2327,0.56762839471339,0.01185893848191013,0.6914709805770574,False,True,127985,True
20261131,1,0.0,0.9,0,q1,1,50,0.0019433894770307524,2327,0.56762839471339,0.01185893848191013,0.6914709805770574,False,True,127985,True
20261131,1,0.0,0.9,0,q32,32,68,0.0021411899139114317,1230,0.6181440096510118,0.04507988953859914,0.691148338407235,False,True,127920,True
20261131,1,0.0,0.0,8,joint,4,56,0.005444598354734565,2000,0.425511943366428,0.00508146764576698,0.6887588750838095,False,True,128000,True
20261131,1,0.0,0.0,8,q1,1,50,0.0019433894770307524,2327,0.56762839471339,0.007953370219087551,0.6914867008195148,False,True,127985,True
20261131,1,0.0,0.0,8,q32,32,68,5.978058110866251e-05,1230,0.6960009753902412,0.6456619345050466,0.6960932309725,False,True,127920,True
20261131,1,0.0,0.9,8,joint,1,50,0.0019433894770307524,2327,0.56762839471339,0.01185893848191013,0.6914709805770574,False,True,127985,True
20261131,1,0.0,0.9,8,q1,1,50,0.0019433894770307524,2327,0.56762839471339,0.01185893848191013,0.6914709805770574,False,True,127985,True
20261131,1,0.0,0.9,8,q32,32,68,5.845080959885974e-05,1230,0.6960039828359549,0.6468958137394983,0.6959996036533658,False,True,127920,True
20261132,2,0.0,0.0,0,joint,16,64,0.010263155128331822,1523,0.3430235817666552,0.0006649057220774441,0.6895748698377285,False,True,127932,True
20261132,2,0.0,0.0,0,q1,1,50,0.0019433894770307524,2327,0.56762839471339,0.01501427687465366,0.6943548034019216,False,True,127985,True
20261132,2,0.0,0.0,0,q32,32,68,0.012070154969987932,1230,0.3565781667995159,0.0006800025433055005,0.687773962885966,False,True,127920,True
20261132,2,0.0,0.9,0,joint,1,50,0.0019433894770307524,2327,0.56762839471339,0.007816552800877691,0.6914709805770574,False,True,127985,True
20261132,2,0.0,0.9,0,q1,1,50,0.0019433894770307524,2327,0.56762839471339,0.007816552800877691,0.6914709805770574,False,True,127985,True
