seed,seed_index,rho,max_delay,num_agents,eta,budget,squared_parameter_error,updates,update_cost,charged_budget,finite
20260930,0,0.0,0,2,0.012886525151839582,32000,0.011701853467713616,5333,6,31998,True
20260930,0,0.0,0,2,0.018566355334451116,2000,0.13901310646422962,333,6,1998,True
20260930,0,0.0,0,2,0.018566355334451116,8000,0.14020505316454465,1333,6,7998,True
20260930,0,0.0,0,2,0.018566355334451116,32000,0.01727740630440291,5333,6,31998,True
20260930,0,0.0,0,2,0.026749612199056874,2000,0.12463098033162297,333,6,1998,True
20260930,0,0.0,0,2,0.026749612199056874,8000,0.21233783903584041,1333,6,7998,True
20260930,0,0.0,0,2,0.026749612199056874,32000,0.028662836858618708,5333,6,31998,True
20260930,0,0.0,0,2,0.03853969935995983,2000,0.12970572214763323,333,6,1998,True
20260930,0,0.0,0,2,0.03853969935995983,8000,0.3324872020080709,1333,6,7998,True
20260930,0,0.0,0,2,0.03853969935995983,32000,0.05378954643139297,5333,6,31998,True
20260930,0,0.0,0,2,0.05552635364218317,2000,0.12589122377537382,333,6,1998,True
20260930,0,0.0,0,2,0.05552635364218317,8000,0.521605653341347,1333,6,7998,True
20260930,0,0.0,0,2,0.05552635364218317,32000,0.10454158065825692,5333,6,31998,True
20260930,0,0.0,0,2,0.08,2000,0.11633855845123724,333,6,1998,True
20260930,0,0.0,0,2,0.08,8000,0.7806100922827356,1333,6,7998,True
20260930,0,0.0,0,2,0.08,32000,0.19218938590710383,5333,6,31998,True
20260930,0,0.0,0,4,0.001,2000,2.084800756208558,250,8,2000,True
20260930,0,0.0,0,4,0.001,8000,1.4048858116783072,1000,8,8000,True
20260930,0,0.0,0,4,0.001,32000,0.31153607281246615,4000,8,32000,True
20260930,0,0.0,0,4,0.0014407573116637057,2000,1.9434979296752948,250,8,2000,True
20260930,0,0.0,0,4,0.0014407573116637057,8000,1.1101749027619572,1000,8,8000,True
20260930,0,0.0,0,4,0.0014407573116637057,32000,0.13214525743987335,4000,8,32000,True
20260930,0,0.0,0,4,0.0020757816311124263,2000,1.7575235010276333,250,8,2000,True
20260930,0,0.0,0,4,0.0020757816311124263,8000,0.797817884097566,1000,8,8000,True
20260930,0,0.0,0,4,0.0020757816311124263,32000,0.0394267373207567,4000,8,32000,True
20260930,0,0.0,0,4,0.002990697562442441,2000,1.5221683373731496,250,8,2000,True
20260930,0,0.0,0,4,0.002990697562442441,8000,0.5040816247533546,1000,8,8000,True
20260930,0,0.0,0,4,0.002990697562442441,32000,0.007014570995176888,4000,8,32000,True
20260930,0,0.0,0,4,0.004308869380063765,2000,1.2405624508226416,250,8,2000,True
20260930,0,0.0,0,4,0.004308869380063765,8000,0.2689313459868828,1000,8,8000,True
20260930,0,0.0,0,4,0.004308869380063765,32000,0.0007315225046878693,4000,8,32000,True
20260930,0,0.0,0,4,0.006208035064330728,2000,0.929673381932654,250,8,2000,True
20260930,0,0.0,0,4,0.006208035064330728,8000,0.11705985997457824,1000,8,8000,True
20260930,0,0.0,0,4,0.006208035064330728,32000,0.0016527768870708602,4000,8,32000,True
20260930,0,0.0,0,4,0.008944271909999161,2000,0.6244260775870007,250,8,2000,True
20260930,0,0.0,0,4,0.008944271909999161,8000,0.043071475513331604,1000,8,8000,True
20260930,0,0.0,0,4,0.008944271909999161,32000,0.004973407630997186,4000,8,32000,True
20260930,0,0.0,0,4,0.012886525151839582,2000,0.3736872515346334,250,8,2000,True
20260930,0,0.0,0,4,0.012886525151839582,8000,0.01790709330669669,1000,8,8000,True
20260930,0,0.0,0,4,0.012886525151839582,32000,0.010461009112795343,4000,8,32000,True
20260930,0,0.0,0,4,0.018566355334451116,2000,0.22234696591039652,250,8,2000,True
20260930,0,0.0,0,4,0.018566355334451116,8000,0.012547301984427947,1000,8,8000,True
20260930,0,0.0,0,4,0.018566355334451116,32000,0.01842120744183421,4000,8,32000,True
20260930,0,0.0,0,4,0.026749612199056874,2000,0.18417366073239802,250,8,2000,True
20260930,0,0.0,0,4,0.026749612199056874,8000,0.0115975786072527,1000,8,8000,True
20260930,0,0.0,0,4,0.026749612199056874,32000,0.02972329271994849,4000,8,32000,True
20260930,0,0.0,0,4,0.03853969935995983,2000,0.2292097062681531,250,8,2000,True
20260930,0,0.0,0,4,0.03853969935995983,8000,0.010207590494727515,1000,8,8000,True
20260930,0,0.0,0,4,0.03853969935995983,32000,0.04579979929964636,4000,8,32000,True
20260930,0,0.0,0,4,0.05552635364218317,2000,0.31130980328489194,250,8,2000,True
20260930,0,0.0,0,4,0.05552635364218317,8000,0.00855719094617996,1000,8,8000,True
20260930,0,0.0,0,4,0.05552635364218317,32000,0.06938377001200147,4000,8,32000,True
20260930,0,0.0,0,4,0.08,2000,0.4140591037587703,250,8,2000,True
20260930,0,0.0,0,4,0.08,8000,0.010393355248879575,1000,8,8000,True
20260930,0,0.0,0,4,0.08,32000,0.10698809182368145,4000,8,32000,True
20260930,0,0.0,0,8,0.001,2000,2.2145166039086743,166,12,1992,True
20260930,0,0.0,0,8,0.001,8000,1.7021615683451583,666,12,7992,True
