rho,max_delay,budget,oracle_num_agents,oracle_eta,oracle_mean_error
0.0,0,2000,8,0.05552635364218317,0.06182334664844692
0.0,0,8000,32,0.05552635364218317,0.01223217742414004
0.0,0,32000,16,0.012886525151839582,0.004304942664572972
0.0,8,2000,8,0.05552635364218317,0.06153060478674541
0.0,8,8000,32,0.05552635364218317,0.011537923673061726
0.0,8,32000,16,0.012886525151839582,0.004302032947763487
0.0,32,2000,8,0.05552635364218317,0.059822541781013386
0.0,32,8000,32,0.05552635364218317,0.011226820491296802
0.0,32,32000,16,0.012886525151839582,0.004342873765184074
0.25,0,2000,4,0.03853969935995983,0.119045559111367
0.25,0,8000,2,0.008944271909999161,0.044412573584002295
0.25,0,32000,8,0.006208035064330728,0.015749386126183904
0.25,8,2000,4,0.03853969935995983,0.119045559111367
0.25,8,8000,2,0.008944271909999161,0.044412573584002295
0.25,8,32000,8,0.006208035064330728,0.01573225757922961
0.25,32,2000,4,0.03853969935995983,0.11963841205108215
0.25,32,8000,2,0.008944271909999161,0.044412573584002295
0.25,32,32000,8,0.006208035064330728,0.015716131315584508
0.5,0,2000,2,0.026749612199056874,0.1534285888669435
0.5,0,8000,2,0.008944271909999161,0.05411910088981349
0.5,0,32000,2,0.002990697562442441,0.018571117123383836
0.5,8,2000,2,0.026749612199056874,0.1534285888669435
0.5,8,8000,2,0.008944271909999161,0.05411910088981349
0.5,8,32000,2,0.002990697562442441,0.018571117123383836
0.5,32,2000,2,0.026749612199056874,0.1534285888669435
0.5,32,8000,2,0.008944271909999161,0.05411910088981349
0.5,32,32000,2,0.002990697562442441,0.018571117123383836
0.75,0,2000,1,0.018566355334451116,0.17421908139842368
0.75,0,8000,1,0.006208035064330728,0.06275547149918312
0.75,0,32000,1,0.0020757816311124263,0.0179376342921145
0.75,8,2000,1,0.018566355334451116,0.17421908139842368
0.75,8,8000,1,0.006208035064330728,0.06275547149918312
0.75,8,32000,1,0.0020757816311124263,0.0179376342921145
0.75,32,2000,1,0.018566355334451116,0.17421908139842368
0.75,32,8000,1,0.006208035064330728,0.06275547149918312
0.75,32,32000,1,0.0020757816311124263,0.0179376342921145
0.9,0,2000,1,0.026749612199056874,0.1836271527092628
0.9,0,8000,1,0.006208035064330728,0.06682564280644802
0.9,0,32000,1,0.0020757816311124263,0.01934977366848781
0.9,8,2000,1,0.026749612199056874,0.1836271527092628
0.9,8,8000,1,0.006208035064330728,0.06682564280644802
0.9,8,32000,1,0.0020757816311124263,0.01934977366848781
0.9,32,2000,1,0.026749612199056874,0.1836271527092628
0.9,32,8000,1,0.006208035064330728,0.06682564280644802
0.9,32,32000,1,0.0020757816311124263,0.01934977366848781
1.0,0,2000,1,0.018566355334451116,0.19768339032769766
1.0,0,8000,1,0.006208035064330728,0.06511582033417394
1.0,0,32000,1,0.0020757816311124263,0.018833121013321887
1.0,8,2000,1,0.018566355334451116,0.19768339032769766
1.0,8,8000,1,0.006208035064330728,0.06511582033417394
1.0,8,32000,1,0.0020757816311124263,0.018833121013321887
1.0,32,2000,1,0.018566355334451116,0.19768339032769766
1.0,32,8000,1,0.006208035064330728,0.06511582033417394
1.0,32,32000,1,0.0020757816311124263,0.018833121013321887
