state,stationary,reward,projected_value,b_vector_padded,theta_star_padded
0,0.14285714285714285,0.3,1.2145096605403771,2.7755575615628914e-17,2.2689812403856487e-16
1,0.14285714285714285,0.3134238492316255,1.68796661505143,0.023570226039551542,-0.3130438673401896
2,0.14285714285714285,0.1912358668147932,1.1809403909131382,-0.37531999001875327,-1.432319501126913
3,0.14285714285714285,0.5097261642140283,0.9612173036451848,-0.2592724864350674,-0.5457441494444836
4,0.14285714285714285,0.02239901060629202,-0.7965374154288163,,
5,0.14285714285714285,-0.8786776278033952,-2.7686986111842686,,
6,0.14285714285714285,-0.45810726306334376,-1.479397943537046,,
