comparison,rho,numerator_q,denominator_q,numerator_eta,denominator_eta,ratio,bootstrap_95_lower,bootstrap_95_upper,bootstrap_replications
independent_oracle_q_vs_correlated_q,0.0,16,1,0.012886525151839582,0.0020757816311124263,0.2327425120256924,0.1443648155600336,0.37194753684931714,2000
correlated_oracle_q_vs_independent_q,0.9,1,16,0.0020757816311124263,0.006208035064330728,0.3189059541617063,0.21943058426554035,0.46219227157884096,2000
