seed,rho,num_agents,trace_lrv,effective_participation
20260930,0.0,1,2.7622513106764877,1.0
20260930,0.0,2,1.2413010530701634,2.2252871725553542
20260930,0.0,4,0.6619226976032547,4.173072355243715
20260930,0.0,8,0.3313133111780918,8.33727839323572
20260930,0.0,16,0.15214000946651796,18.15598224531718
20260930,0.0,32,0.08259809026147433,33.44207235218447
20260930,0.25,1,2.5140771687583054,1.0
20260930,0.25,2,1.4852562440703907,1.6926891765614795
20260930,0.25,4,1.1177137606197496,2.249303227119885
20260930,0.25,8,0.8202362626760535,3.0650646443696945
20260930,0.25,16,0.695938094181456,3.612501154596655
20260930,0.25,32,0.6434477574514663,3.907197032927628
20260930,0.5,1,2.647335004359059,1.0
20260930,0.5,2,1.8411879459215243,1.437840721379508
20260930,0.5,4,1.6171577804100878,1.6370295072183576
20260930,0.5,8,1.3732625052649892,1.927770542201049
20260930,0.5,16,1.2580171177502715,2.104371210062167
20260930,0.5,32,1.2188709013243009,2.171956850789312
20260930,0.75,1,2.687359399585241,1.0
20260930,0.75,2,2.204915702914187,1.2188036921472414
20260930,0.75,4,1.9907288406879013,1.3499374423372585
20260930,0.75,8,1.8839197847224414,1.4264723059751565
20260930,0.75,16,1.81546133973892,1.4802625320414193
20260930,0.75,32,1.7751660117980053,1.513863707239024
20260930,0.9,1,2.4861841170701418,1.0
20260930,0.9,2,2.3382383036939354,1.063272341891963
20260930,0.9,4,2.237956994590073,1.1109168420484044
20260930,0.9,8,2.2040408860631526,1.1280117954213418
20260930,0.9,16,2.170065811762927,1.1456722204431236
20260930,0.9,32,2.1440853439158873,1.1595546437202244
20260930,1.0,1,2.394701186486227,1.0
20260930,1.0,2,2.394701186486227,1.0
20260930,1.0,4,2.394701186486227,1.0
20260930,1.0,8,2.3947011864862273,0.9999999999999998
20260930,1.0,16,2.3947011864862273,0.9999999999999998
20260930,1.0,32,2.394701186486227,1.0
20260931,0.0,1,2.6729309108205936,1.0
20260931,0.0,2,1.2977578878448224,2.0596529875534118
20260931,0.0,4,0.6769395933031308,3.9485515949480976
20260931,0.0,8,0.3313894221115786,8.06583050777227
20260931,0.0,16,0.16989009433800015,15.733294641079766
20260931,0.0,32,0.08483097563575488,31.508902152647135
20260931,0.25,1,2.9166655551459826,1.0
20260931,0.25,2,1.6302767441282184,1.7890616213786779
20260931,0.25,4,1.1411185951540355,2.5559705779330257
20260931,0.25,8,0.8377396696318108,3.4815894016668283
20260931,0.25,16,0.7478693577236448,3.899966651961369
20260931,0.25,32,0.7105711170024445,4.104677892692828
20260931,0.5,1,2.7506784364582706,1.0
20260931,0.5,2,2.0276580308854637,1.3565790653846443
20260931,0.5,4,1.6849509202255153,1.6324976611723014
20260931,0.5,8,1.4454027547712165,1.9030532682869128
20260931,0.5,16,1.3646903154784296,2.015606328600599
20260931,0.5,32,1.3435664147356963,2.047296215721036
20260931,0.75,1,2.564556176068243,1.0
20260931,0.75,2,2.3924476462981477,1.0719382637427408
20260931,0.75,4,2.1896514580557156,1.1712166183495802
20260931,0.75,8,2.0208340033888716,1.2690583055152316
20260931,0.75,16,1.9862554605762894,1.291151227508352
20260931,0.75,32,1.9731320383757824,1.2997387535095226
20260931,0.9,1,2.6683936967798796,1.0
20260931,0.9,2,2.5425254485799353,1.0495052068289994
20260931,0.9,4,2.511171546957883,1.0626090838009297
20260931,0.9,8,2.430146509541122,1.0980381990564616
20260931,0.9,16,2.3913121302533273,1.1158700961790375
20260931,0.9,32,2.3930252034097856,1.1150712884167393
20260931,1.0,1,2.6610942565656885,1.0
20260931,1.0,2,2.6610942565656885,1.0
20260931,1.0,4,2.6610942565656885,1.0
20260931,1.0,8,2.661094256565689,0.9999999999999998
20260931,1.0,16,2.661094256565689,0.9999999999999998
20260931,1.0,32,2.661094256565689,0.9999999999999998
20260932,0.0,1,2.5363005241509535,1.0
20260932,0.0,2,1.2970796198747447,1.955393088664732
20260932,0.0,4,0.7152842688738051,3.545863699958461
20260932,0.0,8,0.3572915710323896,7.09868558282062
20260932,0.0,16,0.1532474147644784,16.55036418101357
20260932,0.0,32,0.07380973026328236,34.36268517855118
20260932,0.25,1,2.296414126509927,1.0
20260932,0.25,2,1.5094501291616091,1.521358064201445
20260932,0.25,4,1.1132603455110988,2.062782650769476
20260932,0.25,8,0.8749901946942122,2.6245026977844796
20260932,0.25,16,0.7953924591407006,2.8871459618700053
20260932,0.25,32,0.7061611310426854,3.251969027407592
20260932,0.5,1,2.1993347635953495,1.0
20260932,0.5,2,1.8031475862207211,1.2197197724702118
20260932,0.5,4,1.5955196115842667,1.3784442056538098
20260932,0.5,8,1.3977252640602842,1.5735100596282072
20260932,0.5,16,1.4056677833301419,1.5646191722377998
20260932,0.5,32,1.3512778707154336,1.6275962266968174
20260932,0.75,1,2.5180821217337748,1.0
20260932,0.75,2,2.216897672465497,1.1358585256365572
20260932,0.75,4,2.2135954048313096,1.1375530127311901
20260932,0.75,8,2.1106777229375457,1.1930206560522285
20260932,0.75,16,2.0412022209764427,1.2336269752485418
20260932,0.75,32,2.016978593573135,1.2484426606000416
20260932,0.9,1,2.616072476838573,1.0
20260932,0.9,2,2.4624685117960685,1.0623780423208211
20260932,0.9,4,2.489011601082288,1.0510487278167107
20260932,0.9,8,2.4504694692901916,1.0675801145958983
20260932,0.9,16,2.408207823487185,1.0863150810009377
20260932,0.9,32,2.401549750706142,1.089326788283005
20260932,1.0,1,2.647982693690147,1.0
20260932,1.0,2,2.647982693690147,1.0
20260932,1.0,4,2.647982693690147,1.0
20260932,1.0,8,2.647982693690147,1.0
20260932,1.0,16,2.647982693690147,1.0
20260932,1.0,32,2.6479826936901465,1.0000000000000002
20260933,0.0,1,2.593578995091579,1.0
20260933,0.0,2,1.404985546235153,1.845982687894136
20260933,0.0,4,0.6579197829925671,3.942089996586833
20260933,0.0,8,0.3302633996708194,7.853062124584966
20260933,0.0,16,0.17033937155000786,15.225951413881797
20260933,0.0,32,0.07327439825285743,35.39543219640755
20260933,0.25,1,2.63522271267425,1.0
20260933,0.25,2,1.7716246473230552,1.487461080797279
20260933,0.25,4,1.1935304329881828,2.2079225127729454
20260933,0.25,8,0.9190666593921276,2.8672813726233866
20260933,0.25,16,0.744533431094259,3.5394283219776965
20260933,0.25,32,0.6976197910280498,3.7774483272483494
20260933,0.5,1,2.4316310271989297,1.0
20260933,0.5,2,1.9984118151203605,1.2167817507886767
20260933,0.5,4,1.6173799922832894,1.5034383007088796
20260933,0.5,8,1.3554967127836581,1.7939040384725937
20260933,0.5,16,1.2754115079796713,1.9065462495714656
20260933,0.5,32,1.2794379703957441,1.90054624254023
20260933,0.75,1,2.644552701700608,1.0
20260933,0.75,2,2.261794861972792,1.169227477771333
20260933,0.75,4,2.0812480647198526,1.2706571343078121
20260933,0.75,8,1.944919409075637,1.3597235388573174
20260933,0.75,16,1.922786531970695,1.375375091165301
20260933,0.75,32,1.8870686934929488,1.401407755223559
20260933,0.9,1,2.6716121583120076,1.0
20260933,0.9,2,2.4654428196379303,1.0836236545548255
20260933,0.9,4,2.326346800018671,1.1484152570418846
20260933,0.9,8,2.2714648730169005,1.176162656111711
20260933,0.9,16,2.285418200173981,1.1689817461454657
20260933,0.9,32,2.25767175034711,1.1833483578386697
20260933,1.0,1,2.486987110692986,1.0
20260933,1.0,2,2.486987110692986,1.0
20260933,1.0,4,2.486987110692986,1.0
20260933,1.0,8,2.4869871106929864,0.9999999999999998
20260933,1.0,16,2.486987110692986,1.0
20260933,1.0,32,2.486987110692986,1.0
20260934,0.0,1,2.792538796158639,1.0
20260934,0.0,2,1.2422916350804107,2.2478931011862477
20260934,0.0,4,0.6869585756554831,4.0650759669082674
20260934,0.0,8,0.342359723297634,8.156738676093964
20260934,0.0,16,0.1832597477177078,15.23814602462647
20260934,0.0,32,0.08697671127440071,32.10674162361148
20260934,0.25,1,2.7161281795386936,1.0
20260934,0.25,2,1.7929989099708343,1.5148521086289313
20260934,0.25,4,1.1497753765431367,2.3623120088941922
20260934,0.25,8,0.9037308216624267,3.0054614874618686
20260934,0.25,16,0.7989112809348461,3.3997869905659814
20260934,0.25,32,0.7655793996558449,3.5478072957026923
20260934,0.5,1,2.7749354141434885,1.0
20260934,0.5,2,2.1987360277576493,1.2620593737091161
20260934,0.5,4,1.7171695555347404,1.6159938342718587
20260934,0.5,8,1.5201132986075525,1.8254793354451755
20260934,0.5,16,1.456305740888685,1.9054621129558502
20260934,0.5,32,1.4547098284343685,1.9075525303420908
20260934,0.75,1,2.8064412258170326,1.0
20260934,0.75,2,2.5853867312998817,1.0855015196917983
20260934,0.75,4,2.2999049269457412,1.2202422773814257
20260934,0.75,8,2.2182968247667008,1.265133319618842
20260934,0.75,16,2.1578648049924016,1.3005639738523447
20260934,0.75,32,2.1506960438224993,1.3048990506482994
20260934,0.9,1,2.866652049072968,1.0
20260934,0.9,2,2.686325462044307,1.0671276022122174
20260934,0.9,4,2.6160150772122215,1.0958086878183593
20260934,0.9,8,2.5580814518858954,1.120625790456979
20260934,0.9,16,2.5417710466295946,1.1278167846290357
20260934,0.9,32,2.518476740073442,1.1382483719064933
20260934,1.0,1,2.7701060042471344,1.0
20260934,1.0,2,2.7701060042471344,1.0
20260934,1.0,4,2.7701060042471344,1.0
20260934,1.0,8,2.7701060042471344,1.0
20260934,1.0,16,2.7701060042471344,1.0
20260934,1.0,32,2.770106004247135,0.9999999999999999
20260935,0.0,1,2.3774449758542944,1.0
20260935,0.0,2,1.2930469778924296,1.8386377420945315
20260935,0.0,4,0.627753325968068,3.7872280042292092
20260935,0.0,8,0.31097325883918847,7.645174973336619
20260935,0.0,16,0.15364146239052587,15.473980388258116
20260935,0.0,32,0.07680663561004444,30.953640358950736
20260935,0.25,1,2.715557074157029,1.0
20260935,0.25,2,1.7267538980009292,1.5726370024708454
20260935,0.25,4,1.1373817374481894,2.3875511490536216
20260935,0.25,8,0.8766579026050405,3.0976245877526356
20260935,0.25,16,0.7667559226049604,3.541618648254131
20260935,0.25,32,0.7105549878468633,3.821740921678362
20260935,0.5,1,2.602248091336282,1.0
20260935,0.5,2,2.1022083393311215,1.2378640321464345
20260935,0.5,4,1.61724061142983,1.60906674798105
20260935,0.5,8,1.4168153346265866,1.8366882597456682
20260935,0.5,16,1.3593664487198382,1.9143094886495895
20260935,0.5,32,1.33167252553056,1.954120131974266
20260935,0.75,1,2.5182529415888397,1.0
20260935,0.75,2,2.4392854497731005,1.032373206597483
20260935,0.75,4,2.1233909768992016,1.1859582003434228
20260935,0.75,8,1.9909435566925584,1.2648540101118038
20260935,0.75,16,1.9837033754529796,1.2694705129559984
20260935,0.75,32,1.978775285614705,1.2726320971845706
20260935,0.9,1,2.546680711828456,1.0
20260935,0.9,2,2.5460681620099557,1.0002405865748767
20260935,0.9,4,2.399437403959749,1.0613657633350693
20260935,0.9,8,2.334600111300616,1.0908423671794008
20260935,0.9,16,2.34199872776845,1.0873962831974016
20260935,0.9,32,2.3486710561417583,1.084307104295812
20260935,1.0,1,2.614479868863392,1.0
20260935,1.0,2,2.614479868863392,1.0
20260935,1.0,4,2.614479868863392,1.0
20260935,1.0,8,2.614479868863392,1.0
20260935,1.0,16,2.614479868863392,1.0
20260935,1.0,32,2.6144798688633926,0.9999999999999998
20260936,0.0,1,2.4883052231592555,1.0
20260936,0.0,2,1.2263836248854214,2.0289778603263176
20260936,0.0,4,0.6467129964585241,3.8476190161408623
20260936,0.0,8,0.3380622948000227,7.360493203275412
20260936,0.0,16,0.1801635173063313,13.81137124964318
20260936,0.0,32,0.08378803131926854,29.69762129483314
20260936,0.25,1,2.3756509040048015,1.0
20260936,0.25,2,1.5188082349093666,1.5641546110964866
20260936,0.25,4,1.1415454110425969,2.0810831360927384
20260936,0.25,8,0.8543302338479759,2.7807173501336457
20260936,0.25,16,0.7403345821335923,3.208888199114436
20260936,0.25,32,0.6658645040627804,3.56776925261782
20260936,0.5,1,2.698508810827755,1.0
20260936,0.5,2,1.8890727662973865,1.4284832532506815
20260936,0.5,4,1.5494102172651738,1.7416361275781613
20260936,0.5,8,1.4272276660769307,1.890734656402253
20260936,0.5,16,1.3882061731051991,1.9438818693563469
20260936,0.5,32,1.3156578365888638,2.05107189406042
20260936,0.75,1,2.692448956144948,1.0
20260936,0.75,2,2.340776128500877,1.1502377025133521
20260936,0.75,4,2.138787778163175,1.2588668140124055
20260936,0.75,8,2.071930854582352,1.2994878425552847
20260936,0.75,16,2.067785867694151,1.3020927351376945
20260936,0.75,32,2.0288580934525884,1.3270760359405425
20260936,0.9,1,2.737124637225683,1.0
20260936,0.9,2,2.5390827393268887,1.077997418056292
20260936,0.9,4,2.483443373127453,1.1021490028092584
20260936,0.9,8,2.4454292615342594,1.1192818701729341
20260936,0.9,16,2.44625893094408,1.118902256258437
20260936,0.9,32,2.4330478909626114,1.1249777069298732
20260936,1.0,1,2.737039869317867,1.0
20260936,1.0,2,2.737039869317867,1.0
20260936,1.0,4,2.737039869317867,1.0
20260936,1.0,8,2.737039869317867,1.0
20260936,1.0,16,2.7370398693178677,0.9999999999999997
20260936,1.0,32,2.737039869317867,1.0
20260937,0.0,1,2.5097723829786447,1.0
20260937,0.0,2,1.3095734543027628,1.9164808012353047
20260937,0.0,4,0.6070715898736805,4.134228029845505
20260937,0.0,8,0.32685176005791505,7.6786258777799965
20260937,0.0,16,0.1760452199929355,14.256407433722764
20260937,0.0,32,0.08685451870403188,28.896278747810715
20260937,0.25,1,2.55066729479356,1.0
20260937,0.25,2,1.4831439256160683,1.7197705837847557
20260937,0.25,4,1.0880837523520772,2.3441828712908
20260937,0.25,8,0.9455649637832709,2.6975061391743655
20260937,0.25,16,0.8818462303295769,2.8924173025497724
20260937,0.25,32,0.8300917962980546,3.072753286044658
20260937,0.5,1,2.6534013384867543,1.0
20260937,0.5,2,1.9834273201955093,1.3377860189125583
20260937,0.5,4,1.7259437769806008,1.5373625571562162
20260937,0.5,8,1.6385759187256772,1.6193337813424649
