persistence,rho,num_agents,maximum_delay,delay_profile,curvature,monotonicity,stationary_mean_boundary,scalar_eta,scalar_radius,scalar_residual,markov_boundary,markov_below_radius,markov_below_residual,markov_above_radius,markov_above_residual,markov_operator_dimension,iid_boundary,iid_below_radius,iid_below_residual,iid_above_radius,iid_above_residual,markov_mean_boundary,markov_mean_below_radius,markov_mean_below_residual,markov_mean_above_radius,markov_mean_above_residual,markov_to_iid_ratio,scalar_to_markov_ratio,ms_to_markov_mean_ratio
0.5,0.0,1,0,0,1.625,0.049999999999999975,2.3255813954025504,0.059952038369340224,0.9940140603132084,6.286234183393648e-16,2.010520164659701,0.9999998089972769,4.766424540210066e-16,1.0000001929230984,1.2004187818195995e-15,8,2.010520164659701,0.999999808997277,1.1154295598526752e-16,1.0000001929230995,2.1112274025647833e-17,2.3255813932369005,0.9999997963212759,4.523136354561927e-16,1.0000002000461927,1.0436223223417099e-15,1.0,0.02981916790647442,0.8645236715887737
0.9,0.0,1,0,0,1.625,0.049999999999999975,2.3255813954025504,0.059952038369340224,0.9947511882012552,1.42631811425099e-15,2.010417065272049,0.999999787365351,6.252059888877266e-16,1.000000212671016,8.635038067647469e-16,8,2.010520164659701,0.999999808997277,1.1154295598526752e-16,1.0000001929230995,2.1112274025647833e-17,2.242437053248315,0.9999997996619918,1.193166968571895e-15,1.0000002019043126,7.32242375526988e-16,0.9999487200429699,0.029820697110540858,0.8965322180882759
0.98,0.0,1,0,0,1.625,0.049999999999999975,2.3255813954025504,0.059952038369340224,0.9964303562352101,4.074076310410225e-16,2.0103731913654115,0.9999997785313158,1.7341300990632143e-15,1.0000002239810275,8.227638186793392e-16,8,2.010520164659701,0.999999808997277,1.1154295598526752e-16,1.0000001929230995,2.1112274025647833e-17,2.234158479812457,0.999999797047322,6.401858262767178e-16,1.0000002005958393,1.0677783136387644e-15,0.9999268978760457,0.029821347910345845,0.8998346399912369
0.5,0.9,1,0,0,1.625,0.049999999999999975,2.3255813954025504,0.059952038369340224,0.9940140603132084,6.286234183393648e-16,2.010520164659701,0.9999998089972769,4.766424540210066e-16,1.0000001929230984,1.2004187818195995e-15,8,2.010520164659701,0.999999808997277,1.1154295598526752e-16,1.0000001929230995,2.1112274025647833e-17,2.3255813932369005,0.9999997963212759,4.523136354561927e-16,1.0000002000461927,1.0436223223417099e-15,1.0,0.02981916790647442,0.8645236715887737
0.9,0.9,1,0,0,1.625,0.049999999999999975,2.3255813954025504,0.059952038369340224,0.9947511882012552,1.42631811425099e-15,2.010417065272049,0.999999787365351,6.252059888877266e-16,1.000000212671016,8.635038067647469e-16,8,2.010520164659701,0.999999808997277,1.1154295598526752e-16,1.0000001929230995,2.1112274025647833e-17,2.242437053248315,0.9999997996619918,1.193166968571895e-15,1.0000002019043126,7.32242375526988e-16,0.9999487200429699,0.029820697110540858,0.8965322180882759
0.98,0.9,1,0,0,1.625,0.049999999999999975,2.3255813954025504,0.059952038369340224,0.9964303562352101,4.074076310410225e-16,2.0103731913654115,0.9999997785313158,1.7341300990632143e-15,1.0000002239810275,8.227638186793392e-16,8,2.010520164659701,0.999999808997277,1.1154295598526752e-16,1.0000001929230995,2.1112274025647833e-17,2.234158479812457,0.999999797047322,6.401858262767178e-16,1.0000002005958393,1.0677783136387644e-15,0.9999268978760457,0.029821347910345845,0.8998346399912369
0.5,0.0,1,2,2,1.625,0.049999999999999975,0.7186441729590298,0.056684492632886135,0.9943074889521417,8.407960837901916e-16,0.6860504976258361,0.9999999461134733,4.697773322956348e-15,1.0000000547312706,9.789963290348652e-16,72,0.6860504976258361,0.9999999461134729,1.2310540693541353e-15,1.000000054731268,1.8633261783158882e-15,0.7186441736283193,0.9999999709886553,1.3970210774525117e-15,1.0000000295468616,1.0978835515356017e-15,1.0,0.08262437361251095,0.9546455990341883
0.9,0.0,1,2,2,1.625,0.049999999999999975,0.7186441729590298,0.056684492632886135,0.9947701749491669,1.353495104067696e-15,0.6711531377713995,0.999999951605239,2.32431819060589e-15,1.000000048800321,1.6609375723381928e-15,72,0.6860504976258361,0.9999999461134729,1.2310540693541353e-15,1.000000054731268,1.8633261783158882e-15,0.7068420139245446,0.9999999706440514,2.058253059370662e-15,1.0000000294164815,2.8690698598008362e-15,0.9782853304443465,0.08445835896872966,0.9495094017473685
0.98,0.0,1,2,2,1.625,0.049999999999999975,0.7186441729590298,0.056684492632886135,0.9964817764560607,4.1529573510410085e-15,0.6647691049347095,0.9999999468074872,2.753967144208847e-15,1.0000000540969725,2.163148134712505e-15,72,0.6860504976258361,0.9999999461134729,1.2310540693541353e-15,1.000000054731268,1.8633261783158882e-15,0.6936384498710266,0.9999999706981048,2.0108909744775927e-15,1.00000002929511,1.5494761546160277e-15,0.968979845121061,0.08526944500294342,0.9583798375916373
0.5,0.9,1,2,2,1.625,0.049999999999999975,0.7186441729590298,0.056684492632886135,0.9943074889521417,8.407960837901916e-16,0.6860504976258361,0.9999999461134733,4.697773322956348e-15,1.0000000547312706,9.789963290348652e-16,72,0.6860504976258361,0.9999999461134729,1.2310540693541353e-15,1.000000054731268,1.8633261783158882e-15,0.7186441736283193,0.9999999709886553,1.3970210774525117e-15,1.0000000295468616,1.0978835515356017e-15,1.0,0.08262437361251095,0.9546455990341883
