seed,seed_index,scenario,max_delay,policy,probe_num_agents,probe_updates,probe_cost,selected_num_agents,selected_eta,estimated_selected_lrv,true_selected_lrv,num_agents,eta,proxy_risk,lrv_used,predicted_exploitation_updates
20260729,0,independent,4,adaptive_probe,32.0,80.0,2880.0,16.0,0.005946035575013605,0.0301119681320557,0.09374999999999999,16.0,0.005946035575013605,0.00010381666456038717,0.0301119681320557,656.0
20260729,0,independent,4,probe_oracle,32.0,80.0,2880.0,32.0,0.009170040432046712,0.02599512189718732,0.04687499999999999,32.0,0.009170040432046712,0.00025788865357945375,0.04687499999999999,364.0
20260729,0,independent,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.011387886347566916,0.02599512189718732,0.04687499999999999,32.0,0.011387886347566916,0.00015849131005114288,0.02599512189718732,364.0
20260729,0,independent,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0031046445301837096,0.07135630551302079,0.18749999999999997,8.0,0.0031046445301837096,0.00012215368284451559,0.07135630551302079,1253.0
20260729,0,independent,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,1.3431016900002586,1.4999999999999998,1.0,0.0025,0.001680982670845314,1.3431016900002586,3120.0
20260729,0,independent,16,adaptive_probe,32.0,80.0,2880.0,16.0,0.005946035575013605,0.021485896466829933,0.09374999999999999,16.0,0.005946035575013605,7.341573550556482e-05,0.021485896466829933,656.0
20260729,0,independent,16,probe_oracle,32.0,80.0,2880.0,32.0,0.009170040432046712,0.04583660191940613,0.04687499999999999,32.0,0.009170040432046712,0.00024724253980583176,0.04687499999999999,364.0
20260729,0,independent,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.009170040432046712,0.04583660191940613,0.04687499999999999,32.0,0.009170040432046712,0.0002421674599064669,0.04583660191940613,364.0
20260729,0,independent,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0031046445301837096,0.07708901030875866,0.18749999999999997,8.0,0.0031046445301837096,0.0001268359226355447,0.07708901030875866,1253.0
20260729,0,independent,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,1.2799918496042224,1.4999999999999998,1.0,0.0025,0.0016019932431644438,1.2799918496042224,3120.0
