seed,seed_index,scenario,max_delay,policy,final_window_mse,budget_auc_mse,finite,within_budget,budget_used,observed_messages,total_updates
20260730,1,clustered,4,adaptive_probe,0.0025073668243606557,0.0519214805911062,True,True,15996,11304,1173
20260730,1,clustered,4,probe_oracle,0.0008709430607538461,0.05076608451050622,True,True,16000,9120,1720
20260730,1,clustered,4,all_agents_adaptive_eta,0.012730184522150323,0.055946733933602256,True,True,15984,14208,444
20260730,1,clustered,4,fixed_q8_adaptive_eta,0.003687943319875711,0.019693702426050886,True,True,15996,10664,1333
20260730,1,clustered,4,fixed_q1_adaptive_eta,0.0015000750309656754,0.01019699891224955,True,True,16000,3200,3200
20260730,1,clustered,16,adaptive_probe,0.0027450255541131563,0.051701132699546744,True,True,15996,11304,1173
20260730,1,clustered,16,probe_oracle,0.0009032898475201641,0.05058214520108603,True,True,16000,9120,1720
20260730,1,clustered,16,all_agents_adaptive_eta,0.012169745883241259,0.05547739191466844,True,True,15984,14208,444
20260730,1,clustered,16,fixed_q8_adaptive_eta,0.003642208440987931,0.023125747783553748,True,True,15996,10664,1333
20260730,1,clustered,16,fixed_q1_adaptive_eta,0.0017043479662198235,0.010944112840845984,True,True,16000,3200,3200
20260730,1,global,4,adaptive_probe,0.004574339247008313,0.09736443931772384,True,True,16000,5184,2704
20260730,1,global,4,probe_oracle,0.004574339247008313,0.09736443931772384,True,True,16000,5184,2704
20260730,1,global,4,all_agents_adaptive_eta,0.09030466958274101,0.10600619870874063,True,True,15984,14208,444
20260730,1,global,4,fixed_q8_adaptive_eta,0.08305358891986488,0.05339414596695081,True,True,15996,10664,1333
20260730,1,global,4,fixed_q1_adaptive_eta,0.0049322490619616655,0.027529595081892344,True,True,16000,3200,3200
20260730,1,global,16,adaptive_probe,0.005096440893911598,0.10418324373174867,True,True,16000,5184,2704
20260730,1,global,16,probe_oracle,0.005096440893911598,0.10418324373174867,True,True,16000,5184,2704
20260730,1,global,16,all_agents_adaptive_eta,0.009377924620065745,0.09344737075234576,True,True,15984,14208,444
20260730,1,global,16,fixed_q8_adaptive_eta,0.09332895836205994,0.054234349302894634,True,True,15996,10664,1333
20260730,1,global,16,fixed_q1_adaptive_eta,0.004621952610108356,0.028134658060369685,True,True,16000,3200,3200
20260730,1,mixed,4,adaptive_probe,0.03089289773434884,0.08206847882891109,True,True,16000,9120,1720
20260730,1,mixed,4,probe_oracle,0.0030852980757053038,0.07826195151171557,True,True,15996,6932,2266
20260730,1,mixed,4,all_agents_adaptive_eta,0.10496161796101275,0.09336349890335997,True,True,15984,14208,444
20260730,1,mixed,4,fixed_q8_adaptive_eta,0.026260199656900202,0.03600137408012705,True,True,15996,10664,1333
20260730,1,mixed,4,fixed_q1_adaptive_eta,0.0009340611740914342,0.018167642791455493,True,True,16000,3200,3200
20260730,1,mixed,16,adaptive_probe,0.03182328637716031,0.08559179371005374,True,True,16000,9120,1720
20260730,1,mixed,16,probe_oracle,0.0031035422289497393,0.08266734693245477,True,True,15996,6932,2266
20260730,1,mixed,16,all_agents_adaptive_eta,0.016334749590417592,0.07659492698564288,True,True,15984,14208,444
20260730,1,mixed,16,fixed_q8_adaptive_eta,0.030580185368808705,0.033824920403345546,True,True,15996,10664,1333
20260730,1,mixed,16,fixed_q1_adaptive_eta,0.00108266339583136,0.018734799438110614,True,True,16000,3200,3200
20260731,2,independent,4,adaptive_probe,0.00038961865370626517,0.04997220830229018,True,True,16000,13056,736
20260731,2,independent,4,probe_oracle,0.00040275892236913525,0.04949536893848415,True,True,15984,14208,444
20260731,2,independent,4,all_agents_adaptive_eta,0.00040275892236913525,0.04949536893848415,True,True,15984,14208,444
20260731,2,independent,4,fixed_q8_adaptive_eta,0.0003232409213143936,0.01691704050178141,True,True,15996,10664,1333
20260731,2,independent,4,fixed_q1_adaptive_eta,0.000938232329579875,0.008003805491275757,True,True,16000,3200,3200
20260731,2,independent,16,adaptive_probe,0.0004750736051976639,0.04522156407741508,True,True,16000,13056,736
20260731,2,independent,16,probe_oracle,0.00041644291236206084,0.044564762502077124,True,True,15984,14208,444
20260731,2,independent,16,all_agents_adaptive_eta,0.00041644291236206084,0.044564762502077124,True,True,15984,14208,444
20260731,2,independent,16,fixed_q8_adaptive_eta,0.0004332122457177827,0.0162193066831762,True,True,15996,10664,1333
20260731,2,independent,16,fixed_q1_adaptive_eta,0.0008353194950065541,0.014243008158651012,True,True,16000,3200,3200
20260731,2,clustered,4,adaptive_probe,0.0007115197143694973,0.054250913640276094,True,True,15996,11304,1173
20260731,2,clustered,4,probe_oracle,0.0007115197143694973,0.054250913640276094,True,True,15996,11304,1173
20260731,2,clustered,4,all_agents_adaptive_eta,0.0026834524845815028,0.05492368630134851,True,True,15984,14208,444
20260731,2,clustered,4,fixed_q8_adaptive_eta,0.00016671669843215572,0.01648161508937361,True,True,15996,10664,1333
20260731,2,clustered,4,fixed_q1_adaptive_eta,0.0011017639708330491,0.009528969409064544,True,True,16000,3200,3200
20260731,2,clustered,16,adaptive_probe,0.0006667049393267778,0.044626163795719105,True,True,15996,11304,1173
20260731,2,clustered,16,probe_oracle,0.0006667049393267778,0.044626163795719105,True,True,15996,11304,1173
20260731,2,clustered,16,all_agents_adaptive_eta,0.0031398716408929015,0.04464582598187367,True,True,15984,14208,444
20260731,2,clustered,16,fixed_q8_adaptive_eta,0.00014216761730298204,0.015663458402052584,True,True,15996,10664,1333
20260731,2,clustered,16,fixed_q1_adaptive_eta,0.0013438349769153617,0.012156359708309961,True,True,16000,3200,3200
20260731,2,global,4,adaptive_probe,0.016442828403207193,0.05402255990414519,True,True,16000,5184,2704
20260731,2,global,4,probe_oracle,0.016442828403207193,0.05402255990414519,True,True,16000,5184,2704
20260731,2,global,4,all_agents_adaptive_eta,0.03518942452173368,0.09954689411715771,True,True,15984,14208,444
20260731,2,global,4,fixed_q8_adaptive_eta,0.013478870955035397,0.02855794570062002,True,True,15996,10664,1333
20260731,2,global,4,fixed_q1_adaptive_eta,0.003270731124414999,0.014096231463527936,True,True,16000,3200,3200
20260731,2,global,16,adaptive_probe,0.015126179896830873,0.06703994640410112,True,True,16000,5184,2704
20260731,2,global,16,probe_oracle,0.015126179896830873,0.06703994640410112,True,True,16000,5184,2704
20260731,2,global,16,all_agents_adaptive_eta,0.06714327172558418,0.15162577974747457,True,True,15984,14208,444
20260731,2,global,16,fixed_q8_adaptive_eta,0.015290119915121159,0.042821262975250136,True,True,15996,10664,1333
20260731,2,global,16,fixed_q1_adaptive_eta,0.003515060191981311,0.014236183509422455,True,True,16000,3200,3200
20260731,2,mixed,4,adaptive_probe,0.0021344463305150146,0.05694727867404545,True,True,15996,11304,1173
20260731,2,mixed,4,probe_oracle,0.023416447590918498,0.05808218978930916,True,True,15996,6932,2266
20260731,2,mixed,4,all_agents_adaptive_eta,0.010397284720549776,0.07735447788965799,True,True,15984,14208,444
20260731,2,mixed,4,fixed_q8_adaptive_eta,0.009990670087928342,0.02324832661179067,True,True,15996,10664,1333
20260731,2,mixed,4,fixed_q1_adaptive_eta,0.0036776760464446575,0.009788733661929661,True,True,16000,3200,3200
20260731,2,mixed,16,adaptive_probe,0.010829069457091136,0.05415194034711433,True,True,16000,5184,2704
20260731,2,mixed,16,probe_oracle,0.02357406811494337,0.0601319206751098,True,True,15996,6932,2266
20260731,2,mixed,16,all_agents_adaptive_eta,0.04726560528342117,0.10324118271829225,True,True,15984,14208,444
20260731,2,mixed,16,fixed_q8_adaptive_eta,0.010929172600962852,0.026724169440425893,True,True,15996,10664,1333
20260731,2,mixed,16,fixed_q1_adaptive_eta,0.0039712077774789935,0.009421672498787422,True,True,16000,3200,3200
20260732,3,independent,4,adaptive_probe,2.281232989296234e-05,0.04831634302379868,True,True,15996,11304,1173
20260732,3,independent,4,probe_oracle,0.00024251071723599733,0.04842892493230904,True,True,15984,14208,444
20260732,3,independent,4,all_agents_adaptive_eta,0.00024251071723599733,0.04842892493230904,True,True,15984,14208,444
20260732,3,independent,4,fixed_q8_adaptive_eta,0.00021297537439217513,0.015227053524877177,True,True,15996,10664,1333
20260732,3,independent,4,fixed_q1_adaptive_eta,0.0002949551155060219,0.012955195751957733,True,True,16000,3200,3200
20260732,3,independent,16,adaptive_probe,3.1414331235293576e-05,0.042039349781029405,True,True,15996,11304,1173
20260732,3,independent,16,probe_oracle,0.0002399413040500335,0.042401280997884865,True,True,15984,14208,444
20260732,3,independent,16,all_agents_adaptive_eta,0.0002399413040500335,0.042401280997884865,True,True,15984,14208,444
20260732,3,independent,16,fixed_q8_adaptive_eta,0.00021421626180023442,0.015177688424543123,True,True,15996,10664,1333
20260732,3,independent,16,fixed_q1_adaptive_eta,0.00018553831777668158,0.012519705815826405,True,True,16000,3200,3200
20260732,3,clustered,4,adaptive_probe,0.0034807647031802683,0.05959411122497352,True,True,16000,5184,2704
20260732,3,clustered,4,probe_oracle,0.0008442261413130406,0.062026204776905826,True,True,16000,9120,1720
20260732,3,clustered,4,all_agents_adaptive_eta,0.000811311609561095,0.06490197544425497,True,True,15984,14208,444
20260732,3,clustered,4,fixed_q8_adaptive_eta,0.0008471008695806659,0.030744544789269274,True,True,15996,10664,1333
20260732,3,clustered,4,fixed_q1_adaptive_eta,0.0013935167575028677,0.014846454421219008,True,True,16000,3200,3200
20260732,3,clustered,16,adaptive_probe,0.0009089075438560986,0.0676360509809052,True,True,16000,9120,1720
20260732,3,clustered,16,probe_oracle,0.0009089075438560986,0.0676360509809052,True,True,16000,9120,1720
20260732,3,clustered,16,all_agents_adaptive_eta,0.0007167563696681556,0.06799867750011111,True,True,15984,14208,444
20260732,3,clustered,16,fixed_q8_adaptive_eta,0.0019440112784033091,0.029713525370914904,True,True,15996,10664,1333
20260732,3,clustered,16,fixed_q1_adaptive_eta,0.0017520331275094117,0.017167685263395117,True,True,16000,3200,3200
20260732,3,global,4,adaptive_probe,0.01558942418666753,0.06338459828356957,True,True,15996,6932,2266
20260732,3,global,4,probe_oracle,0.002524607630395083,0.06124584201031486,True,True,16000,5184,2704
20260732,3,global,4,all_agents_adaptive_eta,0.08495214864586471,0.09818663352387301,True,True,15984,14208,444
20260732,3,global,4,fixed_q8_adaptive_eta,0.007556940400510406,0.033317252981043,True,True,15996,10664,1333
20260732,3,global,4,fixed_q1_adaptive_eta,0.015472388565206293,0.018280489919626993,True,True,16000,3200,3200
20260732,3,global,16,adaptive_probe,0.013800607196284212,0.05598430153915647,True,True,15996,6932,2266
20260732,3,global,16,probe_oracle,0.0025509846168294123,0.05437882531762042,True,True,16000,5184,2704
20260732,3,global,16,all_agents_adaptive_eta,0.08281875021817588,0.09712774651394028,True,True,15984,14208,444
20260732,3,global,16,fixed_q8_adaptive_eta,0.009012650458364406,0.03565490137225111,True,True,15996,10664,1333
20260732,3,global,16,fixed_q1_adaptive_eta,0.015533815681787804,0.020264000921253446,True,True,16000,3200,3200
20260732,3,mixed,4,adaptive_probe,0.003930548452769772,0.06335548470340567,True,True,16000,5184,2704
20260732,3,mixed,4,probe_oracle,0.00675102082748665,0.06260781565692235,True,True,15996,6932,2266
20260732,3,mixed,4,all_agents_adaptive_eta,0.05486549406207079,0.10161823994386378,True,True,15984,14208,444
20260732,3,mixed,4,fixed_q8_adaptive_eta,0.001993616493869494,0.03359098959561699,True,True,15996,10664,1333
20260732,3,mixed,4,fixed_q1_adaptive_eta,0.006434108703550059,0.017332014102561653,True,True,16000,3200,3200
20260732,3,mixed,16,adaptive_probe,0.004101999193181298,0.07045498416695146,True,True,16000,9120,1720
20260732,3,mixed,16,probe_oracle,0.006036024099198146,0.06730802454654873,True,True,15996,6932,2266
20260732,3,mixed,16,all_agents_adaptive_eta,0.07965109055045014,0.1150229465791225,True,True,15984,14208,444
20260732,3,mixed,16,fixed_q8_adaptive_eta,0.0023659873848599416,0.03928660792789985,True,True,15996,10664,1333
20260732,3,mixed,16,fixed_q1_adaptive_eta,0.006560964728668237,0.02069343263802756,True,True,16000,3200,3200
20260733,4,independent,4,adaptive_probe,9.657236309002653e-05,0.0504948747057679,True,True,15996,11304,1173
20260733,4,independent,4,probe_oracle,6.650678998034177e-05,0.049852385547479984,True,True,15984,14208,444
20260733,4,independent,4,all_agents_adaptive_eta,6.650678998034177e-05,0.049852385547479984,True,True,15984,14208,444
20260733,4,independent,4,fixed_q8_adaptive_eta,5.037874612994173e-05,0.017238596586210183,True,True,15996,10664,1333
20260733,4,independent,4,fixed_q1_adaptive_eta,0.0011542860119580938,0.007109494360403792,True,True,16000,3200,3200
20260733,4,independent,16,adaptive_probe,2.343601458527301e-05,0.04274631411166682,True,True,15984,14208,444
20260733,4,independent,16,probe_oracle,5.643329504624636e-05,0.04301044002853975,True,True,15984,14208,444
20260733,4,independent,16,all_agents_adaptive_eta,2.343601458527301e-05,0.04274631411166682,True,True,15984,14208,444
20260733,4,independent,16,fixed_q8_adaptive_eta,3.3514480671068254e-05,0.013751104235289018,True,True,15996,10664,1333
20260733,4,independent,16,fixed_q1_adaptive_eta,0.001256603929716395,0.004866070800294472,True,True,16000,3200,3200
20260733,4,clustered,4,adaptive_probe,0.0002766381930325662,0.05132784818081635,True,True,16000,9120,1720
20260733,4,clustered,4,probe_oracle,0.0002766381930325662,0.05132784818081635,True,True,16000,9120,1720
20260733,4,clustered,4,all_agents_adaptive_eta,0.0021008233521604214,0.05260215856625465,True,True,15984,14208,444
20260733,4,clustered,4,fixed_q8_adaptive_eta,4.794620051762782e-05,0.01672334627490751,True,True,15996,10664,1333
20260733,4,clustered,4,fixed_q1_adaptive_eta,0.0006981313873292276,0.003448401119860471,True,True,16000,3200,3200
20260733,4,clustered,16,adaptive_probe,0.00023572218081861432,0.047731973111304615,True,True,16000,9120,1720
20260733,4,clustered,16,probe_oracle,2.4615154507876956e-05,0.04785238184626603,True,True,15996,11304,1173
20260733,4,clustered,16,all_agents_adaptive_eta,0.000997861338617516,0.04830067833565713,True,True,15984,14208,444
20260733,4,clustered,16,fixed_q8_adaptive_eta,5.615355610771377e-05,0.01469062158968885,True,True,15996,10664,1333
20260733,4,clustered,16,fixed_q1_adaptive_eta,0.0006355759063912704,0.004203762806673953,True,True,16000,3200,3200
20260733,4,global,4,adaptive_probe,0.08524884262746894,0.14494896764329174,True,True,16000,9120,1720
20260733,4,global,4,probe_oracle,0.017781894475917773,0.11502729390138815,True,True,16000,5184,2704
20260733,4,global,4,all_agents_adaptive_eta,0.26858346340435,0.26665187282761,True,True,15984,14208,444
20260733,4,global,4,fixed_q8_adaptive_eta,0.04388458655900397,0.1074537152081819,True,True,15996,10664,1333
20260733,4,global,4,fixed_q1_adaptive_eta,0.006346724548328663,0.048003451083257404,True,True,16000,3200,3200
20260733,4,global,16,adaptive_probe,0.017055454570259483,0.12195679295778061,True,True,16000,5184,2704
20260733,4,global,16,probe_oracle,0.017055454570259483,0.12195679295778061,True,True,16000,5184,2704
20260733,4,global,16,all_agents_adaptive_eta,0.2489837552269115,0.288917014787501,True,True,15984,14208,444
20260733,4,global,16,fixed_q8_adaptive_eta,0.04809277030248098,0.1340761216150238,True,True,15996,10664,1333
20260733,4,global,16,fixed_q1_adaptive_eta,0.006278112077822248,0.05387974650451121,True,True,16000,3200,3200
20260733,4,mixed,4,adaptive_probe,0.03956813042080613,0.10280348649608802,True,True,16000,9120,1720
20260733,4,mixed,4,probe_oracle,0.010033476458095126,0.09428168648282688,True,True,15996,6932,2266
20260733,4,mixed,4,all_agents_adaptive_eta,0.09965975349292283,0.15535848740129762,True,True,15984,14208,444
20260733,4,mixed,4,fixed_q8_adaptive_eta,0.021750007048664914,0.06550384361026648,True,True,15996,10664,1333
20260733,4,mixed,4,fixed_q1_adaptive_eta,0.004723948629694797,0.021609899842285906,True,True,16000,3200,3200
20260733,4,mixed,16,adaptive_probe,0.03755018214935485,0.10471392690745054,True,True,16000,9120,1720
20260733,4,mixed,16,probe_oracle,0.01116010483833663,0.09432636977942467,True,True,15996,6932,2266
20260733,4,mixed,16,all_agents_adaptive_eta,0.08838035781982805,0.15724264602906382,True,True,15984,14208,444
20260733,4,mixed,16,fixed_q8_adaptive_eta,0.03751450456888035,0.07443521047521805,True,True,15996,10664,1333
20260733,4,mixed,16,fixed_q1_adaptive_eta,0.004906617949984705,0.02780170000418799,True,True,16000,3200,3200
20260734,5,independent,4,adaptive_probe,0.00011851429850257799,0.051662097392281954,True,True,15984,14208,444
20260734,5,independent,4,probe_oracle,0.00011851429850257799,0.051662097392281954,True,True,15984,14208,444
20260734,5,independent,4,all_agents_adaptive_eta,0.00011851429850257799,0.051662097392281954,True,True,15984,14208,444
20260734,5,independent,4,fixed_q8_adaptive_eta,3.0440636549709214e-05,0.01892283692521548,True,True,15996,10664,1333
20260734,5,independent,4,fixed_q1_adaptive_eta,0.001976868637104433,0.004035890479231339,True,True,16000,3200,3200
20260734,5,independent,16,adaptive_probe,9.248444916890634e-05,0.04580103198321034,True,True,15984,14208,444
20260734,5,independent,16,probe_oracle,0.00015702834099238982,0.04629823333871083,True,True,15984,14208,444
20260734,5,independent,16,all_agents_adaptive_eta,9.248444916890634e-05,0.04580103198321034,True,True,15984,14208,444
20260734,5,independent,16,fixed_q8_adaptive_eta,2.438494322771207e-05,0.01651628453773427,True,True,15996,10664,1333
20260734,5,independent,16,fixed_q1_adaptive_eta,0.0022811856561829554,0.004238357689966254,True,True,16000,3200,3200
20260734,5,clustered,4,adaptive_probe,0.00014146827931087896,0.06934779358551509,True,True,16000,9120,1720
20260734,5,clustered,4,probe_oracle,0.00014146827931087896,0.06934779358551509,True,True,16000,9120,1720
20260734,5,clustered,4,all_agents_adaptive_eta,0.0003142686732716462,0.07238643573814543,True,True,15984,14208,444
20260734,5,clustered,4,fixed_q8_adaptive_eta,0.00011117062147349758,0.028301056547179848,True,True,15996,10664,1333
20260734,5,clustered,4,fixed_q1_adaptive_eta,0.005636093032326308,0.010047140088115216,True,True,16000,3200,3200
20260734,5,clustered,16,adaptive_probe,0.0005724051992344261,0.055959179259532886,True,True,15996,6932,2266
20260734,5,clustered,16,probe_oracle,0.00018838730157300042,0.056088495062521025,True,True,16000,9120,1720
20260734,5,clustered,16,all_agents_adaptive_eta,0.00012891737679656662,0.0581974946958328,True,True,15984,14208,444
20260734,5,clustered,16,fixed_q8_adaptive_eta,0.00021726424436808734,0.02026545696765332,True,True,15996,10664,1333
20260734,5,clustered,16,fixed_q1_adaptive_eta,0.0052464173564094685,0.007233062522623156,True,True,16000,3200,3200
20260734,5,global,4,adaptive_probe,0.03178235403736171,0.04337750357521867,True,True,16000,5184,2704
20260734,5,global,4,probe_oracle,0.03178235403736171,0.04337750357521867,True,True,16000,5184,2704
20260734,5,global,4,all_agents_adaptive_eta,0.010130183478053466,0.03314063789618753,True,True,15984,14208,444
20260734,5,global,4,fixed_q8_adaptive_eta,0.012211698568934285,0.028150594864405135,True,True,15996,10664,1333
20260734,5,global,4,fixed_q1_adaptive_eta,0.015145127748886664,0.017243107917626663,True,True,16000,3200,3200
20260734,5,global,16,adaptive_probe,0.025101793016428963,0.03479261754541392,True,True,15996,6932,2266
20260734,5,global,16,probe_oracle,0.0319669994360985,0.03404886847622253,True,True,16000,5184,2704
20260734,5,global,16,all_agents_adaptive_eta,0.007778574505624791,0.022416193567115602,True,True,15984,14208,444
20260734,5,global,16,fixed_q8_adaptive_eta,0.012504835996582706,0.02622273821609035,True,True,15996,10664,1333
20260734,5,global,16,fixed_q1_adaptive_eta,0.013966818851963145,0.018755755557372057,True,True,16000,3200,3200
20260734,5,mixed,4,adaptive_probe,0.014134602833613966,0.05058480378299755,True,True,15996,6932,2266
20260734,5,mixed,4,probe_oracle,0.014134602833613966,0.05058480378299755,True,True,15996,6932,2266
20260734,5,mixed,4,all_agents_adaptive_eta,0.01397519869993968,0.04881810719384428,True,True,15984,14208,444
20260734,5,mixed,4,fixed_q8_adaptive_eta,0.007548483738522314,0.0238848436728802,True,True,15996,10664,1333
20260734,5,mixed,4,fixed_q1_adaptive_eta,0.016850804674285694,0.012471899278405479,True,True,16000,3200,3200
20260734,5,mixed,16,adaptive_probe,0.014840985181974459,0.03966520482360481,True,True,15996,6932,2266
20260734,5,mixed,16,probe_oracle,0.014840985181974459,0.03966520482360481,True,True,15996,6932,2266
20260734,5,mixed,16,all_agents_adaptive_eta,0.013240983917192847,0.03492524763700734,True,True,15984,14208,444
20260734,5,mixed,16,fixed_q8_adaptive_eta,0.008241512900823915,0.0205584375997822,True,True,15996,10664,1333
20260734,5,mixed,16,fixed_q1_adaptive_eta,0.015413881322265389,0.01226831340308513,True,True,16000,3200,3200
20260735,6,independent,4,adaptive_probe,0.0004305891400694026,0.05522765746611807,True,True,15996,11304,1173
20260735,6,independent,4,probe_oracle,0.00021875203026907098,0.05598180173839485,True,True,15984,14208,444
20260735,6,independent,4,all_agents_adaptive_eta,0.00021875203026907098,0.05598180173839485,True,True,15984,14208,444
20260735,6,independent,4,fixed_q8_adaptive_eta,0.0009570247311360162,0.01829110997466472,True,True,15996,10664,1333
20260735,6,independent,4,fixed_q1_adaptive_eta,0.001003670367773468,0.00816310706416162,True,True,16000,3200,3200
20260735,6,independent,16,adaptive_probe,0.0006624648907876795,0.04853115045919477,True,True,16000,9120,1720
20260735,6,independent,16,probe_oracle,0.00014861403693185185,0.04871326867335918,True,True,15984,14208,444
20260735,6,independent,16,all_agents_adaptive_eta,0.00014861403693185185,0.04871326867335918,True,True,15984,14208,444
20260735,6,independent,16,fixed_q8_adaptive_eta,0.0009680557886078446,0.01673071239695194,True,True,15996,10664,1333
20260735,6,independent,16,fixed_q1_adaptive_eta,0.0008291262244730305,0.006604278692272064,True,True,16000,3200,3200
20260735,6,clustered,4,adaptive_probe,0.00023094969631347532,0.04529123699848463,True,True,16000,9120,1720
20260735,6,clustered,4,probe_oracle,0.0008316333296915331,0.045639784206726784,True,True,15996,11304,1173
20260735,6,clustered,4,all_agents_adaptive_eta,0.00829814038800263,0.046875051294357956,True,True,15984,14208,444
20260735,6,clustered,4,fixed_q8_adaptive_eta,0.0020385813400512153,0.014808359139729856,True,True,15996,10664,1333
20260735,6,clustered,4,fixed_q1_adaptive_eta,0.017916143584471047,0.010752749556113259,True,True,16000,3200,3200
20260735,6,clustered,16,adaptive_probe,0.00021979607196770693,0.044411096782487995,True,True,16000,9120,1720
