comparison,scope,numerator,denominator,ratio,bootstrap_95_lower,bootstrap_95_upper,bootstrap_replications
adaptive_vs_all_agents,correlated,adaptive_probe,all_agents_adaptive_eta,0.34449448983409225,0.23169439054665367,0.5348162205599444,2000
adaptive_vs_probe_oracle,all_cells,adaptive_probe,probe_oracle,1.083306819643268,0.937454040112119,1.2698844095179136,2000
adaptive_vs_best_fixed,all_cells,adaptive_probe,fixed_q1_adaptive_eta,1.058370253590845,0.8210368790123702,1.3573240062972132,2000
