cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_persistent_auc,mean_strong_static_auc,persistent_to_static_ratio
Falternating-H0.3-I0.5-N0.1-S0.9-T0-D3,alternating,0.3,0.5,0.1,0.9,0.0,3,0.015100513058880752,0.021794537412037775,0.6928576997711494
Falternating-H0.3-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.3,0.5,0.1,0.9,0.9,0,0.04886087488355351,0.0529810248359101,0.9222334795312606
Falternating-H0.3-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.3,0.5,0.1,0.9,0.9,3,0.044674127238991425,0.04398302023781532,1.0157130410199051
Falternating-H0.3-I0.5-N0.5-S0-T0-D0,alternating,0.3,0.5,0.5,0.0,0.0,0,0.0270713194870532,0.03261380752125141,0.8300570078919278
Falternating-H0.3-I0.5-N0.5-S0-T0-D3,alternating,0.3,0.5,0.5,0.0,0.0,3,0.02880607020716637,0.029335369714110993,0.9819569512127193
Falternating-H0.3-I0.5-N0.5-S0-T0.9-D0,alternating,0.3,0.5,0.5,0.0,0.9,0,0.1545405650699544,0.1193630414987554,1.2947103486095886
Falternating-H0.3-I0.5-N0.5-S0-T0.9-D3,alternating,0.3,0.5,0.5,0.0,0.9,3,0.1674669666563201,0.1439502093535197,1.163367301849814
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D0,alternating,0.3,0.5,0.5,0.9,0.0,0,0.02893698732389327,0.03199543436668381,0.9044098914945428
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D3,alternating,0.3,0.5,0.5,0.9,0.0,3,0.026092498121173056,0.02809071123623119,0.9288656987623419
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D0,alternating,0.3,0.5,0.5,0.9,0.9,0,0.1584177260374439,0.14547928223758017,1.0889366760741515
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D3,alternating,0.3,0.5,0.5,0.9,0.9,3,0.12988777397902146,0.11439272836656089,1.1354548128514614
Falternating-H0.3-I1.5-N0.1-S0-T0-D0,alternating,0.3,1.5,0.1,0.0,0.0,0,0.07630562307952495,0.08680898251184714,0.8790060760026905
Falternating-H0.3-I1.5-N0.1-S0-T0-D3,alternating,0.3,1.5,0.1,0.0,0.0,3,0.08185675943608275,0.09103283062484549,0.89920041895019
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D0,alternating,0.3,1.5,0.1,0.0,0.9,0,0.10155251490157206,0.1054459293132963,0.9630766741108014
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D3,alternating,0.3,1.5,0.1,0.0,0.9,3,0.10907904251674155,0.11371768818514254,0.9592091103641779
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D0,alternating,0.3,1.5,0.1,0.9,0.0,0,0.07830227403789804,0.08710864944242153,0.898903547915245
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D3,alternating,0.3,1.5,0.1,0.9,0.0,3,0.08064249522259281,0.08956911846419444,0.9003381590143698
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D0,alternating,0.3,1.5,0.1,0.9,0.9,0,0.10688264142012724,0.11165869302084772,0.9572263343631584
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D3,alternating,0.3,1.5,0.1,0.9,0.9,3,0.10672693471448785,0.11397899068316883,0.9363737481336385
Falternating-H0.3-I1.5-N0.5-S0-T0-D0,alternating,0.3,1.5,0.5,0.0,0.0,0,0.08765422305469661,0.09243150797821686,0.9483154064234665
Falternating-H0.3-I1.5-N0.5-S0-T0-D3,alternating,0.3,1.5,0.5,0.0,0.0,3,0.0952652154145644,0.09838324207537374,0.9683073397965423
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D0,alternating,0.3,1.5,0.5,0.0,0.9,0,0.2175052186413104,0.1908618980203321,1.1395947588142503
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D3,alternating,0.3,1.5,0.5,0.0,0.9,3,0.2220278265672489,0.21456482239448282,1.0347820490305963
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D0,alternating,0.3,1.5,0.5,0.9,0.0,0,0.0904636130370512,0.09270731785815808,0.9757979750364502
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D3,alternating,0.3,1.5,0.5,0.9,0.0,3,0.09233105551844614,0.09658804642347606,0.9559263173585086
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D0,alternating,0.3,1.5,0.5,0.9,0.9,0,0.2286691603119776,0.21108621605832797,1.0832974534386037
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D3,alternating,0.3,1.5,0.5,0.9,0.9,3,0.2260632612349391,0.22525588888033604,1.0035842452715276
Falternating-H0.6-I0.5-N0.1-S0-T0-D0,alternating,0.6,0.5,0.1,0.0,0.0,0,0.024116991642151808,0.06681248055743044,0.36096536816083946
Falternating-H0.6-I0.5-N0.1-S0-T0-D3,alternating,0.6,0.5,0.1,0.0,0.0,3,0.02440178037002297,0.05785992246921949,0.4217389054229084
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D0,alternating,0.6,0.5,0.1,0.0,0.9,0,0.05803384175239583,0.09359674022644868,0.6200412707962725
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D3,alternating,0.6,0.5,0.1,0.0,0.9,3,0.050847524266825476,0.07433544678637656,0.6840279633073287
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D0,alternating,0.6,0.5,0.1,0.9,0.0,0,0.02523126853171659,0.06710292928757425,0.37600845148780676
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D3,alternating,0.6,0.5,0.1,0.9,0.0,3,0.02447368086567616,0.05787618626817134,0.42286270820051103
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.6,0.5,0.1,0.9,0.9,0,0.05833245282138352,0.09573407180713048,0.6093175785827046
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.6,0.5,0.1,0.9,0.9,3,0.05502331569083098,0.08054970342904812,0.6830976819088855
Falternating-H0.6-I0.5-N0.5-S0-T0-D0,alternating,0.6,0.5,0.5,0.0,0.0,0,0.04120897275964724,0.07371916508376786,0.5589994503169027
Falternating-H0.6-I0.5-N0.5-S0-T0-D3,alternating,0.6,0.5,0.5,0.0,0.0,3,0.04159642316664671,0.0660055986800625,0.6301953773386685
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D0,alternating,0.6,0.5,0.5,0.0,0.9,0,0.16378351348418074,0.18221174975858073,0.8988636226872512
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D3,alternating,0.6,0.5,0.5,0.0,0.9,3,0.1959172683531355,0.18485001884775829,1.0598715086661266
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D0,alternating,0.6,0.5,0.5,0.9,0.0,0,0.041133789278770545,0.07410190817743939,0.5550975715804021
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D3,alternating,0.6,0.5,0.5,0.9,0.0,3,0.039269694547704626,0.06401947291859714,0.6134023408414707
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D0,alternating,0.6,0.5,0.5,0.9,0.9,0,0.20698488919588368,0.2068390419459192,1.000705124373969
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D3,alternating,0.6,0.5,0.5,0.9,0.9,3,0.19172724661627302,0.1885507969287689,1.016846652144908
Falternating-H0.6-I1.5-N0.1-S0-T0-D0,alternating,0.6,1.5,0.1,0.0,0.0,0,0.08492955080953955,0.1335469867456256,0.6359525802802994
Falternating-H0.6-I1.5-N0.1-S0-T0-D3,alternating,0.6,1.5,0.1,0.0,0.0,3,0.09039293679856304,0.12494983054864914,0.7234338486226967
Falternating-H0.6-I1.5-N0.1-S0-T0.9-D0,alternating,0.6,1.5,0.1,0.0,0.9,0,0.11312532610232387,0.15703478938882398,0.720383849608136
Falternating-H0.6-I1.5-N0.1-S0-T0.9-D3,alternating,0.6,1.5,0.1,0.0,0.9,3,0.12009287452768701,0.14764381105947172,0.8133959267639939
Falternating-H0.6-I1.5-N0.1-S0.9-T0-D0,alternating,0.6,1.5,0.1,0.9,0.0,0,0.08664960485596405,0.13367275321148653,0.6482218909553981
Falternating-H0.6-I1.5-N0.1-S0.9-T0-D3,alternating,0.6,1.5,0.1,0.9,0.0,3,0.09126127291849767,0.12593421774530766,0.7246741557014046
Falternating-H0.6-I1.5-N0.1-S0.9-T0.9-D0,alternating,0.6,1.5,0.1,0.9,0.9,0,0.1152007857607152,0.15718839367443577,0.7328835359137003
Falternating-H0.6-I1.5-N0.1-S0.9-T0.9-D3,alternating,0.6,1.5,0.1,0.9,0.9,3,0.11960733770548163,0.15087006455673516,0.7927837643398298
Falternating-H0.6-I1.5-N0.5-S0-T0-D0,alternating,0.6,1.5,0.5,0.0,0.0,0,0.10658963912995914,0.14417848759818375,0.7392894800437751
Falternating-H0.6-I1.5-N0.5-S0-T0-D3,alternating,0.6,1.5,0.5,0.0,0.0,3,0.10626997430377431,0.1305554146562111,0.8139836603760393
Falternating-H0.6-I1.5-N0.5-S0-T0.9-D0,alternating,0.6,1.5,0.5,0.0,0.9,0,0.23595304220770336,0.24102375413724084,0.9789617751673962
Falternating-H0.6-I1.5-N0.5-S0-T0.9-D3,alternating,0.6,1.5,0.5,0.0,0.9,3,0.24851955958187055,0.2508673597461094,0.9906412688896039
Falternating-H0.6-I1.5-N0.5-S0.9-T0-D0,alternating,0.6,1.5,0.5,0.9,0.0,0,0.1018367961559031,0.13905794214173853,0.7323335480695035
Falternating-H0.6-I1.5-N0.5-S0.9-T0-D3,alternating,0.6,1.5,0.5,0.9,0.0,3,0.10803428754329618,0.1345944024374271,0.8026655313063357
