cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,persistent_auc,persistent_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,qp_iterations,mean_iterations_per_recipient_decision,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate,mean_rho_upper,mean_effective_samples
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1808804502,0.01029473193303545,0.011024648242089893,0.001996854010488721,240,0,30,12,657,27.375,0.016725326146966882,0.04699860541417676,1.0,0.0,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2863024076,0.008884825816470458,0.009517567548083897,0.001422872937339015,240,0,30,12,627,26.125,0.01661705365076419,0.05230791701248915,0.9166666666666666,0.08333333333333333,0.23055858660343057,3.3948938940164233
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2950424385,0.011354280410095124,0.011935586558745525,0.0011562940372460203,240,0,30,12,638,26.583333333333332,0.021232914938965508,0.06783198384016083,0.875,0.125,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3476054506,0.009222077759604248,0.009366243425466636,0.005245647643666316,240,0,30,12,708,29.5,0.011578668984096907,0.03896987452489992,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,859049474,0.009149770127312194,0.008733667203337065,0.002078293348811467,240,0,30,12,609,25.375,0.010556716380256598,0.05378247518601029,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2088432960,0.007567677276065779,0.007698370907444209,0.000925834408394515,240,0,30,12,551,22.958333333333332,0.02696973217776721,0.062134611557347355,0.875,0.125,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,4057090488,0.010347741204839084,0.010290746614716005,0.00024472931332051836,240,0,30,12,723,30.125,0.00941311629971814,0.02630159670853401,0.9583333333333334,0.041666666666666664,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,4197492090,0.011870820905272769,0.01233723560284001,0.0020372064775507027,240,0,30,12,653,27.208333333333332,0.0207964038105416,0.06798794242515496,0.9583333333333334,0.041666666666666664,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3445129534,0.011472311081053456,0.01103472223285751,0.0012124662976293493,240,0,30,12,800,33.333333333333336,0.00872898864549978,0.06327378688993428,0.9583333333333334,0.041666666666666664,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1554091691,0.010065822289857371,0.009808008987355135,0.0017576381188661567,240,0,30,12,733,30.541666666666668,0.008763341331601325,0.057426968119714185,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1360135080,0.010827581653654349,0.01060638711964175,0.0008372846864358448,240,0,30,12,672,28.0,0.018289479440400772,0.06787503720232849,0.875,0.125,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2498757706,0.01128400684446016,0.011948098419598109,0.0004031748139255873,240,0,30,12,570,23.75,0.007037446386174415,0.02164005346239908,1.0,0.0,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1598408979,0.010622876377234323,0.010784220589565977,0.0016207912216979776,240,0,30,12,621,25.875,0.013712745542065289,0.04751737250057398,0.9583333333333334,0.041666666666666664,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2984591295,0.008952768171037018,0.008965066078235414,0.0034554886645530255,240,0,30,12,488,20.333333333333332,0.024195817919139277,0.06560550274826903,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3736052005,0.011256704269411074,0.010823582908729439,0.0026807883554432373,240,0,30,12,697,29.041666666666668,0.01621792560774444,0.07807624977362665,0.875,0.125,0.21663131856711068,3.3930840745337476
