rho,overhead,q,fisher_closed,fisher_direct,fisher_relative_error,minimax_risk,risk_ratio_speedup,effective_speedup,speedup_relative_error,information_per_cost,selected_q,selected_efficiency,adaptive_budget_lower_bound,budget_identity_relative_error
0.01,4.0,32,24.427480916030532,24.427480916030532,0.0,0.0409375,24.427480916030532,24.427480916030532,0.0,0.6785411365564037,16,0.6956521739130436,1.1230468749999998e-05,0.0
0.01,16.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.058823529411764705,32,0.5089058524173028,1.53515625e-05,0.0
0.01,16.0,2,1.9801980198019802,1.9801980198019802,0.0,0.505,1.9801980198019802,1.9801980198019802,0.0,0.11001100110011001,32,0.5089058524173028,1.53515625e-05,0.0
0.01,16.0,4,3.883495145631068,3.883495145631068,0.0,0.2575,3.883495145631068,3.883495145631068,0.0,0.1941747572815534,32,0.5089058524173028,1.53515625e-05,0.0
0.01,16.0,8,7.4766355140186915,7.476635514018692,1.1879386363489176e-16,0.13375,7.4766355140186915,7.4766355140186915,0.0,0.3115264797507788,32,0.5089058524173028,1.53515625e-05,0.0
0.01,16.0,16,13.913043478260871,13.913043478260867,2.55351295663786e-16,0.071875,13.913043478260871,13.913043478260871,0.0,0.4347826086956522,32,0.5089058524173028,1.53515625e-05,0.0
0.01,16.0,32,24.427480916030532,24.427480916030532,0.0,0.0409375,24.427480916030532,24.427480916030532,0.0,0.5089058524173028,32,0.5089058524173028,1.53515625e-05,0.0
0.01,64.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015384615384615385,32,0.2544529262086514,3.0703125e-05,0.0
0.01,64.0,2,1.9801980198019802,1.9801980198019802,0.0,0.505,1.9801980198019802,1.9801980198019802,0.0,0.030003000300030003,32,0.2544529262086514,3.0703125e-05,0.0
0.01,64.0,4,3.883495145631068,3.883495145631068,0.0,0.2575,3.883495145631068,3.883495145631068,0.0,0.05711022272986865,32,0.2544529262086514,3.0703125e-05,0.0
0.01,64.0,8,7.4766355140186915,7.476635514018692,1.1879386363489176e-16,0.13375,7.4766355140186915,7.4766355140186915,0.0,0.10384215991692627,32,0.2544529262086514,3.0703125e-05,0.0
0.01,64.0,16,13.913043478260871,13.913043478260867,2.55351295663786e-16,0.071875,13.913043478260871,13.913043478260871,0.0,0.1739130434782609,32,0.2544529262086514,3.0703125e-05,0.0
0.01,64.0,32,24.427480916030532,24.427480916030532,0.0,0.0409375,24.427480916030532,24.427480916030532,0.0,0.2544529262086514,32,0.2544529262086514,3.0703125e-05,0.0
0.05,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,4,0.6956521739130436,1.1230468749999998e-05,0.0
0.05,1.0,2,1.9047619047619047,1.9047619047619047,0.0,0.525,1.9047619047619047,1.9047619047619047,0.0,0.6349206349206349,4,0.6956521739130436,1.1230468749999998e-05,0.0
0.05,1.0,4,3.4782608695652177,3.4782608695652177,0.0,0.2875,3.4782608695652177,3.4782608695652177,0.0,0.6956521739130436,4,0.6956521739130436,1.1230468749999998e-05,0.0
0.05,1.0,8,5.925925925925926,5.925925925925926,0.0,0.16875,5.925925925925926,5.925925925925926,0.0,0.6584362139917695,4,0.6956521739130436,1.1230468749999998e-05,0.0
0.05,1.0,16,9.142857142857142,9.142857142857142,0.0,0.109375,9.142857142857142,9.142857142857142,0.0,0.5378151260504201,4,0.6956521739130436,1.1230468749999998e-05,0.0
0.05,1.0,32,12.549019607843139,12.549019607843135,2.831068712794149e-16,0.0796875,12.549019607843139,12.549019607843139,0.0,0.3802733214497921,4,0.6956521739130436,1.1230468749999998e-05,0.0
0.05,4.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,8,0.49382716049382713,1.58203125e-05,0.0
0.05,4.0,2,1.9047619047619047,1.9047619047619047,0.0,0.525,1.9047619047619047,1.9047619047619047,0.0,0.31746031746031744,8,0.49382716049382713,1.58203125e-05,0.0
0.05,4.0,4,3.4782608695652177,3.4782608695652177,0.0,0.2875,3.4782608695652177,3.4782608695652177,0.0,0.4347826086956522,8,0.49382716049382713,1.58203125e-05,0.0
0.05,4.0,8,5.925925925925926,5.925925925925926,0.0,0.16875,5.925925925925926,5.925925925925926,0.0,0.49382716049382713,8,0.49382716049382713,1.58203125e-05,0.0
0.05,4.0,16,9.142857142857142,9.142857142857142,0.0,0.109375,9.142857142857142,9.142857142857142,0.0,0.45714285714285713,8,0.49382716049382713,1.58203125e-05,0.0
0.05,4.0,32,12.549019607843139,12.549019607843135,2.831068712794149e-16,0.0796875,12.549019607843139,12.549019607843139,0.0,0.3485838779956427,8,0.49382716049382713,1.58203125e-05,0.0
0.05,16.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.058823529411764705,16,0.2857142857142857,2.734375e-05,0.0
0.05,16.0,2,1.9047619047619047,1.9047619047619047,0.0,0.525,1.9047619047619047,1.9047619047619047,0.0,0.10582010582010581,16,0.2857142857142857,2.734375e-05,0.0
0.05,16.0,4,3.4782608695652177,3.4782608695652177,0.0,0.2875,3.4782608695652177,3.4782608695652177,0.0,0.1739130434782609,16,0.2857142857142857,2.734375e-05,0.0
0.05,16.0,8,5.925925925925926,5.925925925925926,0.0,0.16875,5.925925925925926,5.925925925925926,0.0,0.24691358024691357,16,0.2857142857142857,2.734375e-05,0.0
0.05,16.0,16,9.142857142857142,9.142857142857142,0.0,0.109375,9.142857142857142,9.142857142857142,0.0,0.2857142857142857,16,0.2857142857142857,2.734375e-05,0.0
0.05,16.0,32,12.549019607843139,12.549019607843135,2.831068712794149e-16,0.0796875,12.549019607843139,12.549019607843139,0.0,0.26143790849673204,16,0.2857142857142857,2.734375e-05,0.0
0.05,64.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015384615384615385,32,0.13071895424836602,5.976562499999999e-05,0.0
0.05,64.0,2,1.9047619047619047,1.9047619047619047,0.0,0.525,1.9047619047619047,1.9047619047619047,0.0,0.02886002886002886,32,0.13071895424836602,5.976562499999999e-05,0.0
0.05,64.0,4,3.4782608695652177,3.4782608695652177,0.0,0.2875,3.4782608695652177,3.4782608695652177,0.0,0.05115089514066497,32,0.13071895424836602,5.976562499999999e-05,0.0
0.05,64.0,8,5.925925925925926,5.925925925925926,0.0,0.16875,5.925925925925926,5.925925925925926,0.0,0.0823045267489712,32,0.13071895424836602,5.976562499999999e-05,0.0
0.05,64.0,16,9.142857142857142,9.142857142857142,0.0,0.109375,9.142857142857142,9.142857142857142,0.0,0.11428571428571428,32,0.13071895424836602,5.976562499999999e-05,0.0
0.05,64.0,32,12.549019607843139,12.549019607843135,2.831068712794149e-16,0.0796875,12.549019607843139,12.549019607843139,0.0,0.13071895424836602,32,0.13071895424836602,5.976562499999999e-05,0.0
0.1,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,4,0.6153846153846153,1.2695312500000001e-05,0.0
0.1,1.0,2,1.8181818181818181,1.8181818181818183,1.2212453270876723e-16,0.55,1.8181818181818181,1.8181818181818181,0.0,0.6060606060606061,4,0.6153846153846153,1.2695312500000001e-05,0.0
0.1,1.0,4,3.0769230769230766,3.0769230769230766,0.0,0.325,3.0769230769230766,3.0769230769230766,0.0,0.6153846153846153,4,0.6153846153846153,1.2695312500000001e-05,0.0
0.1,1.0,8,4.705882352941176,4.705882352941177,1.8873791418627663e-16,0.21250000000000002,4.705882352941176,4.705882352941176,0.0,0.522875816993464,4,0.6153846153846153,1.2695312500000001e-05,0.0
0.1,1.0,16,6.4,6.399999999999999,2.7755575615628914e-16,0.15625,6.4,6.4,0.0,0.3764705882352941,4,0.6153846153846153,1.2695312500000001e-05,0.0
0.1,1.0,32,7.804878048780487,7.804878048780486,1.1379786002407856e-16,0.12812500000000002,7.804878048780487,7.8048780487804885,2.2759572004815707e-16,0.23651145602365112,4,0.6153846153846153,1.2695312500000001e-05,0.0
0.1,4.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,8,0.392156862745098,1.9921875000000005e-05,0.0
0.1,4.0,2,1.8181818181818181,1.8181818181818183,1.2212453270876723e-16,0.55,1.8181818181818181,1.8181818181818181,0.0,0.30303030303030304,8,0.392156862745098,1.9921875000000005e-05,0.0
0.1,4.0,4,3.0769230769230766,3.0769230769230766,0.0,0.325,3.0769230769230766,3.0769230769230766,0.0,0.3846153846153846,8,0.392156862745098,1.9921875000000005e-05,0.0
0.1,4.0,8,4.705882352941176,4.705882352941177,1.8873791418627663e-16,0.21250000000000002,4.705882352941176,4.705882352941176,0.0,0.392156862745098,8,0.392156862745098,1.9921875000000005e-05,0.0
0.1,4.0,16,6.4,6.399999999999999,2.7755575615628914e-16,0.15625,6.4,6.4,0.0,0.32,8,0.392156862745098,1.9921875000000005e-05,0.0
0.1,4.0,32,7.804878048780487,7.804878048780486,1.1379786002407856e-16,0.12812500000000002,7.804878048780487,7.8048780487804885,2.2759572004815707e-16,0.21680216802168017,8,0.392156862745098,1.9921875000000005e-05,0.0
0.1,16.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.058823529411764705,16,0.2,3.90625e-05,0.0
0.1,16.0,2,1.8181818181818181,1.8181818181818183,1.2212453270876723e-16,0.55,1.8181818181818181,1.8181818181818181,0.0,0.10101010101010101,16,0.2,3.90625e-05,0.0
0.1,16.0,4,3.0769230769230766,3.0769230769230766,0.0,0.325,3.0769230769230766,3.0769230769230766,0.0,0.15384615384615383,16,0.2,3.90625e-05,0.0
0.1,16.0,8,4.705882352941176,4.705882352941177,1.8873791418627663e-16,0.21250000000000002,4.705882352941176,4.705882352941176,0.0,0.196078431372549,16,0.2,3.90625e-05,0.0
0.1,16.0,16,6.4,6.399999999999999,2.7755575615628914e-16,0.15625,6.4,6.4,0.0,0.2,16,0.2,3.90625e-05,0.0
0.1,16.0,32,7.804878048780487,7.804878048780486,1.1379786002407856e-16,0.12812500000000002,7.804878048780487,7.8048780487804885,2.2759572004815707e-16,0.16260162601626013,16,0.2,3.90625e-05,0.0
0.1,64.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015384615384615385,32,0.08130081300813007,9.609375000000001e-05,0.0
0.1,64.0,2,1.8181818181818181,1.8181818181818183,1.2212453270876723e-16,0.55,1.8181818181818181,1.8181818181818181,0.0,0.027548209366391185,32,0.08130081300813007,9.609375000000001e-05,0.0
0.1,64.0,4,3.0769230769230766,3.0769230769230766,0.0,0.325,3.0769230769230766,3.0769230769230766,0.0,0.04524886877828054,32,0.08130081300813007,9.609375000000001e-05,0.0
0.1,64.0,8,4.705882352941176,4.705882352941177,1.8873791418627663e-16,0.21250000000000002,4.705882352941176,4.705882352941176,0.0,0.065359477124183,32,0.08130081300813007,9.609375000000001e-05,0.0
0.1,64.0,16,6.4,6.399999999999999,2.7755575615628914e-16,0.15625,6.4,6.4,0.0,0.08,32,0.08130081300813007,9.609375000000001e-05,0.0
0.1,64.0,32,7.804878048780487,7.804878048780486,1.1379786002407856e-16,0.12812500000000002,7.804878048780487,7.8048780487804885,2.2759572004815707e-16,0.08130081300813007,32,0.08130081300813007,9.609375000000001e-05,0.0
0.25,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,2,0.5333333333333333,1.46484375e-05,0.0
0.25,1.0,2,1.6,1.6,0.0,0.625,1.6,1.6,0.0,0.5333333333333333,2,0.5333333333333333,1.46484375e-05,0.0
0.25,1.0,4,2.2857142857142856,2.2857142857142856,0.0,0.4375,2.2857142857142856,2.2857142857142856,0.0,0.45714285714285713,2,0.5333333333333333,1.46484375e-05,0.0
0.25,1.0,8,2.909090909090909,2.9090909090909087,1.5265566588595902e-16,0.34375,2.909090909090909,2.909090909090909,0.0,0.32323232323232326,2,0.5333333333333333,1.46484375e-05,0.0
0.25,1.0,16,3.3684210526315788,3.368421052631579,1.3183898417423734e-16,0.296875,3.3684210526315788,3.3684210526315788,0.0,0.1981424148606811,2,0.5333333333333333,1.46484375e-05,0.0
0.25,1.0,32,3.657142857142857,3.6571428571428566,1.214306433183765e-16,0.2734375,3.657142857142857,3.657142857142857,0.0,0.11082251082251082,2,0.5333333333333333,1.46484375e-05,0.0
