cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,noise_mean,noise_second_moment,local_auc,charged_shadow_auc,strong_static_auc,observable_auc,clairvoyant_auc,full_sharing_auc,local_terminal,strong_static_terminal,observable_terminal,observable_actions,observable_shadow_states,observable_checkpoint_violations,observable_learning_transitions,observable_probe_transitions,observable_environment_used,observable_message_units,observable_candidate_scores,shift_changes,shift_total,other_changes,other_total
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1360135080,-0.007425861853488768,0.09609590224603724,0.011296334939019943,0.01450826749280939,0.010827581653654349,0.012765339630181739,0.011693109067257021,0.014438974590888063,0.0008372846864358448,0.0014032538774228372,0.0008185319633550955,"[[0,2,2,2],[6,2,0,6],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,2,0,0]]","[[false,false,false,false],[false,false,true,false],[false,true,false,true],[true,true,true,true],[true,true,true,false],[false,false,true,true]]",2,216,24,240,15,168,0,0,3,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2498757706,0.0035407540717702227,0.10404733358529533,0.011948098419598109,0.014249550022944646,0.01128400684446016,0.013045677999823027,0.010514513713408905,0.01573138993141897,0.0004031748139255873,0.0010191939463593419,0.0004236524933685415,"[[0,2,2,0],[0,0,0,2],[0,0,0,6],[0,0,0,0],[0,0,2,0],[0,0,0,0]]","[[false,false,false,true],[true,true,true,false],[true,false,false,false],[true,false,true,true],[true,true,false,false],[false,true,true,false]]",2,216,24,240,16,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1598408979,0.006888045442203248,0.09591464510811147,0.011187987829219365,0.014554271781878611,0.010622876377234323,0.013199502000296586,0.012037779512783444,0.014727560755019803,0.0016207912216979776,0.0014926502641094707,0.0014701432938968666,"[[2,0,4,4],[0,2,0,4],[0,2,0,6],[0,0,4,0],[2,0,0,0],[0,0,0,0]]","[[false,false,false,false],[true,false,true,false],[false,false,false,false],[true,false,false,true],[false,true,false,false],[true,false,false,true]]",3,216,24,240,17,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2984591295,-0.012964757326585585,0.10421667582762607,0.009180208298597064,0.013824274286350286,0.008952768171037018,0.012512151596680622,0.01100414718424185,0.013577766520708488,0.0034554886645530255,0.003205735395588221,0.003279378785357146,"[[2,0,4,4],[0,0,0,4],[0,1,0,0],[6,0,6,0],[0,0,0,0],[0,0,5,0]]","[[false,false,false,false],[true,true,true,false],[false,false,true,false],[false,false,false,true],[false,true,true,false],[false,true,false,true]]",2,216,24,240,17,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3736052005,0.003607269726670466,0.09726937343237237,0.011299466020927957,0.01462123707693159,0.011256704269411074,0.013666921034810833,0.011076405647179677,0.015228672247013209,0.0026807883554432373,0.002694244029996563,0.0028204275553854598,"[[2,0,4,4],[0,0,0,0],[4,0,2,6],[2,0,0,0],[0,0,0,6],[0,0,0,0]]","[[false,false,false,false],[false,true,true,true],[false,true,false,false],[false,true,true,true],[true,true,false,false],[false,true,false,true]]",3,216,24,240,16,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2446090982,-0.007063655082699697,0.10010169680896111,0.009771075545609397,0.012637797829532003,0.009709975494087624,0.010762639215681706,0.009231808326548218,0.013270520059337718,0.0015052025736412371,0.0017305206164881938,0.0016052098442539402,"[[2,0,4,4],[0,0,6,0],[4,0,0,0],[1,4,0,0],[0,0,0,0],[0,0,0,6]]","[[false,false,false,false],[true,true,false,true],[false,true,true,true],[false,false,true,false],[false,false,true,false],[true,true,true,false]]",5,216,24,240,17,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2759634938,-0.010131853534657554,0.1033273508848294,0.009340874494182978,0.01288487886096061,0.008745121788152154,0.011395759082445861,0.010495910561782963,0.012508097345844732,0.0013248914966313705,0.001127503442103883,0.0010314061696906065,"[[2,0,4,0],[0,0,6,0],[0,0,6,0],[0,0,6,0],[2,0,0,3],[0,0,0,6]]","[[false,false,false,true],[true,true,false,false],[true,false,false,false],[true,false,false,false],[false,false,true,false],[false,true,false,false]]",5,216,24,240,18,168,0,0,3,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1796341307,-0.006739073948924709,0.0941851707418898,0.010517046213863459,0.013408825632666493,0.010407170936858402,0.012805369158524834,0.011008461737501423,0.014421047488438374,0.0010798914605233908,0.001197082670101036,0.0024894341941973314,"[[0,2,2,2],[0,0,0,0],[2,0,0,0],[0,0,0,6],[4,0,0,0],[0,0,4,0]]","[[false,false,false,false],[true,true,true,false],[false,true,true,false],[true,false,false,false],[false,true,true,true],[true,true,false,true]]",4,216,24,240,17,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,702779833,0.00984816356130949,0.09202502599330153,0.009025650050674407,0.012956422995387802,0.00888726253529429,0.01090165934432822,0.010259388378126092,0.013485108118719507,0.001275100574589767,0.0014968964282246113,0.001418795494706845,"[[2,0,4,4],[0,2,2,0],[0,0,6,0],[0,0,6,0],[0,3,0,0],[0,0,1,0]]","[[false,false,false,false],[true,false,false,true],[true,false,false,false],[false,true,false,true],[true,false,true,true],[true,false,false,false]]",4,216,24,240,18,168,0,0,4,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3081155260,-0.008449615855717152,0.10924352204265357,0.01096598326769536,0.014388346422664492,0.010627982801747848,0.01330105054685568,0.011232955289064511,0.013271931911352385,0.004277259551442325,0.00426129181562367,0.0041147855074646295,"[[0,2,1,2],[0,0,0,0],[5,0,0,0],[0,1,2,6],[0,0,0,0],[0,0,0,0]]","[[false,false,false,false],[true,false,false,false],[false,true,false,true],[true,false,false,false],[true,true,true,true],[false,true,true,false]]",3,216,24,240,15,168,0,0,4,5
