controller_bellman_residual,controller_risk,controller_updates,delay,encoder_sha256,environment_budget,game,learning_environment,learning_message,master_seed,match_count,message_budget,overhead,probe_environment,probe_message,rho,selected_q,strong_bellman_residual,strong_q,strong_risk,true_rho_full_budget_risk,true_rho_q
2.05825722768109e-07,6.577220621673796e-07,10832,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056101,66,393216,32,768,3264,0.7,4,1.9358675224739855e-07,4,6.125833220266389e-07,6.125833220266389e-07,4
2.0711943687737405e-07,6.77337819671495e-07,10824,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056101,66,393216,32,768,3264,0.7,4,1.9180894718195476e-07,4,6.228645264407934e-07,6.228645264407934e-07,4
7.827972334388292e-07,2.5238740563795808e-05,21738,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056101,89,196608,8,768,960,0.9,1,5.512461896378992e-07,4,1.8827295370250744e-06,2.255171015040916e-05,1
8.082250508165349e-07,2.6334151822933053e-05,21730,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056101,89,196608,8,768,960,0.9,1,5.709730190338983e-07,4,2.0031982167205904e-06,2.3478521657103444e-05,1
7.037713336551719e-07,4.818487628507715e-06,11816,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056101,89,393216,32,768,3264,0.9,1,8.781694894079873e-07,4,1.6032155542491994e-05,3.99566654113016e-06,1
7.243873239667073e-07,5.855922008679771e-06,11808,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056101,89,393216,32,768,3264,0.9,1,9.074193521677401e-07,4,1.7436336775084613e-05,4.72725111888276e-06,1
7.827972334388292e-07,2.5238740563795808e-05,21738,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056101,96,196608,8,768,960,1.0,1,5.512461896378992e-07,4,1.8827295370250744e-06,2.255171015040916e-05,1
8.082250508165349e-07,2.6334151822933053e-05,21730,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056101,96,196608,8,768,960,1.0,1,5.709730190338983e-07,4,2.0031982167205904e-06,2.3478521657103444e-05,1
7.037713336551719e-07,4.818487628507715e-06,11816,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056101,96,393216,32,768,3264,1.0,1,8.781694894079873e-07,4,1.6032155542491994e-05,3.99566654113016e-06,1
7.243873239667073e-07,5.855922008679771e-06,11808,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056101,96,393216,32,768,3264,1.0,1,9.074193521677401e-07,4,1.7436336775084613e-05,4.72725111888276e-06,1
6.23176467421847e-08,9.764375437727693e-07,8144,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,130304,195456,202608056102,0,196608,8,768,960,0.0,16,3.0437428616572835e-07,4,9.299149239052714e-06,8.57844523916845e-07,16
6.192984395029704e-08,9.833435604645574e-07,8136,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,130304,195456,202608056102,0,196608,8,768,960,0.0,16,3.0472970224246586e-07,4,9.322424544918961e-06,8.621301803588725e-07,16
6.248159000313029e-08,1.0029083856975742e-06,8124,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056102,0,393216,32,768,3264,0.0,16,6.222260782668344e-07,4,2.6998863178600047e-05,8.57844523916845e-07,16
6.227784671713106e-08,1.0126433443675693e-06,8116,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056102,0,393216,32,768,3264,0.0,16,6.174520794145892e-07,4,2.6780724578378757e-05,8.621301803588725e-07,16
6.95837963044156e-08,4.6943239404317485e-07,8144,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,130304,195456,202608056102,5,196608,8,768,960,0.1,16,1.3278327418016742e-07,4,4.2799120138763216e-07,4.084486118173322e-07,16
6.855120748013963e-08,4.5088096841826666e-07,8136,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,130304,195456,202608056102,5,196608,8,768,960,0.1,16,1.350937785189383e-07,4,4.3706631203425496e-07,3.9177353484503297e-07,16
7.021329928729484e-08,5.193586169692571e-07,8124,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056102,5,393216,32,768,3264,0.1,16,1.2148559124541017e-06,4,6.027964737363912e-05,4.084486118173322e-07,16
6.921174748819877e-08,5.022608366694245e-07,8116,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056102,5,393216,32,768,3264,0.1,16,1.210310304271228e-06,4,5.995192441642255e-05,3.9177353484503297e-07,16
1.900590830337817e-07,5.302481852998551e-06,16304,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056102,29,196608,8,768,960,0.3,4,1.9028838002328374e-07,4,5.223949680882164e-06,5.223949680882164e-06,4
1.8766127789883952e-07,5.188044273538754e-06,16296,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056102,29,196608,8,768,960,0.3,4,1.9057512141666005e-07,4,5.206088981130065e-06,5.206088981130065e-06,4
