original_persistence,decorrelation_gap,target_delta,actual_delta,used_persistence,homogeneous_delay,rho,num_agents,eta,root,lipschitz,monotonicity,effective_monotonicity,curvature,effective_curvature,rms_delay,linear_coefficient,cubic_coefficient,right_hand_side,polynomial_at_eta,contraction_coefficient,exact_boundary,exact_below_radius,exact_below_residual,exact_above_radius,exact_above_residual,exact_operator_dimension,theorem_radius,theorem_residual,theorem_to_exact_ratio,progress_per_raw_transition
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,1,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.4745000000000004,2.4745000000000004,0.0,2.4745000000000004,0.0,1.31,1.124772716025,0.9158057808533059,0.5293998788933636,0.9999999297097725,0.0,1.0000000706307821,1.5700924586837754e-16,2,0.9158057808533056,2.482534153247273e-16,0.8586051265258384,0.08795096642559727
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,2,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.1717625000000003,2.1717625000000003,0.0,2.1717625000000003,0.0,1.31,0.987164762855625,0.8532567118563534,0.6031967122747368,0.9999999197765496,0.0,1.0000000800323292,1.5700924586837754e-16,2,0.8532567118563532,0.0,0.7535608877671883,0.15869482500140927
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,4,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.02039375,2.02039375,0.0,2.02039375,0.0,1.31,0.9183607862709375,0.8219821773578772,0.6483884641238404,0.9999999142683522,0.0,1.000000086364371,0.0,2,0.8219821773578769,0.0,0.7010387678846535,0.19603656620739454
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,8,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,1.9447093750000004,1.9447093750000004,0.0,1.9447093750000004,0.0,1.31,0.8839587979785939,0.8063449101086391,0.6736225050990357,0.9999999112371611,0.0,1.000000089944499,1.5700924586837754e-16,2,0.806344910108639,0.0,0.6747777079288242,0.21524369983616728
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,16,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,1.9068671875000003,1.9068671875000003,0.0,1.9068671875000003,0.0,1.31,0.866757803832422,0.79852627648402,0.6869906873999698,0.9999999091181659,0.0,1.000000090773407,1.5700924586837754e-16,2,0.7985262764840197,1.5700924586837754e-16,0.6616471785378963,0.22498740456227959
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,32,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,1.8879460937500003,1.8879460937500003,0.0,1.8879460937500003,0.0,1.31,0.858157306759336,0.7946169596717105,0.6938757438843581,0.9999999084191782,1.5700924586837754e-16,1.0000000918783036,1.5700924586837754e-16,2,0.7946169596717103,1.5700924586837754e-16,0.6550819134495568,0.22989509217007273
0.5,1,0.07443181818181818,0.0,0.5,0,0.9,1,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.4745000000000004,2.4745000000000004,0.0,2.4745000000000004,0.0,1.31,1.124772716025,0.9158057808533059,0.5293998788933636,0.9999999297097725,0.0,1.0000000706307821,1.5700924586837754e-16,2,0.9158057808533056,2.482534153247273e-16,0.8586051265258384,0.08795096642559727
0.5,1,0.07443181818181818,0.0,0.5,0,0.9,2,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.4442262500000003,2.4442262500000003,0.0,2.4442262500000003,0.0,1.31,1.1110119207080624,0.9095508739536107,0.535956931613493,0.9999999292803474,1.1102230246251565e-16,1.0000000719193047,0.0,2,0.9095508739536105,0.0,0.8481007021060357,0.09480434641063823
0.5,1,0.07443181818181818,0.0,0.5,0,0.9,4,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.429089375,2.429089375,0.0,2.429089375,0.0,1.31,1.1041315230495938,0.906423420503763,0.5392967474649233,0.999999927832664,1.1102230246251565e-16,1.0000000713466524,0.0,2,0.9064234205037628,0.0,0.8428484913671102,0.09824873056447204
0.5,1,0.07443181818181818,0.0,0.5,0,0.9,8,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.4215209375,2.4215209375,0.0,2.4215209375,0.0,1.31,1.1006913242203593,0.9048596937788391,0.5409823143095889,0.999999928518758,0.0,1.0000000724743654,1.5700924586837754e-16,2,0.9048596937788389,0.0,0.8402223843123205,0.09997538179982161
0.5,1,0.07443181818181818,0.0,0.5,0,0.9,16,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.41773671875,2.41773671875,0.0,2.41773671875,0.0,1.31,1.0989712248057422,0.9040778304163772,0.5418290541595104,0.9999999276550123,0.0,1.0000000718324653,0.0,2,0.904077830416377,0.0,0.8389093322156644,0.10083982670263603
0.5,1,0.07443181818181818,0.0,0.5,0,0.9,32,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.4158446093750006,2.4158446093750006,0.0,2.4158446093750006,0.0,1.31,1.0981111750984338,0.9036868987351464,0.5422534189063023,0.9999999273025657,1.5700924586837754e-16,1.0000000715912023,1.1102230246251565e-16,2,0.9036868987351462,0.0,0.8382528060713663,0.10127232954000276
0.5,1,0.07443181818181818,0.0,0.5,2,0.0,1,0.031727712692054225,0.03172771300933136,2.2,0.655,0.655,2.4745000000000004,2.4745000000000004,2.0,41.194500000000005,93.70240000000003,1.31,1.3099999868401453,0.999999999582468,0.34768801973262786,0.999999962467006,8.608703982599288e-16,1.000000036268301,1.904242867727824e-15,18,0.9594910064365199,3.521787733787173e-16,0.09125339641110683,0.04135233675546587
0.5,1,0.07443181818181818,0.0,0.5,2,0.0,2,0.03196097906583406,0.03196097938544386,2.2,0.655,0.655,2.1717625000000003,2.1717625000000003,2.0,40.891762500000006,93.70240000000003,1.31,1.3099999868388152,0.9999999995793557,0.38118349791757455,0.9999999609902894,9.988151536658765e-16,1.0000000387430632,2.390526998589601e-15,18,0.9588369951588058,6.988675367311055e-16,0.08384670176027705,0.04203419231145952
0.5,1,0.07443181818181818,0.0,0.5,2,0.0,4,0.03207889419495482,0.032078894515743764,2.2,0.655,0.655,2.02039375,2.02039375,2.0,40.74039375000001,93.70240000000003,1.31,1.3099999868381356,0.999999999577782,0.400670328916348,0.9999999602444476,1.3183167987305032e-15,1.00000004039902,1.6316879466126223e-15,18,0.9585038426489212,1.103262310084385e-15,0.08006306402002693,0.042381707481082026
0.5,1,0.07443181818181818,0.0,0.5,2,0.0,8,0.03213817632317535,0.03213817664455712,2.2,0.655,0.655,1.9447093750000004,1.9447093750000004,2.0,40.66470937500001,93.70240000000003,1.31,1.309999986837792,0.9999999995769907,0.41123970507148155,0.9999999588858388,1.270101933475715e-15,1.0000000402944176,1.071739062847178e-15,18,0.9583356986346913,7.076311083754595e-16,0.07814949754812489,0.04255714628129438
0.5,1,0.07443181818181818,0.0,0.5,2,0.0,16,0.032167899044835156,0.03216789936651415,2.2,0.655,0.655,1.9068671875000003,1.9068671875000003,2.0,40.626867187500004,93.70240000000003,1.31,1.309999986837619,0.9999999995765939,0.41675261310562717,0.9999999589451356,1.0517861760148914e-15,1.0000000409946235,1.1236724040129632e-15,18,0.9582512307258231,9.238896857051836e-16,0.0771870362254504,0.042645290374973506
0.5,1,0.07443181818181818,0.0,0.5,2,0.0,32,0.03218278088506714,0.03218278120689495,2.2,0.655,0.655,1.8879460937500003,1.8879460937500003,2.0,40.60794609375001,93.70240000000003,1.31,1.309999986837533,0.9999999995763953,0.4195691553088834,0.99999995879237,1.9407082725756796e-15,1.0000000411658732,7.711855592701269e-16,18,0.9582088972954906,1.887379141862766e-15,0.07670435368723527,0.04268946914991419
0.5,1,0.07443181818181818,0.0,0.5,2,0.9,1,0.031727712692054225,0.03172771300933136,2.2,0.655,0.655,2.4745000000000004,2.4745000000000004,2.0,41.194500000000005,93.70240000000003,1.31,1.3099999868401453,0.999999999582468,0.34768801973262786,0.999999962467006,8.608703982599288e-16,1.000000036268301,1.904242867727824e-15,18,0.9594910064365199,3.521787733787173e-16,0.09125339641110683,0.04135233675546587
0.5,1,0.07443181818181818,0.0,0.5,2,0.9,2,0.031750887044009794,0.03175088736151867,2.2,0.655,0.655,2.4442262500000003,2.4442262500000003,2.0,41.164226250000006,93.70240000000003,1.31,1.309999986840014,0.9999999995821589,0.350754069719343,0.9999999635672959,7.933434980043314e-16,1.0000000377875313,2.2035549858782964e-15,18,0.9594263312299881,9.781625613217767e-16,0.09052179229000927,0.04141974477277514
0.5,1,0.07443181818181818,0.0,0.5,2,0.9,4,0.03176248683288692,0.03176248715051179,2.2,0.655,0.655,2.429089375,2.429089375,2.0,41.149089375,93.70240000000003,1.31,1.3099999868399483,0.999999999582004,0.3523087446271731,0.9999999634606903,7.216449660063518e-16,1.0000000378921075,1.0003565359928467e-15,18,0.9593939337166035,4.894749075098458e-16,0.09015526102396132,0.04145351293124156
0.5,1,0.07443181818181818,0.0,0.5,2,0.9,8,0.03176828988451858,0.03176829020220148,2.2,0.655,0.655,2.4215209375,2.4215209375,2.0,41.141520937500005,93.70240000000003,1.31,1.3099999868399153,0.9999999995819266,0.3530915864039738,0.9999999619069719,1.0366623890968928e-15,1.000000036444413,1.2133345991479857e-15,18,0.9593777199526321,5.110343437176303e-16,0.08997181215236413,0.04147041308081466
0.5,1,0.07443181818181818,0.0,0.5,2,0.9,16,0.03177119220012939,0.031771192517841315,2.2,0.655,0.655,2.41773671875,2.41773671875,2.0,41.137736718750006,93.70240000000003,1.31,1.3099999868398988,0.9999999995818879,0.35348439795888453,0.9999999635568437,2.198830264570169e-15,1.0000000381474048,1.3325567187647329e-15,18,0.9593696093150996,7.353918196335447e-16,0.0898800410529713,0.04147886717730648
0.5,1,0.07443181818181818,0.0,0.5,2,0.9,32,0.031772643555445665,0.03177264387317211,2.2,0.655,0.655,2.4158446093750006,2.4158446093750006,2.0,41.135844609375006,93.70240000000003,1.31,1.3099999868398906,0.9999999995818686,0.35368115151407564,0.9999999635619413,6.860738141105812e-16,1.0000000381790946,1.5696017281017987e-15,18,0.9593655530569809,1.0539812104219686e-15,0.08983414417033528,0.04148309523149371
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,1,0.23028674204984795,0.2302867443527154,2.2,0.655,0.3597209983999999,2.4745000000000004,3.1241138035200007,0.0,3.1241138035200007,0.0,0.7194419967999998,0.7194419896055797,0.9999999983432205,0.45413932261927537,0.9999999520419538,1.1102230246251568e-16,1.0000000485355902,1.1102230246251568e-16,2,0.867690507905776,0.0,0.5070839070302381,0.015768909512871312
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,2,0.2549968214831856,0.2549968240331538,2.2,0.655,0.3597209983999999,2.1717625000000003,2.8213763035200006,0.0,2.8213763035200006,0.0,0.7194419967999998,0.7194419896055796,0.9999999981654457,0.5147857851474923,0.9999999469443233,0.0,1.000000051877442,1.5700924586837752e-16,2,0.8533441718003993,1.1102230246251568e-16,0.4953454987303621,0.017621369880967422
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,4,0.26945316639913786,0.26945316909366956,2.2,0.655,0.3597209983999999,2.02039375,2.6700075535200005,0.0,2.6700075535200005,0.0,0.7194419967999998,0.7194419896055797,0.9999999980614407,0.5524778690248714,0.9999999450209476,1.5700924586837752e-16,1.0000000547928134,2.220446049250313e-16,2,0.8448831588788976,0.0,0.4877175747776562,0.018728548300191626
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,8,0.27731394282804966,0.27731394560118916,2.2,0.655,0.3597209983999999,1.9447093750000004,2.5943231785200007,0.0,2.5943231785200007,0.0,0.7194419967999998,0.7194419896055796,0.9999999980048869,0.5737633274617371,0.9999999438651285,0.0,1.0000000562499944,2.482534153247273e-16,2,0.8402587085321,1.1102230246251565e-16,0.48332462106780966,0.019338383135010996
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,16,0.28141886919273834,0.28141887200692706,2.2,0.655,0.3597209983999999,1.9068671875000003,2.556480991020001,0.0,2.556480991020001,0.0,0.7194419967999998,0.7194419896055797,0.9999999979753544,0.5851186354893536,0.9999999431090387,1.1102230246251565e-16,1.0000000568558902,1.1102230246251563e-16,2,0.8378367628466286,1.1102230246251565e-16,0.48096035935922404,0.01965911013488059
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,32,0.28351724441246945,0.28351724724764193,2.2,0.655,0.3597209983999999,1.8879460937500003,2.537559897270001,0.0,2.537559897270001,0.0,0.7194419967999998,0.7194419896055797,0.9999999979602578,0.5909897380428307,0.9999999423188204,0.0,1.000000056761643,1.1102230246251565e-16,2,0.8365967792994686,0.0,0.4797329397823184,0.01982367441456316
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,1,0.23028674204984795,0.2302867443527154,2.2,0.655,0.3597209983999999,2.4745000000000004,3.1241138035200007,0.0,3.1241138035200007,0.0,0.7194419967999998,0.7194419896055797,0.9999999983432205,0.45413932261927537,0.9999999520419538,1.1102230246251568e-16,1.0000000485355902,1.1102230246251568e-16,2,0.867690507905776,0.0,0.5070839070302381,0.015768909512871312
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,2,0.23254013690431033,0.23254013922971173,2.2,0.655,0.3597209983999999,2.4442262500000003,3.0938400535200006,0.0,3.0938400535200006,0.0,0.7194419967999998,0.7194419896055797,0.9999999983270086,0.45949341046119185,0.999999951484967,0.0,1.0000000487592868,2.482534153247273e-16,2,0.8663876621678726,0.0,0.5060793726528323,0.01593586930428239
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,4,0.23368345302824262,0.23368345536507718,2.2,0.655,0.3597209983999999,2.429089375,3.0787031785200005,0.0,3.0787031785200005,0.0,0.7194419967999998,0.7194419896055798,0.9999999983187831,0.4622226245318112,0.9999999513056239,1.5700924586837752e-16,1.000000048975112,3.140184917367551e-16,2,0.8657262410043883,1.1102230246251565e-16,0.5055647227673945,0.01602072659204458
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,8,0.23425933743520322,0.23425933977779662,2.2,0.655,0.3597209983999999,2.4215209375,3.0711347410200003,0.0,3.0711347410200003,0.0,0.7194419967999998,0.7194419896055797,0.9999999983146399,0.46360059220122807,0.9999999506967152,1.1102230246251568e-16,1.000000048565014,0.0,2,0.8653929847009634,0.0,0.5053042238857233,0.016063506405319037
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,16,0.23454834534957383,0.23454834769505734,2.2,0.655,0.3597209983999999,2.41773671875,3.0673505222700004,0.0,3.0673505222700004,0.0,0.7194419967999998,0.7194419896055797,0.9999999983125607,0.4642929583101952,0.999999951505455,0.0,1.000000049473469,1.1102230246251565e-16,2,0.8652257142337888,1.1102230246251568e-16,0.505173169550574,0.01608498497542019
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,32,0.234693116885622,0.2346931192325532,2.2,0.655,0.3597209983999999,2.4158446093750006,3.065458412895001,0.0,3.065458412895001,0.0,0.7194419967999998,0.7194419896055797,0.9999999983115191,0.4646399915702347,0.9999999516171251,0.0,1.0000000496350745,0.0,2,0.8651419176782685,0.0,0.5051074404777014,0.016095746536404925
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.0,1,0.017182026755907517,0.017182026927727787,2.2,0.655,0.3597209983999999,2.4745000000000004,3.1241138035200007,2.0,41.84411380352001,93.70240000000003,0.7194419967999998,0.7194419895960736,0.999999999876222,0.31878860110016394,0.9999999667485993,2.924099618874428e-15,1.0000000332313683,3.530635774481977e-15,18,0.9779054151811583,6.497413668604472e-16,0.05389787055312211,0.0024824806797753
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.0,2,0.01730699126102393,0.017306991434093845,2.2,0.655,0.3597209983999999,2.1717625000000003,2.8213763035200006,2.0,41.54137630352,93.70240000000003,0.7194419967999998,0.7194419895958647,0.9999999998753181,0.3470045158959659,0.999999965140598,2.603999644431347e-15,1.000000035282507,3.1692443651394748e-15,18,0.9776489023967153,7.671793734223695e-16,0.04987540642327742,0.0025116298784459115
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.0,4,0.017370156257204717,0.01737015643090628,2.2,0.655,0.3597209983999999,2.02039375,2.6700075535200005,2.0,41.39000755352001,93.70240000000003,0.7194419967999998,0.719441989595758,0.9999999998748612,0.36322536613310996,0.9999999643322892,1.6446203251502867e-15,1.000000036451664,9.391889663583972e-16,18,0.977518654119174,4.458205583648681e-16,0.04782198017205422,0.002526433756314176
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.0,8,0.01740191161514157,0.017401911789160687,2.2,0.655,0.3597209983999999,1.9447093750000004,2.5943231785200007,2.0,41.314323178520006,93.70240000000003,0.7194419967999998,0.7194419895957039,0.9999999998746315,0.3719628949039192,0.9999999638427917,1.9768907514454558e-15,1.0000000369911886,3.4576585607572944e-15,18,0.9774530234943919,6.437857749532318e-16,0.046783998763200864,0.0025338940092975875
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.0,16,0.017417832784513046,0.017417832958691377,2.2,0.655,0.3597209983999999,1.9068671875000003,2.556480991020001,2.0,41.27648099102001,93.70240000000003,0.7194419967999998,0.7194419895956767,0.9999999998745163,0.37650335620655156,0.9999999632138503,1.444623718391059e-15,1.0000000368872934,2.3311379047759113e-15,18,0.977420080477299,6.353541660708339e-16,0.04626209168493451,0.0025376388408423598
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.0,32,0.017425804276464153,0.0174258044507222,2.2,0.655,0.3597209983999999,1.8879460937500003,2.537559897270001,2.0,41.257559897270006,93.70240000000003,0.7194419967999998,0.7194419895956633,0.9999999998744586,0.37881857060398405,0.9999999625252616,9.734256687793475e-16,1.0000000364639166,2.777361088022182e-15,18,0.977403576905976,7.756677862503847e-16,0.04600039604362755,0.002539514948838205
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.9,1,0.017182026755907517,0.017182026927727787,2.2,0.655,0.3597209983999999,2.4745000000000004,3.1241138035200007,2.0,41.84411380352001,93.70240000000003,0.7194419967999998,0.7194419895960736,0.999999999876222,0.31878860110016394,0.9999999667485993,2.924099618874428e-15,1.0000000332313683,3.530635774481977e-15,18,0.9779054151811583,6.497413668604472e-16,0.05389787055312211,0.0024824806797753
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.9,2,0.01719444210210512,0.017194442274049544,2.2,0.655,0.3597209983999999,2.4442262500000003,3.0938400535200006,2.0,41.81384005352,93.70240000000003,0.7194419967999998,0.7194419895960528,0.9999999998761321,0.32138882950189274,0.9999999662985359,1.540871972436576e-15,1.0000000331306522,2.4939894443226933e-15,18,0.9778799997094841,5.694967977388553e-16,0.053500434749876265,0.0024853684621217505
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.9,4,0.01720065649256372,0.01720065666457029,2.2,0.655,0.3597209983999999,2.429089375,3.0787031785200005,2.0,41.79870317852001,93.70240000000003,0.7194419967999998,0.7194419895960427,0.9999999998760872,0.3227059669311937,0.9999999669908624,2.4658763189623647e-15,1.0000000339989714,2.325181829424066e-15,18,0.9778672724839264,5.034405433428661e-16,0.05330132769510019,0.002486814595978832
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.9,8,0.017203765369247816,0.01720376554128547,2.2,0.655,0.3597209983999999,2.4215209375,3.0711347410200003,2.0,41.79113474102001,93.70240000000003,0.7194419967999998,0.7194419895960374,0.9999999998760648,0.3233688577469206,0.9999999661239545,2.1810655567030704e-15,1.0000000332204004,1.3586063663551438e-15,18,0.9778609039905028,4.669210529678814e-16,0.053201676528517365,0.00248753822453714
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.9,16,0.01720532022821828,0.017205320400271486,2.2,0.655,0.3597209983999999,2.41773671875,3.0673505222700004,2.0,41.78735052227,93.70240000000003,0.7194419967999998,0.719441989596035,0.9999999998760535,0.3237013933982652,0.9999999665173791,1.0849554746668082e-15,1.0000000336580777,2.9742530861645673e-15,18,0.977857718522601,7.390492082589767e-16,0.053151826279134236,0.0024879001793438435
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,2,0.9,32,0.01720609776289372,0.0172060979349547,2.2,0.655,0.3597209983999999,2.4158446093750006,3.065458412895001,2.0,41.785458412895004,93.70240000000003,0.7194419967999998,0.7194419895960336,0.9999999998760479,0.32386793400791003,0.9999999660409857,2.3332849733356276e-15,1.0000000332038264,8.604228440844964e-16,18,0.9778561254832242,1.1403455171351628e-15,0.05312689512038412,0.002488081191894055
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.0,1,0.20848899654793454,0.20848899863282455,2.2,0.655,0.33202371583332824,2.4745000000000004,3.185047825166678,0.0,3.185047825166678,0.0,0.6640474316666565,0.664047425026182,0.9999999986155341,0.44620386298631504,0.9999999532418613,1.5700924586837752e-16,1.000000046179265,1.1102230246251565e-16,2,0.8702935622647725,1.1102230246251568e-16,0.4672505413838805,0.0029558446033819616
