num_agents,rho,sharing_factor,multiplicative_curvature,iid_second_moment_threshold
16,0.0,0.0625,0.40974685220710355,0.4881062512687992
16,0.9,0.90625,2.8953594707694945,0.06907605152974196
16,1.0,1.0,3.171548041909611,0.06306068751195036
32,0.0,0.03125,0.31771363513278966,0.6294976918960662
32,0.9,0.9031250000000001,2.8861531899954205,0.0692963910208513
32,1.0,1.0,3.171548041909611,0.06306068751195036
