rho,num_agents,max_delay,eta,mean_final_error,median_final_error,upper_99_bootstrap_mean,crossing_rate
0.0,16,8,0.4363488632302189,0.20302856380937767,0.17088800706583798,0.26125830520864524,0.0
0.0,16,32,0.3543562147008278,0.23571697153279747,0.15623017091254632,0.3041299531711239,0.0
0.0,32,8,0.48450346515727244,0.14752115759971426,0.10779552169117569,0.18403322446633558,0.0
0.0,32,32,0.2890855861645199,0.15143371554335636,0.13002061606029688,0.1845074349629683,0.0
0.9,16,8,0.06793567174124356,0.43964579317559904,0.39006352343674155,0.547645334177397,0.0
0.9,16,32,0.06557341714513457,0.46493831602900393,0.37894431431550796,0.5850221492962152,0.0
0.9,32,8,0.06708632967038644,0.45086652349585465,0.37130150613056784,0.5618439802160302,0.0
0.9,32,32,0.061344496040986844,0.5080893753650972,0.39020438982097494,0.6492418678848999,0.0
