seed,seed_index,rho,num_agents,max_delay,policy,grid_index,eta,crossed_threshold,crossing_time,half_error_time,final_error,finite,error_250,error_500,error_1000,error_2000,error_4000
20270130,0,0.0,16,8,joint_aware,,0.4363488632302189,False,-1,2,0.06760554787293901,True,0.181105988463211,0.1843543258990982,0.2729489624738449,0.14105899131667726,0.06760554787293901
20270130,0,0.0,16,8,correlation_blind,,0.4363488632302189,False,-1,2,0.06760554787293901,True,0.181105988463211,0.1843543258990982,0.2729489624738449,0.14105899131667726,0.06760554787293901
20270130,0,0.0,16,8,delay_blind,,0.4373927810905379,False,-1,2,0.06776042796808271,True,0.18140004861865147,0.18502142260937735,0.27392885881914286,0.14130023983846224,0.06776042796808271
20270130,0,0.0,16,8,mean_only,,4.115057114511728,True,117,-1,1000000000000.0,True,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0
20270130,0,0.0,16,8,worstcase_correlation,,0.062108907189348216,False,-1,17,0.01922202768734875,True,0.017291905087179427,0.009709306029630396,0.04670436699567729,0.02372655565627923,0.01922202768734875
20270130,0,0.0,16,8,grid,0.0,0.005,False,-1,280,0.00396971917458665,True,0.5445934933768758,0.3129201135726789,0.15338145624849536,0.04858985471053658,0.00396971917458665
20270130,0,0.0,16,8,grid,1.0,0.007632145998180043,False,-1,190,0.0012297190588824777,True,0.4077181501350685,0.18574296341678612,0.08331530182614819,0.01970174586868704,0.0012297190588824777
20270130,0,0.0,16,8,grid,2.0,0.01164993050750713,False,-1,120,0.0013136260375850592,True,0.269807379407243,0.08900883982970768,0.04450684121292254,0.007952521373059998,0.0013136260375850592
20270130,0,0.0,16,8,grid,3.0,0.01778279410038923,False,-1,77,0.0013494107747274618,True,0.14993451852242745,0.030315728251118924,0.027736417015620646,0.0059254983761921395,0.0013494107747274618
20270130,0,0.0,16,8,grid,4.0,0.027144176165949066,False,-1,43,0.0022546186013658095,True,0.06351087851480958,0.005678776998535897,0.024851410115369267,0.00863657027210529,0.0022546186013658095
20270130,0,0.0,16,8,grid,5.0,0.04143366309976846,False,-1,27,0.006962657358944187,True,0.018769660324483448,0.003824024659147504,0.0321383755367793,0.015008189998441057,0.006962657358944187
20270130,0,0.0,16,8,grid,6.0,0.0632455532033676,False,-1,15,0.019998333954301097,True,0.018111207204745756,0.009967496470079263,0.047469290720291824,0.024152389526961505,0.019998333954301097
20270130,0,0.0,16,8,grid,7.0,0.096539859156753,False,-1,10,0.04215942405283106,True,0.0523873020524279,0.015360884037617005,0.06618938893138909,0.03480689821676419,0.04215942405283106
20270130,0,0.0,16,8,grid,8.0,0.1473612599456155,False,-1,5,0.06232658242341902,True,0.09542380370819566,0.026981155751005976,0.0865050971019075,0.049082762901348276,0.06232658242341902
20270130,0,0.0,16,8,grid,9.0,0.2249365300761397,False,-1,3,0.06604439016037937,True,0.1253250209369367,0.06017434714839387,0.11869326676882432,0.07349533240028758,0.06604439016037937
20270130,0,0.0,16,8,grid,10.0,0.3433496875730229,False,-1,2,0.060440835812199764,True,0.15466020710195708,0.12741969115398902,0.19314512846354587,0.11408919212363135,0.060440835812199764
20270130,0,0.0,16,8,grid,11.0,0.524098988797363,False,-1,2,0.0861283248773226,True,0.2032333046333414,0.24529179304163287,0.3604003319760896,0.15417996926496885,0.0861283248773226
