comparison_policy,rho,num_agents,max_delay,paired_median_error_ratio,lower_99_bootstrap_median_ratio
correlation_blind,0.9,16,8,12.226477150214443,8.192756021096443
correlation_blind,0.9,16,32,17.95971296973302,12.599815179953845
correlation_blind,0.9,32,8,33.95309342267778,22.386657215160895
correlation_blind,0.9,32,32,25.171831959154638,16.84578594149166
delay_blind,0.0,32,32,889.8992464937968,431.3301985070698
delay_blind,0.9,32,32,1.1278116709939607,1.1103484723719228
