rho,num_agents,max_delay,joint_eta,largest_useful_grid_eta,joint_to_useful_grid_ratio,useful_grid_count
0.0,16,8,0.4363488632302189,0.8,0.5454360790377736,13
0.0,16,32,0.3543562147008278,0.524098988797363,0.6761245914897874,12
0.0,32,8,0.48450346515727244,0.8,0.6056293314465905,13
0.0,32,32,0.2890855861645199,0.3433496875730229,0.8419567473846551,11
0.9,16,8,0.06793567174124356,0.096539859156753,0.7037059338457863,8
0.9,16,32,0.06557341714513457,0.096539859156753,0.6792367185730214,8
0.9,32,8,0.06708632967038644,0.096539859156753,0.694908095540698,8
0.9,32,32,0.061344496040986844,0.0632455532033676,0.9699416470235013,7
