seed,seed_index,scenario,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260731,1,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260731,1,clustered_08,4,state_correlation_adaptive,15960,7696,768,2066,True,True
20260731,1,clustered_08,4,correlation_only_adaptive,15976,4568,768,2852,True,True
20260731,1,clustered_08,4,state_oracle,15880,12560,0,830,True,True
20260731,1,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260731,1,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260731,1,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260731,1,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260731,1,balanced_08,4,state_correlation_adaptive,15940,4836,768,2776,True,True
20260731,1,balanced_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260731,1,balanced_08,4,state_oracle,15900,10000,0,1475,True,True
20260731,1,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260731,1,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260731,1,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260731,1,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260731,1,independent,16,state_correlation_adaptive,15924,7708,768,2054,True,True
20260731,1,independent,16,correlation_only_adaptive,15948,5916,768,2508,True,True
20260731,1,independent,16,state_oracle,15840,14080,0,440,True,True
20260731,1,independent,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260731,1,independent,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260731,1,independent,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260731,1,independent,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260731,1,global_08,16,state_correlation_adaptive,15940,4836,768,2776,True,True
20260731,1,global_08,16,correlation_only_adaptive,15968,3552,768,3104,True,True
20260731,1,global_08,16,state_oracle,15880,11360,0,1130,True,True
20260731,1,global_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260731,1,global_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260731,1,global_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260731,1,global_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260731,1,clustered_08,16,state_correlation_adaptive,15990,6602,768,2347,True,True
20260731,1,clustered_08,16,correlation_only_adaptive,15990,6602,768,2347,True,True
20260731,1,clustered_08,16,state_oracle,15900,12400,0,875,True,True
20260731,1,clustered_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260731,1,clustered_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260731,1,clustered_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260731,1,clustered_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260731,1,balanced_08,16,state_correlation_adaptive,15912,6120,768,2448,True,True
20260731,1,balanced_08,16,correlation_only_adaptive,15968,3552,768,3104,True,True
20260731,1,balanced_08,16,state_oracle,15900,10000,0,1475,True,True
20260731,1,balanced_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260731,1,balanced_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260731,1,balanced_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260731,1,balanced_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260732,2,independent,4,state_correlation_adaptive,15926,10082,768,1461,True,True
20260732,2,independent,4,correlation_only_adaptive,15942,9458,768,1621,True,True
20260732,2,independent,4,state_oracle,15840,14080,0,440,True,True
20260732,2,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260732,2,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260732,2,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260732,2,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260732,2,global_08,4,state_correlation_adaptive,15884,7404,768,2120,True,True
20260732,2,global_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260732,2,global_08,4,state_oracle,15880,11360,0,1130,True,True
20260732,2,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260732,2,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260732,2,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260732,2,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260732,2,clustered_08,4,state_correlation_adaptive,15998,7810,768,2047,True,True
20260732,2,clustered_08,4,correlation_only_adaptive,15998,7810,768,2047,True,True
20260732,2,clustered_08,4,state_oracle,15912,11368,0,1136,True,True
20260732,2,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260732,2,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260732,2,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260732,2,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260732,2,balanced_08,4,state_correlation_adaptive,15940,4836,768,2776,True,True
20260732,2,balanced_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260732,2,balanced_08,4,state_oracle,15900,10000,0,1475,True,True
20260732,2,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260732,2,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260732,2,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260732,2,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260732,2,independent,16,state_correlation_adaptive,15832,11620,768,1053,True,True
20260732,2,independent,16,correlation_only_adaptive,15894,9878,768,1504,True,True
20260732,2,independent,16,state_oracle,15840,14080,0,440,True,True
20260732,2,independent,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260732,2,independent,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260732,2,independent,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260732,2,independent,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260732,2,global_08,16,state_correlation_adaptive,15884,7404,768,2120,True,True
20260732,2,global_08,16,correlation_only_adaptive,15968,3552,768,3104,True,True
20260732,2,global_08,16,state_oracle,15880,11360,0,1130,True,True
20260732,2,global_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260732,2,global_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260732,2,global_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260732,2,global_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260732,2,clustered_08,16,state_correlation_adaptive,15998,7810,768,2047,True,True
20260732,2,clustered_08,16,correlation_only_adaptive,15998,7810,768,2047,True,True
20260732,2,clustered_08,16,state_oracle,15900,11800,0,1025,True,True
20260732,2,clustered_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260732,2,clustered_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260732,2,clustered_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
