scenario,rho,num_agents,eta,mean_delay,max_delay,stable,spectral_radius,finite_mse,stationary_mse,squared_bias,finite_variance
heterogeneous,0.0,1,0.007496479365920988,0.0,0,True,0.992503520634079,0.00616244347704116,0.0056259180388105005,0.0005395801673202696,0.005622863309720891
heterogeneous,0.0,2,0.008214865584638874,0.0,0,True,0.9917851344153611,0.0033434758959523018,0.003082713867457182,0.0002615739482106096,0.003081901947741692
heterogeneous,0.0,4,0.008214865584638874,0.0,0,True,0.9917851344153611,0.0018025249220814557,0.001541356933728591,0.0002615739482106096,0.001540950973870846
heterogeneous,0.0,8,0.009002094620638404,0.75,2,True,0.9909359608206323,0.0009612941300527543,0.0008503025984262709,0.00011108671996078672,0.0008502074100919675
heterogeneous,0.0,16,0.009864763668252936,2.375,6,True,0.9898923758775787,0.0005124756098531262,0.00047372163988555847,3.8772512250953665e-05,0.0004737030976021725
heterogeneous,0.0,32,0.009864763668252936,6.65625,16,True,0.98939500069543,0.0002705226772750333,0.0002468814592184639,2.3647153460099624e-05,0.00024687552381493367
heterogeneous,0.1,1,0.006242680759524585,0.0,0,True,0.9937573192404754,0.016971698524487256,0.0150993492550021,0.0019069545854870796,0.015064743939000176
heterogeneous,0.1,2,0.006242680759524585,0.0,0,True,0.9937573192404754,0.014867726626397869,0.012991336439261016,0.0019069545854870796,0.01296077204091079
heterogeneous,0.1,4,0.006242680759524585,0.0,0,True,0.9937573192404754,0.013815740677353175,0.011937330031390475,0.0019069545854870796,0.011908786091866096
heterogeneous,0.1,8,0.006242680759524585,0.75,2,True,0.9937277047500472,0.013283140359698206,0.011458900228606442,0.0018511118802609565,0.011432028479437249
heterogeneous,0.1,16,0.006242680759524585,2.375,6,True,0.9936618541105164,0.013007016835768475,0.011298890966888369,0.0017331197569285463,0.011273897078839929
heterogeneous,0.1,32,0.006242680759524585,6.65625,16,True,0.9934759134744657,0.012870755998091548,0.011450520977451863,0.001441523837378378,0.01142923216071317
heterogeneous,0.3,1,0.005198582049395212,0.0,0,True,0.9948014179506048,0.03566025463905298,0.030410174666911878,0.0054499889849805505,0.030210265654072428
heterogeneous,0.3,2,0.005198582049395212,0.0,0,True,0.9948014179506048,0.034302503131796315,0.02904495031422065,0.0054499889849805505,0.028852514146815764
heterogeneous,0.3,4,0.005198582049395212,0.0,0,True,0.9948014179506048,0.03362362737816798,0.02836233813787503,0.0054499889849805505,0.028173638393187428
heterogeneous,0.3,8,0.005198582049395212,0.75,2,True,0.9947809265821921,0.03327690874445625,0.028121576441218123,0.005339169518620784,0.027937739225835465
heterogeneous,0.3,16,0.005198582049395212,2.375,6,True,0.9947355638751338,0.033096616092675335,0.02817054650722134,0.005102579832702581,0.02799403625997275
heterogeneous,0.3,32,0.005198582049395212,6.65625,16,True,0.9946090420688298,0.03302829532824915,0.028685852009451458,0.004501969559089548,0.028526325769159602
heterogeneous,0.5,1,0.004743968439144176,0.0,0,True,0.9952560315608558,0.05236277436292891,0.04421159347662185,0.008606334538916183,0.04375643982401273
heterogeneous,0.5,2,0.004743968439144176,0.0,0,True,0.9952560315608558,0.05148061445580217,0.04332174482616441,0.008606334538916183,0.042874279916885985
heterogeneous,0.5,4,0.004743968439144176,0.0,0,True,0.9952560315608558,0.05103953450223878,0.042876820500935685,0.008606334538916183,0.0424331999633226
