rho,policy,num_agents,eta,finite_mse,spectral_radius,risk_ratio_to_joint_oracle
0.0,joint_oracle,32,0.009864763668252936,0.0002705226772750333,0.98939500069543,1.0
0.0,delay_only,32,0.009864763668252936,0.0002705226772750333,0.98939500069543,1.0
0.0,single_agent_oracle_eta,1,0.007496479365920988,0.00616244347704116,0.992503520634079,22.779766706123368
0.0,all_agents_oracle_eta,32,0.009864763668252936,0.0002705226772750333,0.98939500069543,1.0
0.1,joint_oracle,32,0.006242680759524585,0.012870755998091548,0.9934759134744657,1.0
0.1,delay_only,32,0.009864763668252936,0.01743226367961264,0.98939500069543,1.3544086829241004
0.1,single_agent_oracle_eta,1,0.006242680759524585,0.016971698524487256,0.9937573192404754,1.318624836567781
0.1,all_agents_oracle_eta,32,0.006242680759524585,0.012870755998091548,0.9934759134744657,1.0
0.3,joint_oracle,32,0.005198582049395212,0.03302829532824915,0.9946090420688298,1.0
0.3,delay_only,32,0.009864763668252936,0.051755745684287875,0.98939500069543,1.5670123198886716
0.3,single_agent_oracle_eta,1,0.005198582049395212,0.03566025463905298,0.9948014179506048,1.0796880155226392
0.3,all_agents_oracle_eta,32,0.005198582049395212,0.03302829532824915,0.9946090420688298,1.0
0.5,joint_oracle,16,0.004743968439144176,0.05071759623220304,0.9952013167516889,1.0
0.5,delay_only,32,0.009864763668252936,0.08607922768896291,0.98939500069543,1.6972260927915797
0.5,single_agent_oracle_eta,1,0.004743968439144176,0.05236277436292891,0.9952560315608558,1.032438014672337
0.5,all_agents_oracle_eta,32,0.004743968439144176,0.05073570597704401,0.9950968106299288,1.0003570702514775
0.7,joint_oracle,32,0.004329110580107935,0.06684188803273675,0.9955390324509341,1.0
0.7,delay_only,32,0.009864763668252936,0.1204027096936383,0.98939500069543,1.8013062353156362
0.7,single_agent_oracle_eta,1,0.004329110580107935,0.06777730745997998,0.995670889419892,1.0139945093529539
0.7,all_agents_oracle_eta,32,0.004329110580107935,0.06684188803273675,0.9955390324509341,1.0
0.9,joint_oracle,32,0.003950531850119864,0.0819491716363232,0.9959402151078036,1.0
0.9,delay_only,32,0.009864763668252936,0.15472619169831317,0.98939500069543,1.8880751154503705
0.9,single_agent_oracle_eta,1,0.003950531850119864,0.08244223499743167,0.9960494681498802,1.0060166973169247
0.9,all_agents_oracle_eta,32,0.003950531850119864,0.0819491716363232,0.9959402151078036,1.0
0.99,joint_oracle,32,0.003950531850119864,0.08842146293684194,0.9959402151078036,1.0
0.99,delay_only,32,0.009864763668252936,0.17017175860041756,0.98939500069543,1.9245526249884437
0.99,single_agent_oracle_eta,1,0.003950531850119864,0.08848630012983116,0.9960494681498802,1.0007332743751993
0.99,all_agents_oracle_eta,32,0.003950531850119864,0.08842146293684194,0.9959402151078036,1.0
