alignment,selection_rule,rho,configured_max_delay,resource,optimal_num_agents,optimal_eta,optimal_horizon,optimal_mse,all_agents_eta,all_agents_horizon,all_agents_mse,optimal_to_all_agents_ratio,selected_stable
sample_time,fastest,0.0,4,message_overhead_0,8,0.005946035575013605,800,0.0006294489972866421,0.021810154653305155,200,0.0006390586536511885,0.9849627944013546,True
sample_time,fastest,0.0,4,message_overhead_16,32,0.03363585661014857,133,0.0008971885805029844,0.03363585661014857,133,0.0008971885805029844,1.0,True
sample_time,fastest,0.0,4,message_overhead_4,32,0.027085110938737847,177,0.0007004573755665953,0.027085110938737847,177,0.0007004573755665953,1.0,True
sample_time,fastest,0.0,4,wallclock,32,0.017562521603732995,303,0.00043863744113624924,0.017562521603732995,303,0.00043863744113624924,1.0,True
sample_time,fastest,0.0,16,message_overhead_0,32,0.021810154653305155,200,0.0006151176507064926,0.021810154653305155,200,0.0006151176507064926,1.0,True
sample_time,fastest,0.0,16,message_overhead_16,32,0.027085110938737847,133,0.0008487582384864238,0.027085110938737847,133,0.0008487582384864238,1.0,True
sample_time,fastest,0.0,16,message_overhead_4,32,0.021810154653305155,177,0.0006762056614100768,0.021810154653305155,177,0.0006762056614100768,1.0,True
sample_time,fastest,0.0,16,wallclock,32,0.027085110938737847,141,0.000809130398822228,0.027085110938737847,141,0.000809130398822228,1.0,True
sample_time,fastest,0.3,4,message_overhead_0,4,0.0025,1600,0.014617352778287148,0.011387886347566916,200,0.06431550720155009,0.2272757133435908,True
sample_time,fastest,0.3,4,message_overhead_16,2,0.007384130729697496,355,0.0447366121795804,0.01414213562373095,133,0.0849089944628098,0.5268771873064056,True
sample_time,fastest,0.3,4,message_overhead_4,1,0.0025,1280,0.01689578973049032,0.011387886347566916,177,0.07046368395252835,0.2397801077484549,True
sample_time,fastest,0.3,4,wallclock,2,0.0038555270635198514,769,0.02459059841303159,0.007384130729697496,303,0.048479929645971406,0.5072325515446581,True
sample_time,fastest,0.3,16,message_overhead_0,4,0.0025,1600,0.014617352778287148,0.011387886347566916,200,0.06428052870601729,0.22739938629221046,True
sample_time,fastest,0.3,16,message_overhead_16,2,0.007384130729697496,355,0.0447366121795804,0.01414213562373095,133,0.08277765317891608,0.5404431082732732,True
sample_time,fastest,0.3,16,message_overhead_4,1,0.0025,1280,0.01689578973049032,0.011387886347566916,177,0.06910167357364834,0.24450623055435614,True
sample_time,fastest,0.3,16,wallclock,2,0.0038555270635198514,769,0.02459059841303159,0.01414213562373095,141,0.07988698822298886,0.3078173174383763,True
sample_time,fastest,0.6,4,message_overhead_0,2,0.0025,3200,0.0282997091258585,0.009170040432046712,200,0.11314574127825247,0.2501173160045215,True
sample_time,fastest,0.6,4,message_overhead_16,1,0.005946035575013605,376,0.07466515815097984,0.011387886347566916,133,0.14831478495488154,0.5034235674730172,True
sample_time,fastest,0.6,4,message_overhead_4,1,0.0025,1280,0.030270988957178134,0.009170040432046712,177,0.12427163977053754,0.2435872658723444,True
sample_time,fastest,0.6,4,wallclock,1,0.0031046445301837096,784,0.04256146075283155,0.007384130729697496,303,0.08608026373113742,0.494439246675263,True
sample_time,fastest,0.6,16,message_overhead_0,2,0.0025,3200,0.0282997091258585,0.009170040432046712,200,0.11247229324982014,0.2516149382941808,True
sample_time,fastest,0.6,16,message_overhead_16,1,0.005946035575013605,376,0.07466515815097984,0.011387886347566916,133,0.14536193476157727,0.5136500024813626,True
sample_time,fastest,0.6,16,message_overhead_4,1,0.0025,1280,0.030270988957178134,0.009170040432046712,177,0.1220840981799781,0.24795193975674223,True
sample_time,fastest,0.6,16,wallclock,1,0.0031046445301837096,784,0.04256146075283155,0.011387886347566916,141,0.14001527615464054,0.30397726535084885,True
sample_time,fastest,0.9,4,message_overhead_0,2,0.0025,3200,0.04198066050519857,0.007384130729697496,200,0.15697473263195535,0.26743578282516894,True
sample_time,fastest,0.9,4,message_overhead_16,1,0.0047880164034928676,376,0.10193384263830793,0.011387886347566916,133,0.1996943168983771,0.5104493919583164,True
sample_time,fastest,0.9,4,message_overhead_4,1,0.0025,1280,0.04364618818386593,0.009170040432046712,177,0.16790353581032577,0.2599479991485788,True
sample_time,fastest,0.9,4,wallclock,1,0.0031046445301837096,784,0.05887150829330743,0.005946035575013605,303,0.11745935959692556,0.5012074686541059,True
sample_time,fastest,0.9,16,message_overhead_0,2,0.0025,3200,0.04198066050519857,0.007384130729697496,200,0.15491455455517278,0.27099235850203585,True
sample_time,fastest,0.9,16,message_overhead_16,1,0.0047880164034928676,376,0.10193384263830793,0.011387886347566916,133,0.19956035696895597,0.5107920440038348,True
sample_time,fastest,0.9,16,message_overhead_4,1,0.0025,1280,0.04364618818386593,0.009170040432046712,177,0.16760395092336225,0.26041264506839323,True
sample_time,fastest,0.9,16,wallclock,1,0.0031046445301837096,784,0.05887150829330743,0.009170040432046712,141,0.19255883761515535,0.3057325699637166,True
sample_time,uniform_rank,0.0,4,message_overhead_0,8,0.005946035575013605,800,0.000628463342586296,0.021810154653305155,200,0.0006390586536511885,0.9834204403549544,True
sample_time,uniform_rank,0.0,4,message_overhead_16,32,0.03363585661014857,133,0.0008971885805029844,0.03363585661014857,133,0.0008971885805029844,1.0,True
sample_time,uniform_rank,0.0,4,message_overhead_4,32,0.027085110938737847,177,0.0007004573755665953,0.027085110938737847,177,0.0007004573755665953,1.0,True
sample_time,uniform_rank,0.0,4,wallclock,32,0.017562521603732995,303,0.00043863744113624924,0.017562521603732995,303,0.00043863744113624924,1.0,True
sample_time,uniform_rank,0.0,16,message_overhead_0,32,0.021810154653305155,200,0.0006151176507064926,0.021810154653305155,200,0.0006151176507064926,1.0,True
sample_time,uniform_rank,0.0,16,message_overhead_16,32,0.027085110938737847,133,0.0008487582384864238,0.027085110938737847,133,0.0008487582384864238,1.0,True
sample_time,uniform_rank,0.0,16,message_overhead_4,32,0.021810154653305155,177,0.0006762056614100768,0.021810154653305155,177,0.0006762056614100768,1.0,True
sample_time,uniform_rank,0.0,16,wallclock,32,0.027085110938737847,141,0.000809130398822228,0.027085110938737847,141,0.000809130398822228,1.0,True
sample_time,uniform_rank,0.3,4,message_overhead_0,4,0.0025,1600,0.014654507757242535,0.011387886347566916,200,0.06431550720155009,0.22785341195115913,True
