persistence,rho,num_agents,homogeneous_delay,curvature,monotonicity,stationary_mean_boundary,mixing_inflation,iid_eta,gap_eta,iid_rule_radius,iid_rule_residual,gap_rule_radius,gap_rule_residual,markov_boundary,markov_below_radius,markov_below_residual,markov_above_radius,markov_above_residual,markov_operator_dimension,iid_boundary,iid_below_radius,iid_below_residual,iid_above_radius,iid_above_residual,markov_mean_boundary,markov_mean_below_radius,markov_mean_below_residual,markov_mean_above_radius,markov_mean_above_residual,markov_to_iid_ratio,iid_to_markov_ratio,gap_to_markov_ratio,ms_to_markov_mean_ratio,required_inflation,required_to_gap_inflation
0.5,0.0,1,0,2.4745000000000004,0.655,3.0534351144731042,1.0,0.4511757260564496,0.4511757260564496,0.9126678701600066,0.0,0.9126678701600066,0.0,0.5293998795191626,0.9999999305377913,1.1102230246251565e-16,1.0000000714423565,0.0,2,0.5293998795191626,0.9999999305377913,0.0,1.0000000714423565,0.0,3.053435116136549,0.9999997996761155,1.1102230246251565e-16,1.0000002024627643,1.1102230246251565e-16,1.0,0.852239948498361,0.852239948498361,0.17337846044981683,0.8266215382756379,0.8266215382756379
0.9,0.0,1,0,2.4745000000000004,0.655,3.0534351144731042,9.000000000000002,0.4511757260564496,0.057710458699014644,1.4902858210142342,2.7755575615628914e-17,0.9904732471732306,0.0,0.0722795209980075,0.9999999939193213,5.551115123125784e-17,1.000000005726174,1.1102230246251565e-16,2,0.5293998795191626,0.9999999305377913,0.0,1.0000000714423565,0.0,0.16197235372853935,0.9999999943516431,1.1102230246251565e-16,1.000000005854315,0.0,0.13653104920170503,6.242096237313015,0.7984344376134636,0.44624603726599993,7.150962811665747,0.7945514235184161
0.98,0.0,1,0,2.4745000000000004,0.655,3.0534351144731042,48.99999999999996,0.4511757260564496,0.010765985485232247,1.6205176627490707,0.0,0.9984020813670881,5.551115123125783e-17,0.013230684215261138,0.9999999989767736,1.2412670766236366e-16,1.0000000017776567,1.2412670766236366e-16,2,0.5293998795191626,0.9999999305377913,0.0,1.0000000714423565,0.0,0.026995392889680045,0.9999999990283734,0.0,1.0000000014298227,0.0,0.02499185346864483,34.100710040077445,0.8137134338686773,0.49010897042061724,39.83966018155534,0.8130542894194974
0.5,0.9,1,0,2.4745000000000004,0.655,3.0534351144731042,1.0,0.4511757260564496,0.4511757260564496,0.9126678701600066,0.0,0.9126678701600066,0.0,0.5293998795191626,0.9999999305377913,1.1102230246251565e-16,1.0000000714423565,0.0,2,0.5293998795191626,0.9999999305377913,0.0,1.0000000714423565,0.0,3.053435116136549,0.9999997996761155,1.1102230246251565e-16,1.0000002024627643,1.1102230246251565e-16,1.0,0.852239948498361,0.852239948498361,0.17337846044981683,0.8266215382756379,0.8266215382756379
0.9,0.9,1,0,2.4745000000000004,0.655,3.0534351144731042,9.000000000000002,0.4511757260564496,0.057710458699014644,1.4902858210142342,2.7755575615628914e-17,0.9904732471732306,0.0,0.0722795209980075,0.9999999939193213,5.551115123125784e-17,1.000000005726174,1.1102230246251565e-16,2,0.5293998795191626,0.9999999305377913,0.0,1.0000000714423565,0.0,0.16197235372853935,0.9999999943516431,1.1102230246251565e-16,1.000000005854315,0.0,0.13653104920170503,6.242096237313015,0.7984344376134636,0.44624603726599993,7.150962811665747,0.7945514235184161
0.98,0.9,1,0,2.4745000000000004,0.655,3.0534351144731042,48.99999999999996,0.4511757260564496,0.010765985485232247,1.6205176627490707,0.0,0.9984020813670881,5.551115123125783e-17,0.013230684215261138,0.9999999989767736,1.2412670766236366e-16,1.0000000017776567,1.2412670766236366e-16,2,0.5293998795191626,0.9999999305377913,0.0,1.0000000714423565,0.0,0.026995392889680045,0.9999999990283734,0.0,1.0000000014298227,0.0,0.02499185346864483,34.100710040077445,0.8137134338686773,0.49010897042061724,39.83966018155534,0.8130542894194974
0.5,0.0,1,2,2.4745000000000004,0.655,0.9435633416101334,1.0,0.3391274892303893,0.3391274892303893,0.9911793408881558,2.149041648419265e-15,0.9911793408881558,2.149041648419265e-15,0.3476880203692999,0.9999999634007817,6.678662853596398e-16,1.000000036651934,1.2031329711222475e-15,18,0.3476880203692999,0.9999999634007802,1.1801832636420708e-15,1.0000000366519364,1.822592650067235e-15,0.9435633419479682,0.9999999708786751,6.758924343478425e-16,1.0000000293335025,4.365498118535051e-16,1.0,0.9753786997613034,0.9753786997613034,0.3684840274225838,0.961564562663607,0.961564562663607
0.9,0.0,1,2,2.4745000000000004,0.655,0.9435633416101334,9.000000000000002,0.3391274892303893,0.055370390994183,1.2160449573134764,3.124197970384481e-15,0.9835628089225548,9.18873053048877e-16,0.0841990124649947,0.9999999934873856,1.6744458226646027e-15,1.0000000057760041,1.4798563916011334e-15,18,0.3476880203692999,0.9999999634007802,1.1801832636420708e-15,1.0000000366519364,1.822592650067235e-15,0.25308180252946455,0.9999999934885095,9.01548991891191e-16,1.0000000066680133,8.800093355403156e-16,0.24216828746518781,4.027689628442849,0.657613306536142,0.33269485053233727,5.726418745552916,0.6362687495058794
0.98,0.0,1,2,2.4745000000000004,0.655,0.9435633416101334,48.99999999999996,0.3391274892303893,0.010681769737639435,1.2992544870119165,3.0016631660347214e-15,0.9980791522037725,6.415381743244531e-16,0.013753246753955738,0.9999999989217129,1.2368371577644253e-15,1.0000000017378605,3.682193206295148e-16,18,0.3476880203692999,0.9999999634007802,1.1801832636420708e-15,1.0000000366519364,1.822592650067235e-15,0.029291874580526976,0.9999999985425844,8.976686965309748e-16,1.0000000010011714,1.509301142324229e-15,0.03955628594665875,24.657994966377576,0.7766725871159929,0.46952429473731244,37.93165568915717,0.774115422227698
0.5,0.9,1,2,2.4745000000000004,0.655,0.9435633416101334,1.0,0.3391274892303893,0.3391274892303893,0.9911793408881558,2.149041648419265e-15,0.9911793408881558,2.149041648419265e-15,0.3476880203692999,0.9999999634007817,6.678662853596398e-16,1.000000036651934,1.2031329711222475e-15,18,0.3476880203692999,0.9999999634007802,1.1801832636420708e-15,1.0000000366519364,1.822592650067235e-15,0.9435633419479682,0.9999999708786751,6.758924343478425e-16,1.0000000293335025,4.365498118535051e-16,1.0,0.9753786997613034,0.9753786997613034,0.3684840274225838,0.961564562663607,0.961564562663607
0.9,0.9,1,2,2.4745000000000004,0.655,0.9435633416101334,9.000000000000002,0.3391274892303893,0.055370390994183,1.2160449573134764,3.124197970384481e-15,0.9835628089225548,9.18873053048877e-16,0.0841990124649947,0.9999999934873856,1.6744458226646027e-15,1.0000000057760041,1.4798563916011334e-15,18,0.3476880203692999,0.9999999634007802,1.1801832636420708e-15,1.0000000366519364,1.822592650067235e-15,0.25308180252946455,0.9999999934885095,9.01548991891191e-16,1.0000000066680133,8.800093355403156e-16,0.24216828746518781,4.027689628442849,0.657613306536142,0.33269485053233727,5.726418745552916,0.6362687495058794
0.98,0.9,1,2,2.4745000000000004,0.655,0.9435633416101334,48.99999999999996,0.3391274892303893,0.010681769737639435,1.2992544870119165,3.0016631660347214e-15,0.9980791522037725,6.415381743244531e-16,0.013753246753955738,0.9999999989217129,1.2368371577644253e-15,1.0000000017378605,3.682193206295148e-16,18,0.3476880203692999,0.9999999634007802,1.1801832636420708e-15,1.0000000366519364,1.822592650067235e-15,0.029291874580526976,0.9999999985425844,8.976686965309748e-16,1.0000000010011714,1.509301142324229e-15,0.03955628594665875,24.657994966377576,0.7766725871159929,0.46952429473731244,37.93165568915717,0.774115422227698
0.5,0.0,2,0,2.1717625000000003,0.655,3.0534351144731042,1.0,0.5036935928051893,0.5036935928051893,0.8911532533172623,1.5700924586837754e-16,0.8911532533172623,1.5700924586837754e-16,0.6031967124671793,0.9999999199087245,0.0,1.0000000804043538,1.5700924586837754e-16,2,0.6031967124671793,0.9999999199087247,0.0,1.0000000804043538,0.0,3.053435114044081,0.9999997981433637,2.482534153247273e-16,1.0000002012543843,1.5700924586837754e-16,1.0,0.8350403481892251,0.8350403481892251,0.19754692336274457,0.8024530765060509,0.8024530765060509
