scenario_id,family,matrix_name,rho,delay,markov_lambda,step_size,q,stride,updates,binding,risk,bias_risk,noise_risk,spectral_radius,fixed_sequence_minimax_risk,scalar_reference_risk
speedup-0-scalar-D0-L0.9-E0.04,speedup,scalar,0.0,0,0.9,0.04,4,4,24,environment,0.018642051777469363,0.0,0.018642051777469363,0.96,0.010416666666666666,0.018642051777469353
speedup-0-scalar-D0-L0.9-E0.04,speedup,scalar,0.0,0,0.9,0.04,16,1,96,environment,0.01746641061486779,0.0,0.01746641061486779,0.96,0.0006510416666666666,0.017466410614867752
speedup-0-scalar-D0-L0.9-E0.04,speedup,scalar,0.0,0,0.9,0.04,16,4,24,environment,0.004660512944367341,0.0,0.004660512944367341,0.96,0.0026041666666666665,0.004660512944367338
speedup-0-scalar-D0-L0.9-E0.08,speedup,scalar,0.0,0,0.9,0.08,1,1,96,environment,0.4428290798747755,0.0,0.4428290798747755,0.92,0.010416666666666666,0.44282907987477593
speedup-0-scalar-D0-L0.9-E0.08,speedup,scalar,0.0,0,0.9,0.08,1,4,24,environment,0.16401824830988956,0.0,0.16401824830988956,0.92,0.041666666666666664,0.16401824830988956
speedup-0-scalar-D0-L0.9-E0.08,speedup,scalar,0.0,0,0.9,0.08,4,1,96,environment,0.11070726996869387,0.0,0.11070726996869387,0.92,0.0026041666666666665,0.11070726996869398
speedup-0-scalar-D0-L0.9-E0.08,speedup,scalar,0.0,0,0.9,0.08,4,4,24,environment,0.04100456207747239,0.0,0.04100456207747239,0.92,0.010416666666666666,0.04100456207747239
speedup-0-scalar-D0-L0.9-E0.08,speedup,scalar,0.0,0,0.9,0.08,16,1,96,environment,0.027676817492173468,0.0,0.027676817492173468,0.92,0.0006510416666666666,0.027676817492173496
speedup-0-scalar-D0-L0.9-E0.08,speedup,scalar,0.0,0,0.9,0.08,16,4,24,environment,0.010251140519368098,0.0,0.010251140519368098,0.92,0.0026041666666666665,0.010251140519368098
speedup-0-scalar-D1-L0-E0.04,speedup,scalar,0.0,1,0.0,0.04,1,1,95,environment,0.021235343918349026,0.0,0.021235343918349026,0.9582575694955839,0.010526315789473684,0.021235343918349026
speedup-0-scalar-D1-L0-E0.04,speedup,scalar,0.0,1,0.0,0.04,1,4,23,environment,0.01823200288804033,0.0,0.01823200288804033,0.9582575694955839,0.043478260869565216,0.01823200288804033
speedup-0-scalar-D1-L0-E0.04,speedup,scalar,0.0,1,0.0,0.04,4,1,95,environment,0.005308835979587256,0.0,0.005308835979587256,0.9582575694955839,0.002631578947368421,0.005308835979587256
speedup-0-scalar-D1-L0-E0.04,speedup,scalar,0.0,1,0.0,0.04,4,4,23,environment,0.004558000722010082,0.0,0.004558000722010082,0.9582575694955839,0.010869565217391304,0.004558000722010082
speedup-0-scalar-D1-L0-E0.04,speedup,scalar,0.0,1,0.0,0.04,16,1,95,environment,0.001327208994896814,0.0,0.001327208994896814,0.9582575694955839,0.0006578947368421052,0.001327208994896814
speedup-0-scalar-D1-L0-E0.04,speedup,scalar,0.0,1,0.0,0.04,16,4,23,environment,0.0011395001805025206,0.0,0.0011395001805025206,0.9582575694955839,0.002717391304347826,0.0011395001805025206
speedup-0-scalar-D1-L0-E0.08,speedup,scalar,0.0,1,0.0,0.08,1,1,95,environment,0.04515050042323534,0.0,0.04515050042323534,0.912310562561766,0.010526315789473684,0.04515050042323534
speedup-0-scalar-D1-L0-E0.08,speedup,scalar,0.0,1,0.0,0.08,1,4,23,environment,0.044464989609966296,0.0,0.044464989609966296,0.912310562561766,0.043478260869565216,0.044464989609966296
speedup-0-scalar-D1-L0-E0.08,speedup,scalar,0.0,1,0.0,0.08,4,1,95,environment,0.011287625105808835,0.0,0.011287625105808835,0.912310562561766,0.002631578947368421,0.011287625105808835
speedup-0-scalar-D1-L0-E0.08,speedup,scalar,0.0,1,0.0,0.08,4,4,23,environment,0.011116247402491574,0.0,0.011116247402491574,0.912310562561766,0.010869565217391304,0.011116247402491574
speedup-0-scalar-D1-L0-E0.08,speedup,scalar,0.0,1,0.0,0.08,16,1,95,environment,0.0028219062764522087,0.0,0.0028219062764522087,0.912310562561766,0.0006578947368421052,0.0028219062764522087
speedup-0-scalar-D1-L0-E0.08,speedup,scalar,0.0,1,0.0,0.08,16,4,23,environment,0.0027790618506228935,0.0,0.0027790618506228935,0.912310562561766,0.002717391304347826,0.0027790618506228935
speedup-0-scalar-D1-L0.6-E0.04,speedup,scalar,0.0,1,0.6,0.04,1,1,95,environment,0.07888263182572273,0.0,0.07888263182572273,0.9582575694955839,0.010526315789473684,0.07888263182572283
