alignment,seed_index,policy,finite,independent_mse,high_all_mse,high_adapted_mse,partial_mse,final_window_mse,full_mse
server_time,0,adaptive_joint,True,0.02919402394959975,0.11116693707165594,0.0514754956659761,0.02409280180156856,0.07074410961866669,0.0548179209409414
server_time,1,adaptive_joint,True,0.028740370241211847,0.057210458058545514,0.06806464935712668,0.011043044058139778,0.014271935162939833,0.0323312907859657
server_time,2,adaptive_joint,True,0.029252200968245278,0.008949539335602252,0.009837659643916752,0.015117959012319365,0.026907406662038093,0.017773233105388964
server_time,3,adaptive_joint,True,0.029462100015109266,0.007053819907598918,0.00424945611856617,0.003846936707940704,0.011134563163639855,0.013454285543549629
server_time,4,adaptive_joint,True,0.028516137165279273,0.004610052577151248,0.005768199755259513,0.005332674086663155,0.017303573947598915,0.012819621276364558
server_time,5,adaptive_joint,True,0.029599752242817558,0.10044860707304369,0.13294894767513804,0.012572925602561322,0.0022471063594894543,0.04754042830614086
server_time,6,adaptive_joint,True,0.028842354788652012,0.020723145398389698,0.027380250155701138,0.010452826844819069,0.01589381439890313,0.020006109010620256
server_time,7,adaptive_joint,True,0.02812292766074315,0.12643783845622278,0.16587035384185864,0.022257632804280267,0.002509465760551687,0.05893946630708206
server_time,8,adaptive_joint,True,0.031043166018400938,0.0793363051564154,0.1029029811726153,0.03069467109088753,0.0018836331456066392,0.04702471408856796
server_time,9,adaptive_joint,True,0.028771517941231388,0.006142578101520608,0.0077219315550542626,0.0020589622736844515,0.0007575232554166292,0.012324352772145481
server_time,10,adaptive_joint,True,0.031333688991022714,0.04750860475774523,0.06239134068302866,0.029282925964288355,0.023708346723572853,0.0360417399043521
server_time,11,adaptive_joint,True,0.031386373090668274,0.07961600206492322,0.0895970884089155,0.00929506642240528,0.0011340709406204407,0.0400991471926656
server_time,12,adaptive_joint,True,0.027771642384708986,0.01126412694517453,0.006503196204802697,0.032256846353184404,0.022513807141693237,0.023764205227689305
server_time,13,adaptive_joint,True,0.03033889339299891,0.014277493832525944,0.018411113287188304,0.01299783886757445,0.014095400535123122,0.019204742031033104
server_time,14,adaptive_joint,True,0.028179349823184315,0.02706205203652207,0.024373883387173348,0.038588966426421664,0.11974407712710838,0.03127678942870935
server_time,15,adaptive_joint,True,0.02594817693600074,0.08560266575820102,0.10821529183111428,0.022653201559774162,0.014388359805979292,0.04473468141799197
server_time,16,adaptive_joint,True,0.02832604186845138,0.022258038201901566,0.026980929693296785,0.011642492212042166,0.012696608287196093,0.02074219076079837
server_time,17,adaptive_joint,True,0.030011978139146876,0.004261598140395605,0.004964962859946303,0.004923569591693549,0.0030497644024209515,0.01306571529041201
server_time,18,adaptive_joint,True,0.028530436464615613,0.027075862265354318,0.03527946720253495,0.019211835594933988,0.03954504762775709,0.02493937810830131
server_time,19,adaptive_joint,True,0.02923803501412152,0.07894265649146293,0.10173474203185014,0.029986491077181474,0.020424739636933868,0.046055727527588644
server_time,20,adaptive_joint,True,0.029763182689136268,0.0505118899340501,0.05978657332129075,0.03255499138943064,0.04283933373795433,0.037610021337539
server_time,21,adaptive_joint,True,0.02998569236340006,0.04708346140722353,0.0561085592825691,0.014072084080429547,0.022812206220547405,0.03038041261701771
server_time,22,adaptive_joint,True,0.03040933294470716,0.03062511975007547,0.038969128957524996,0.05074156012735541,0.145999806040056,0.037258670940712675
server_time,23,adaptive_joint,True,0.02981364965612836,0.020147138599818072,0.02207446671019977,0.0027803165247254945,0.0005891810940485791,0.017580368260223977
server_time,24,adaptive_joint,True,0.03230407318541944,0.006982529329131465,0.008167348768992054,0.028385242359483923,0.01980718414647693,0.022557281624678276
server_time,25,adaptive_joint,True,0.03182279926608856,0.04230238942585057,0.0493507590764658,0.025547981895273922,0.0008433894643393541,0.03322439019573769
server_time,26,adaptive_joint,True,0.029918363565315086,0.018311396850027892,0.017636739753294887,0.036565134377966796,0.03507180445238352,0.028264964931103254
server_time,27,adaptive_joint,True,0.028753112566512452,0.12088562828780225,0.1600969502562227,0.016162652638854323,0.011934163545281129,0.05526713116438967
server_time,28,adaptive_joint,True,0.028182817006102593,0.05111290717676233,0.06237655214206028,0.02606793819893793,0.03717390716743064,0.03512122079393429
server_time,29,adaptive_joint,True,0.028522402411200944,0.006033606332193947,0.0028411979685475566,0.031100961424336538,0.07056379477432355,0.021885656722577144
server_time,30,adaptive_joint,True,0.031053634896436706,0.059342611299230186,0.04446178667248643,0.04422927459710807,0.015623347876139233,0.044875173597591654
server_time,31,adaptive_joint,True,0.030852298285915184,0.02397477363054307,0.01575112287029352,0.02277330370661691,0.0038949377599346285,0.02586679187435839
server_time,32,adaptive_joint,True,0.031788966839413735,0.016534289971141904,0.02100794054602728,0.0334833464014645,0.0015951347573679342,0.027268867737340045
server_time,33,adaptive_joint,True,0.029208980913190977,0.013145208703501877,0.014705905335883897,0.01219096576746236,0.00575421649071112,0.01818171846138507
server_time,34,adaptive_joint,True,0.028578204795891012,0.018217867287075633,0.01929217842019012,0.03601579057654435,0.021672046069776144,0.027603954219837
server_time,35,adaptive_joint,True,0.02918464650641114,0.08065283945051245,0.092686220180773,0.013433244034986335,0.01948039170322948,0.041090243330636635
server_time,36,adaptive_joint,True,0.03142389046991856,0.11842798463239217,0.15717165789257165,0.04359888177162219,0.0465538637277254,0.0644835856246443
server_time,37,adaptive_joint,True,0.02892439910484665,0.05612976515985179,0.07291895283116974,0.011997818606511213,0.020578146416488828,0.032350660957069885
server_time,38,adaptive_joint,True,0.028621098695178655,0.045250120606208616,0.059244840734133296,0.027009012633668866,0.006489440256962666,0.033626743978352046
server_time,39,adaptive_joint,True,0.028897817827280358,0.03371307651945314,0.041283798410620645,0.00994579865768416,0.007607505762930975,0.024185564334805888
server_time,40,adaptive_joint,True,0.02889129114733676,0.015095002409670474,0.018526658227631342,0.014132662587899976,0.0016918005641116175,0.019372985381635736
server_time,41,adaptive_joint,True,0.029337866907837355,0.044947810596948835,0.05748005236337644,0.0029338123810796883,0.0011913998747081957,0.025739829961955295
server_time,42,adaptive_joint,True,0.029360566248038907,0.012207019259050265,0.015138669487515605,0.007926497514403722,0.014352309367008232,0.01649802767383097
server_time,43,adaptive_joint,True,0.030893935296178534,0.04955674384402263,0.054448219830261844,0.004613418593354117,0.013083999710167741,0.02835469924451843
server_time,44,adaptive_joint,True,0.029503976014768743,0.06147670354426899,0.04909803245107956,0.04547391227570286,0.007433232791449087,0.04548486394491353
server_time,45,adaptive_joint,True,0.030511795586901192,0.01901382851100327,0.017245698994482236,0.05423630583498611,0.060369213961081185,0.03458730997763019
server_time,46,adaptive_joint,True,0.029210077688941606,0.11698879485088114,0.14005136413771296,0.001285035631670564,0.0015726436383868433,0.0491613027238311
server_time,47,adaptive_joint,True,0.027219945728536837,0.03558516587157774,0.04593015492212003,0.04216746164664844,0.0009134309479660864,0.03499085774892101
server_time,48,adaptive_joint,True,0.028532963820777503,0.036241750202767646,0.040764172489573515,0.002342735371661894,0.002327110167566071,0.022372483131735676
server_time,49,adaptive_joint,True,0.029520210679612902,0.023319970613826336,0.02453128138165262,0.018176451016533975,0.005595743334997,0.023672210769991067
server_time,50,adaptive_joint,True,0.029945683614728158,0.02943806882652895,0.03395421924868232,0.0035300157291124046,0.0020215929864396175,0.020971256056789837
server_time,51,adaptive_joint,True,0.030183142121741648,0.003143526330772681,0.0030417267858433585,0.01887983044137249,0.04079870491080442,0.017402166297962273
server_time,52,adaptive_joint,True,0.02892363220879777,0.022645485742750004,0.01773557239440007,0.006016743305866099,0.003945884574919028,0.019195287085804626
server_time,53,adaptive_joint,True,0.03143886566022225,0.011837984102364876,0.015537987364526726,0.018886153713888493,0.03996195226300045,0.020721001158825206
server_time,54,adaptive_joint,True,0.025755411818483887,0.03848912497890175,0.05026318203271734,0.06275163858576818,0.010755501702418332,0.042332058461051265
server_time,55,adaptive_joint,True,0.027149347823867048,0.017978646679588626,0.02288617514883028,0.008718330050426997,0.015184795087672903,0.01794877485129422
server_time,56,adaptive_joint,True,0.0315965605448297,0.005235235924295737,0.005534164819837506,0.014034751344644318,0.036704397720500506,0.01695551593792325
server_time,57,adaptive_joint,True,0.029579270522163793,0.01785317616532259,0.017913093761007085,0.020580568757652948,0.009365801922193415,0.022671005148379778
server_time,58,adaptive_joint,True,0.028944252957511445,0.017466314121422258,0.017563246474319567,0.006425236325852262,0.011718828377903395,0.01761193446826199
server_time,59,adaptive_joint,True,0.029980658743797364,0.1609347103547015,0.12667451093503077,0.011490777606949562,0.025038572062439153,0.0674687155684828
server_time,60,adaptive_joint,True,0.028787950813647822,0.07173702922616026,0.07857554098075925,0.05414139279078408,0.00923857904516861,0.05155545761019739
