alignment,policy,step,mean_mse,standard_error
server_time,adaptive_joint,0,1.0,0.0
server_time,adaptive_joint,5,0.8105101101453234,0.0020723073403108175
server_time,adaptive_joint,10,0.6585197337103149,0.002316697241930479
server_time,adaptive_joint,15,0.535065617338374,0.002346757895034434
server_time,adaptive_joint,20,0.433432806618336,0.002351387790666701
server_time,adaptive_joint,25,0.3503017151394376,0.0024627017661546188
server_time,adaptive_joint,30,0.284032653653044,0.002530342588337469
server_time,adaptive_joint,35,0.23289431354173423,0.002353306422510495
server_time,adaptive_joint,40,0.18960378739072423,0.002327429981361307
server_time,adaptive_joint,45,0.15456022129108613,0.0021963646864368576
server_time,adaptive_joint,50,0.12619536940636006,0.001965055404384658
server_time,adaptive_joint,55,0.1018778215672273,0.0019216490479147287
server_time,adaptive_joint,60,0.08241375137478328,0.0016628651062928958
server_time,adaptive_joint,65,0.06670986249104251,0.0014711645714644444
server_time,adaptive_joint,70,0.054663468196123215,0.0013966501335541583
server_time,adaptive_joint,75,0.04391286875770316,0.0012927733264458574
server_time,adaptive_joint,80,0.03491577261922829,0.0009988857142904405
server_time,adaptive_joint,85,0.028591937494064194,0.001033371229011363
server_time,adaptive_joint,90,0.023230870561468973,0.0008918742291632379
server_time,adaptive_joint,95,0.018852649561624364,0.0007758671582502058
server_time,adaptive_joint,100,0.015268790591705125,0.0006458788639781832
server_time,adaptive_joint,105,0.012533405394793869,0.0006097822334400255
server_time,adaptive_joint,110,0.010473748960700129,0.000563997704908667
server_time,adaptive_joint,115,0.008257882504849937,0.0005036627505663749
server_time,adaptive_joint,120,0.006555611983410797,0.0003976464920656146
server_time,adaptive_joint,125,0.00535834125741383,0.0003276639882538156
server_time,adaptive_joint,130,0.0044006596122303215,0.00030352646674680606
server_time,adaptive_joint,135,0.003775795544062729,0.0003016143714526722
server_time,adaptive_joint,140,0.002942036187912618,0.00026662040583831686
server_time,adaptive_joint,145,0.0024706746995949765,0.00022313036084210968
server_time,adaptive_joint,150,0.0020416008936522565,0.0002027433556906759
server_time,adaptive_joint,155,0.0017644315935645507,0.00020724453242409544
server_time,adaptive_joint,160,0.0015102721939371964,0.0001906613871347828
server_time,adaptive_joint,165,0.0012425336260875228,0.00016295711762271076
server_time,adaptive_joint,170,0.0011185036821237243,0.00014604961100152884
server_time,adaptive_joint,175,0.0009157708962119647,0.00013005848182459474
server_time,adaptive_joint,180,0.0007412510765106796,0.0001088914419728526
server_time,adaptive_joint,185,0.0006934225293521618,9.731925203573098e-05
server_time,adaptive_joint,190,0.0005854704278428557,7.924885610653523e-05
server_time,adaptive_joint,195,0.0006242603430613797,9.708349093853706e-05
server_time,adaptive_joint,200,0.000707024585282839,0.00011547349965270937
server_time,adaptive_joint,205,0.0006668514904282719,0.00011040152718225896
server_time,adaptive_joint,210,0.0006364934872878652,0.00010556245207974162
server_time,adaptive_joint,215,0.0006030550954105456,9.884660013268851e-05
server_time,adaptive_joint,220,0.0005879168090775488,9.922765888397749e-05
server_time,adaptive_joint,225,0.0005758338833214434,9.84476484394746e-05
server_time,adaptive_joint,230,0.0005541950337113779,0.000106401994419567
server_time,adaptive_joint,235,0.0004811601847955782,8.927515393227121e-05
server_time,adaptive_joint,240,0.0004113856624729522,7.441196346201049e-05
server_time,adaptive_joint,245,0.0003905335404640087,7.003705857448461e-05
server_time,adaptive_joint,250,0.00037593988170847814,6.828760469922624e-05
server_time,adaptive_joint,255,0.00034751986454932576,5.978319368724286e-05
server_time,adaptive_joint,260,0.00032508323988755545,5.373430081805273e-05
server_time,adaptive_joint,265,0.0002964791314869697,4.992493278050793e-05
server_time,adaptive_joint,270,0.00029176031620402625,5.119574051189822e-05
server_time,adaptive_joint,275,0.0002848651215074044,4.7610749935685024e-05
server_time,adaptive_joint,280,0.00026703226413845574,4.4506335261979464e-05
server_time,adaptive_joint,285,0.00024880692787435517,4.202577469083296e-05
server_time,adaptive_joint,290,0.00022325920402633702,3.6324175610116055e-05
server_time,adaptive_joint,295,0.00021343059854609072,3.5381541852063136e-05
server_time,adaptive_joint,300,0.000201442935006662,3.390081455004825e-05
server_time,adaptive_joint,305,0.00019018670290713661,3.3346606881870084e-05
server_time,adaptive_joint,310,0.0001839804369347941,2.972725617643002e-05
server_time,adaptive_joint,315,0.00019315859691286757,3.5068353660181466e-05
server_time,adaptive_joint,320,0.00019761648479860468,3.8347660085232036e-05
server_time,adaptive_joint,325,0.00019145844127003913,3.580342240944211e-05
server_time,adaptive_joint,330,0.0001874971847580183,3.213993365438305e-05
server_time,adaptive_joint,335,0.0001638122653876738,2.637860061848187e-05
server_time,adaptive_joint,340,0.0001750562948940166,2.919607171788081e-05
server_time,adaptive_joint,345,0.00018469313763370013,3.520387408130039e-05
server_time,adaptive_joint,350,0.00022345064751760682,4.6114658872852435e-05
server_time,adaptive_joint,355,0.00021770064225093007,4.425948654820495e-05
server_time,adaptive_joint,360,0.00019550649341509198,4.1465882347465996e-05
server_time,adaptive_joint,365,0.00018119634484197304,3.521969366127045e-05
server_time,adaptive_joint,370,0.00017982963916541577,3.169372723050992e-05
server_time,adaptive_joint,375,0.00017944767488582627,3.8184343117493686e-05
server_time,adaptive_joint,380,0.00016994220698312825,3.484959984200327e-05
server_time,adaptive_joint,385,0.00014619004432503866,2.9131754109587075e-05
server_time,adaptive_joint,390,0.0001472333641729344,2.787232866446108e-05
server_time,adaptive_joint,395,0.00014916521828541452,2.701528690539412e-05
server_time,adaptive_joint,400,0.00013421595560221837,2.5395093695229143e-05
server_time,adaptive_joint,405,0.0001333693866683144,2.6670997729226454e-05
server_time,adaptive_joint,410,0.00012971002772220596,2.675336933963278e-05
server_time,adaptive_joint,415,0.0001338036053037884,2.7604163290582108e-05
server_time,adaptive_joint,420,0.000129909267167306,2.8729675282487353e-05
server_time,adaptive_joint,425,0.0001266713122026055,2.8258076261161455e-05
server_time,adaptive_joint,430,0.00014082680798111686,3.2957406314581925e-05
server_time,adaptive_joint,435,0.0001318055941642027,2.994903536207827e-05
server_time,adaptive_joint,440,0.00012585877820214475,2.9854354309890816e-05
server_time,adaptive_joint,445,0.00010995150753614635,2.6025268950226834e-05
server_time,adaptive_joint,450,0.0001048034328585571,2.0427604570807207e-05
server_time,adaptive_joint,455,0.00010547635413069804,2.005491817565628e-05
server_time,adaptive_joint,460,9.50632705194646e-05,1.6376994362030643e-05
server_time,adaptive_joint,465,8.912955490778851e-05,1.4695528385126223e-05
server_time,adaptive_joint,470,9.138106018434068e-05,1.4179753301196469e-05
server_time,adaptive_joint,475,8.575458371503448e-05,1.146672262458485e-05
server_time,adaptive_joint,480,8.469894587022459e-05,1.2285676429911755e-05
server_time,adaptive_joint,485,7.654356816849255e-05,1.0866961420631308e-05
server_time,adaptive_joint,490,7.412614754106459e-05,1.0455810838992661e-05
server_time,adaptive_joint,495,7.265451966247341e-05,1.1278298823653996e-05
server_time,adaptive_joint,500,7.35209129264953e-05,1.2143187887267351e-05
server_time,adaptive_joint,505,7.166199091985702e-05,1.1528400961946075e-05
server_time,adaptive_joint,510,7.213091273209039e-05,1.2401492757094262e-05
server_time,adaptive_joint,515,7.735718883325648e-05,1.310650098889674e-05
server_time,adaptive_joint,520,7.931875054187106e-05,1.2931298715683391e-05
server_time,adaptive_joint,525,8.097565018766376e-05,1.3145072772682154e-05
server_time,adaptive_joint,530,8.263227297457342e-05,1.3460960267972997e-05
server_time,adaptive_joint,535,8.613086679020072e-05,1.3903183420315602e-05
server_time,adaptive_joint,540,9.018350496646979e-05,1.4483994866052714e-05
server_time,adaptive_joint,545,9.459956999578762e-05,1.6686894436581602e-05
server_time,adaptive_joint,550,9.705070875512181e-05,1.7914292511605007e-05
server_time,adaptive_joint,555,9.663661827101118e-05,1.8586165942242547e-05
server_time,adaptive_joint,560,9.33628739315354e-05,1.709090194208124e-05
server_time,adaptive_joint,565,9.03470056152317e-05,1.6938300883135826e-05
server_time,adaptive_joint,570,9.314636724294187e-05,1.8051647130255358e-05
server_time,adaptive_joint,575,9.241110762841496e-05,1.840995423418752e-05
server_time,adaptive_joint,580,9.165152824465332e-05,1.7084452278459277e-05
server_time,adaptive_joint,585,9.099912282919328e-05,1.7513371241755724e-05
server_time,adaptive_joint,590,9.003980072886223e-05,1.7458441664280318e-05
server_time,adaptive_joint,595,8.311237585213189e-05,1.4425227760394859e-05
server_time,adaptive_joint,600,7.839277243754835e-05,1.2998675399175548e-05
server_time,adaptive_joint,605,7.64624201785536e-05,1.3364234920220082e-05
server_time,adaptive_joint,610,7.689780341066172e-05,1.436168054879258e-05
server_time,adaptive_joint,615,7.692196614280883e-05,1.473685968423811e-05
server_time,adaptive_joint,620,7.901299169254562e-05,1.5030641624330823e-05
server_time,adaptive_joint,625,7.786909585683999e-05,1.4845107654401816e-05
server_time,adaptive_joint,630,7.826296984523485e-05,1.4353032457708404e-05
server_time,adaptive_joint,635,7.714508279232135e-05,1.315273026417491e-05
server_time,adaptive_joint,640,7.50019236323499e-05,1.281458374743927e-05
server_time,adaptive_joint,645,7.459404276875804e-05,1.3494711672006995e-05
server_time,adaptive_joint,650,7.444155396489002e-05,1.3674171103377231e-05
server_time,adaptive_joint,655,7.380017436252872e-05,1.3442714010961883e-05
server_time,adaptive_joint,660,7.527271531356411e-05,1.409019664757745e-05
server_time,adaptive_joint,665,7.638323567292404e-05,1.3777170335013386e-05
server_time,adaptive_joint,670,8.101061547679926e-05,1.4182602953760763e-05
server_time,adaptive_joint,675,8.470812089330186e-05,1.4929351682811593e-05
server_time,adaptive_joint,680,8.775131933794292e-05,1.63782541605431e-05
server_time,adaptive_joint,685,9.147417298666747e-05,1.8143956737091615e-05
server_time,adaptive_joint,690,8.762946711398124e-05,1.7196350093901456e-05
server_time,adaptive_joint,695,8.44809814442375e-05,1.584473529863368e-05
server_time,adaptive_joint,700,8.49174294850777e-05,1.6109394515236636e-05
server_time,adaptive_joint,705,8.161527216997964e-05,1.460279936164503e-05
server_time,adaptive_joint,710,7.928837952061741e-05,1.42782804856186e-05
server_time,adaptive_joint,715,7.775723087897389e-05,1.4477164486912901e-05
server_time,adaptive_joint,720,8.010072455071442e-05,1.5071266694315297e-05
server_time,adaptive_joint,725,8.221661751446013e-05,1.684944224496969e-05
server_time,adaptive_joint,730,7.795431196655367e-05,1.768481266600749e-05
server_time,adaptive_joint,735,8.433504116980786e-05,2.0733370078111547e-05
server_time,adaptive_joint,740,8.429765657277497e-05,1.9419137611081416e-05
server_time,adaptive_joint,745,8.474887739048085e-05,2.095204454295753e-05
server_time,adaptive_joint,750,8.27263537010687e-05,1.755609912243195e-05
server_time,adaptive_joint,755,8.46096686315095e-05,1.7048314211280865e-05
server_time,adaptive_joint,760,8.11379790600372e-05,1.4452991328121864e-05
server_time,adaptive_joint,765,8.2532978482274e-05,1.4077849325688663e-05
server_time,adaptive_joint,770,8.448503015060173e-05,1.535392559675078e-05
server_time,adaptive_joint,775,8.707636075023632e-05,1.6164766491604128e-05
server_time,adaptive_joint,780,8.41456695162284e-05,1.5735374129099192e-05
server_time,adaptive_joint,785,7.913081164408496e-05,1.4416263248737507e-05
server_time,adaptive_joint,790,8.284125683292448e-05,1.593623439976709e-05
server_time,adaptive_joint,795,7.650479452430607e-05,1.545332935510795e-05
server_time,adaptive_joint,800,7.767962471515587e-05,1.658357801006844e-05
server_time,adaptive_joint,805,0.0003206172284036738,6.849556704711976e-05
server_time,adaptive_joint,810,0.0010147573387334148,0.00020666662443509634
server_time,adaptive_joint,815,0.002178592595563707,0.00044506371121177116
server_time,adaptive_joint,820,0.0037156145632217565,0.0008349094772420072
server_time,adaptive_joint,825,0.005581244013331791,0.0013035284739473043
server_time,adaptive_joint,830,0.007422290748254822,0.0017031864901967803
server_time,adaptive_joint,835,0.009333318256731454,0.0020893169897698498
server_time,adaptive_joint,840,0.011473632019409909,0.00252549491583214
server_time,adaptive_joint,845,0.013421596314253494,0.003011744202784816
server_time,adaptive_joint,850,0.015216425267709516,0.003526800226758869
server_time,adaptive_joint,855,0.01705586794538431,0.004142182051623615
server_time,adaptive_joint,860,0.01850086352829947,0.0046475275085750885
server_time,adaptive_joint,865,0.01975733576338983,0.005092350162890324
server_time,adaptive_joint,870,0.021594760633932366,0.005878410531267414
server_time,adaptive_joint,875,0.02361348116926192,0.0069886920956112155
server_time,adaptive_joint,880,0.025163988738938242,0.007631877506811924
server_time,adaptive_joint,885,0.02596194859119635,0.007733320791935083
server_time,adaptive_joint,890,0.0270946507824737,0.007945067533560968
server_time,adaptive_joint,895,0.029115057409279273,0.008648374339037602
server_time,adaptive_joint,900,0.03030760204902728,0.009096390243195118
server_time,adaptive_joint,905,0.031705683426280065,0.009590783862020705
server_time,adaptive_joint,910,0.03332738036702742,0.010251372506696393
server_time,adaptive_joint,915,0.03465333278770317,0.010870045854476533
server_time,adaptive_joint,920,0.03571298200336371,0.011015026124291016
server_time,adaptive_joint,925,0.03618554181981213,0.01075935578794003
server_time,adaptive_joint,930,0.03652270864456487,0.010436048737834432
server_time,adaptive_joint,935,0.03729056025082436,0.010137759826053198
server_time,adaptive_joint,940,0.037568164610059976,0.009997653267881898
server_time,adaptive_joint,945,0.037931650936800676,0.010000163494147346
server_time,adaptive_joint,950,0.03861155659409664,0.010103255506618775
server_time,adaptive_joint,955,0.03879658659634023,0.010005689826061275
server_time,adaptive_joint,960,0.037958144489970515,0.009509213549679518
server_time,adaptive_joint,965,0.03740453211193343,0.00916693884181437
server_time,adaptive_joint,970,0.036406244592261876,0.008692523365060758
server_time,adaptive_joint,975,0.035281021755713064,0.008233097249211665
server_time,adaptive_joint,980,0.034964120527604635,0.007921857608484023
server_time,adaptive_joint,985,0.03440038330588686,0.007353994601888215
server_time,adaptive_joint,990,0.03350199204078914,0.006768373169037216
server_time,adaptive_joint,995,0.032761646547719514,0.0064349178129327975
server_time,adaptive_joint,1000,0.03243180134632844,0.006172750645858805
server_time,adaptive_joint,1005,0.03202765631046058,0.006086055957647755
server_time,adaptive_joint,1010,0.031179938352037244,0.0058786078241639915
server_time,adaptive_joint,1015,0.03106741080267997,0.0060251440409957
server_time,adaptive_joint,1020,0.03076014503306932,0.005950751512663478
server_time,adaptive_joint,1025,0.030284613513453032,0.005740791208267859
server_time,adaptive_joint,1030,0.03042006534189737,0.005880546452843889
server_time,adaptive_joint,1035,0.031130209303839664,0.006097013403362693
server_time,adaptive_joint,1040,0.03200929514115085,0.0063244753095423835
server_time,adaptive_joint,1045,0.033228020720510974,0.006664944126291115
server_time,adaptive_joint,1050,0.034645254349727386,0.007243618390154829
server_time,adaptive_joint,1055,0.03637060625005853,0.00778515855313727
server_time,adaptive_joint,1060,0.037468848047830114,0.00819191720544987
server_time,adaptive_joint,1065,0.03848849068031164,0.008782952010411897
server_time,adaptive_joint,1070,0.0388531560476179,0.009069959085641755
server_time,adaptive_joint,1075,0.03926559785723653,0.009354337139873938
server_time,adaptive_joint,1080,0.0390022539054735,0.00950435815035218
server_time,adaptive_joint,1085,0.03927269972393798,0.00970366491162505
server_time,adaptive_joint,1090,0.040269493242169774,0.009950266980332008
server_time,adaptive_joint,1095,0.04170147269088724,0.010046128668730675
server_time,adaptive_joint,1100,0.04257153047707804,0.01018186557107087
server_time,adaptive_joint,1105,0.04341771450428904,0.01027896033582139
server_time,adaptive_joint,1110,0.04404723712272691,0.010533036162410926
server_time,adaptive_joint,1115,0.04403079502839867,0.010391703966319289
server_time,adaptive_joint,1120,0.044107277767610496,0.010472173138620875
server_time,adaptive_joint,1125,0.04391333167150282,0.010374328233500681
server_time,adaptive_joint,1130,0.04335355887052581,0.010175352078773967
server_time,adaptive_joint,1135,0.043729172813899216,0.010209775972658087
server_time,adaptive_joint,1140,0.044305946611652595,0.01008892401352026
server_time,adaptive_joint,1145,0.04520042589934074,0.010335578108001184
server_time,adaptive_joint,1150,0.044645591200427256,0.010006895414706339
server_time,adaptive_joint,1155,0.04347069820118839,0.00923880987167206
server_time,adaptive_joint,1160,0.04267935588379549,0.008476953215750942
server_time,adaptive_joint,1165,0.043372741690147223,0.008253167500498296
