cell_id,rho,state_signal,noise_scale,delay_curvature,resource_price,mean_normalized_regret,mean_observable_score,oracle_score,q_only_score,eta_only_score,fixed_score,median_observable_q,median_observable_eta
R0.9-S1-N10-D0-P0.0001,0.9,1.0,10.0,0.0,0.0001,0.04525120735693994,-0.015936087316325828,-0.026473913043478264,-0.026300000000000004,-0.026397260273972604,-0.026187500000000002,5.0,0.05262687381784424
R0.9-S1-N10-D0-P0.001,0.9,1.0,10.0,0.0,0.001,0.029937112969094362,-0.013744321339375084,-0.022315789473684206,-0.02225,-0.0173972602739726,-0.0171875,1.5,0.048964468937778394
R0.9-S1-N10-D0-P0.01,0.9,1.0,10.0,0.0,0.01,0.010408214675309587,0.013794941400636598,0.004999999999999999,0.004999999999999999,0.0726027397260274,0.0728125,1.0,0.059390977446429516
R0.9-S1-N10-D0.5-P0.0001,0.9,1.0,10.0,0.5,0.0001,0.03423190040159785,-0.017149428489412,-0.025073195876288663,-0.025050000000000003,-0.02497402597402598,-0.024937500000000005,4.5,0.04662339687396209
R0.9-S1-N10-D0.5-P0.001,0.9,1.0,10.0,0.5,0.001,0.025396201393159318,-0.013762082602949591,-0.020999999999999998,-0.020999999999999998,-0.015974025974025974,-0.0159375,2.0,0.047730509096739426
R0.9-S1-N10-D0.5-P0.01,0.9,1.0,10.0,0.5,0.01,0.0070061188637575616,0.012118987248046281,0.006190476190476192,0.00625,0.07402597402597402,0.0740625,1.0,0.04169707338964308
R0.9-S1-N10-D2-P0.0001,0.9,1.0,10.0,2.0,0.0001,0.021666689506857018,-0.01668173553266978,-0.021622222222222223,-0.021300000000000006,-0.021471910112359553,-0.0211875,4.0,0.04480714296249104
R0.9-S1-N10-D2-P0.001,0.9,1.0,10.0,2.0,0.001,0.015728387090461933,-0.013400549571671479,-0.017833333333333333,-0.017249999999999995,-0.01247191011235955,-0.012187499999999999,1.0,0.04722880620289738
R0.9-S1-N10-D2-P0.01,0.9,1.0,10.0,2.0,0.01,0.00480203987176286,0.013244398857771964,0.009166666666666668,0.010000000000000004,0.07752808988764046,0.0778125,1.0,0.04258772665874306
R0.9-S10-N0.1-D0-P0.0001,0.9,10.0,0.1,0.0,0.0001,9.10957306814485e-07,-1.9957963541666666,-1.9958,-0.49945000000000006,-1.9953500000000002,-0.498771875,2.0,0.2
R0.9-S10-N0.1-D0-P0.001,0.9,10.0,0.1,0.0,0.001,0.0,-1.993,-1.993,-0.49675,-1.98635,-0.48977187499999997,1.0,0.2
R0.9-S10-N0.1-D0-P0.01,0.9,10.0,0.1,0.0,0.01,0.0,-1.9659999999999997,-1.966,-0.46975,-1.89635,-0.39977187499999994,1.0,0.2
R0.9-S10-N0.1-D0.5-P0.0001,0.9,10.0,0.1,0.5,0.0001,5.479283923342023e-07,-1.7957979166666669,-1.7958,-0.48695000000000005,-1.79535,-0.486271875,2.0,0.2
R0.9-S10-N0.1-D0.5-P0.001,0.9,10.0,0.1,0.5,0.001,0.0,-1.7929999999999997,-1.7930000000000001,-0.48425,-1.7863499999999999,-0.477271875,1.0,0.2
R0.9-S10-N0.1-D0.5-P0.01,0.9,10.0,0.1,0.5,0.01,0.0,-1.766,-1.766,-0.45725,-1.6963499999999998,-0.387271875,1.0,0.2
R0.9-S10-N0.1-D2-P0.0001,0.9,10.0,0.1,2.0,0.0001,1.463837361819009e-06,-1.1957953125,-1.1958,-0.44945,-1.19535,-0.448771875,2.0,0.2
R0.9-S10-N0.1-D2-P0.001,0.9,10.0,0.1,2.0,0.001,0.0,-1.1929999999999998,-1.1929999999999998,-0.44675,-1.1863499999999998,-0.439771875,1.0,0.2
R0.9-S10-N0.1-D2-P0.01,0.9,10.0,0.1,2.0,0.01,0.0,-1.1659999999999997,-1.1659999999999997,-0.41974999999999996,-1.0963499999999997,-0.34977187499999995,1.0,0.2
R0.9-S10-N1-D0-P0.0001,0.9,10.0,1.0,0.0,0.0001,4.130542851059988e-06,-1.962516939484127,-1.9625333333333335,-0.49722500000000003,-1.9625000000000001,-0.49671875,6.0,0.2
R0.9-S10-N1-D0-P0.001,0.9,10.0,1.0,0.0,0.001,1.0359688380572371e-05,-1.9579583333333335,-1.958,-0.4945,-1.9535,-0.48771875,2.0,0.2
