policy,persistence,rho,delay,seed,decision,covered_so_far,persistence_upper,rho_upper,certified_persistence,certified_rho,transition_trials,sharing_trials,q,gap,eta,updates,exact_radius
correlation_blind,0.5,0.0,0,21261231,10,True,0.558202415730322,0.016221489078232246,0.56,0.0,1824,590,8,3,0.216495652384551,37,0.8075399384659299
dual_ucb,0.5,0.0,0,20261232,1,True,0.6709108235462167,0.06276907731421694,0.672,0.08,470,198,16,5,0.014761752926011453,68,0.981077627855238
dual_ucb,0.5,0.0,0,20261232,2,True,0.5947870583615888,0.04209561106538348,0.596,0.06,755,270,16,4,0.01588419381784032,71,0.979672823207478
dual_ucb,0.5,0.0,0,20261232,3,True,0.5649553367145921,0.03160230153883711,0.5660000000000001,0.04,977,344,16,3,0.017576840550483395,74,0.9775634565794327
dual_ucb,0.5,0.0,0,20261232,4,True,0.5476616775952374,0.02523250003443258,0.548,0.04,1199,418,16,3,0.02003642248102784,74,0.9745178140678563
dual_ucb,0.5,0.0,0,20261232,5,True,0.5434742511658295,0.02104038182090981,0.544,0.04,1421,492,16,3,0.02346076262351714,74,0.9703159547413585
dual_ucb,0.5,0.0,0,20261232,6,True,0.5380422770425959,0.018066865903458962,0.54,0.02,1643,566,16,3,0.02898025785795577,74,0.9636373548066843
dual_ucb,0.5,0.0,0,20261232,7,True,0.5331656156773685,0.015845207797714436,0.534,0.02,1797,644,16,2,0.03607583672571306,76,0.9552223766917061
dual_ucb,0.5,0.0,0,20261232,8,True,0.5287801014681188,0.01403830393436169,0.53,0.02,1951,722,16,2,0.05006156099301214,76,0.9391982691582257
dual_ucb,0.5,0.0,0,20261232,9,True,0.5249979206154263,0.01260939479206943,0.526,0.02,2105,800,16,2,0.08410265670101431,76,0.9033132811447135
dual_ucb,0.5,0.0,0,20261232,10,True,0.520272662855042,0.011450370279001677,0.522,0.02,2185,840,8,2,0.19774761482210923,40,0.8169967717298393
correlation_blind,0.5,0.0,0,21261232,1,True,0.6637015798253265,0.06276907731421694,0.664,0.0,350,174,32,5,0.024901891612601902,44,0.9685492453007114
correlation_blind,0.5,0.0,0,21261232,2,True,0.5751305402625235,0.04740796666899823,0.5760000000000001,0.0,532,221,32,4,0.026829424633002703,45,0.9662124313614244
correlation_blind,0.5,0.0,0,21261232,3,True,0.5765965987504942,0.038037461608115414,0.578,0.0,672,269,32,3,0.02991733536645988,46,0.9624980910731629
correlation_blind,0.5,0.0,0,21261232,4,True,0.5568098846388061,0.03171122705639222,0.558,0.0,812,317,32,3,0.034123680475114875,46,0.9574963512823724
