scenario_id,task,ray,budget,budget_index,message_budget,environment_budget,delay,rho,q,normalized_step,step_size,updates,spectral_radius,bias_risk,noise_risk,risk
frozenlake4x4-message-B0-D0-R0,frozenlake4x4,message,192,0,192,1000000,0,0.0,1,0.04,0.04168848070658645,64,0.9909551322886647,0.00010144543078606553,0.013950331806001035,0.0140517772367871
frozenlake4x4-message-B0-D0-R0,frozenlake4x4,message,192,0,192,1000000,0,0.0,1,0.08,0.0833769614131729,64,0.9819102645773294,3.136981886021311e-05,0.03639212330312511,0.03642349312198532
frozenlake4x4-message-B0-D0-R0,frozenlake4x4,message,192,0,192,1000000,0,0.0,1,0.12,0.12506544211975934,64,0.972865396865994,9.5956510854503e-06,0.05789680270314659,0.05790639835423204
frozenlake4x4-message-B0-D0-R0,frozenlake4x4,message,192,0,192,1000000,0,0.0,4,0.04,0.04168848070658645,32,0.9909551322886647,0.00018145838824523445,0.0021422078047504704,0.0023236661929957048
frozenlake4x4-message-B0-D0-R0,frozenlake4x4,message,192,0,192,1000000,0,0.0,4,0.08,0.0833769614131729,32,0.9819102645773294,0.00010090595782083577,0.006686868113308513,0.006787774071129349
frozenlake4x4-message-B0-D0-R0,frozenlake4x4,message,192,0,192,1000000,0,0.0,4,0.12,0.12506544211975934,32,0.972865396865994,5.580820158580358e-05,0.011993298464078853,0.012049106665664656
frozenlake4x4-message-B0-D0-R0,frozenlake4x4,message,192,0,192,1000000,0,0.0,16,0.04,0.04168848070658645,10,0.9909551322886647,0.0002706458878768155,0.00016231566981004652,0.000432961557686862
frozenlake4x4-message-B0-D0-R0,frozenlake4x4,message,192,0,192,1000000,0,0.0,16,0.08,0.0833769614131729,10,0.9819102645773294,0.00022529814084813274,0.0005995699398032425,0.0008248680806513752
frozenlake4x4-message-B0-D0-R0,frozenlake4x4,message,192,0,192,1000000,0,0.0,16,0.12,0.12506544211975934,10,0.972865396865994,0.00018723056106319082,0.0012473125434614449,0.0014345431045246356
frozenlake4x4-message-B1-D0-R0,frozenlake4x4,message,384,1,384,1000000,0,0.0,1,0.04,0.04168848070658645,128,0.9909551322886647,3.17061400782803e-05,0.018640854710076614,0.018672560850154896
frozenlake4x4-message-B1-D0-R0,frozenlake4x4,message,384,1,384,1000000,0,0.0,1,0.08,0.0833769614131729,128,0.9819102645773294,3.031813025571764e-06,0.04032261012213827,0.04032564193516384
frozenlake4x4-message-B1-D0-R0,frozenlake4x4,message,384,1,384,1000000,0,0.0,1,0.12,0.12506544211975934,128,0.972865396865994,2.8367906599542116e-07,0.059896449114408855,0.05989673279347485
frozenlake4x4-message-B1-D0-R0,frozenlake4x4,message,384,1,384,1000000,0,0.0,4,0.04,0.04168848070658645,64,0.9909551322886647,0.00010144543078606553,0.0034875829515002587,0.0035890283822863243
frozenlake4x4-message-B1-D0-R0,frozenlake4x4,message,384,1,384,1000000,0,0.0,4,0.08,0.0833769614131729,64,0.9819102645773294,3.136981886021311e-05,0.009098030825781277,0.00912940064464149
frozenlake4x4-message-B1-D0-R0,frozenlake4x4,message,384,1,384,1000000,0,0.0,4,0.12,0.12506544211975934,64,0.972865396865994,9.5956510854503e-06,0.014474200675786647,0.014483796326872097
frozenlake4x4-message-B1-D0-R0,frozenlake4x4,message,384,1,384,1000000,0,0.0,16,0.04,0.04168848070658645,21,0.9909551322886647,0.00022160994246497016,0.0003667988375796006,0.0005884087800445707
frozenlake4x4-message-B1-D0-R0,frozenlake4x4,message,384,1,384,1000000,0,0.0,16,0.08,0.0833769614131729,21,0.9819102645773294,0.00015077773276427254,0.0012394870009429539,0.0013902647337072265
frozenlake4x4-message-B1-D0-R0,frozenlake4x4,message,384,1,384,1000000,0,0.0,16,0.12,0.12506544211975934,21,0.972865396865994,0.00010222035460140832,0.002375598864026169,0.002477819218627577
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,1,0.04,0.04168848070658645,256,0.9909551322886647,3.0971706896156206e-06,0.020565035825477505,0.02056813299616712
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,1,0.08,0.0833769614131729,256,0.9819102645773294,2.8319346125286974e-08,0.04073919526886225,0.040739223588208376
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,1,0.12,0.12506544211975934,256,0.972865396865994,2.479322201102562e-10,0.05995731291945052,0.059957313167382745
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,4,0.04,0.04168848070658645,128,0.9909551322886647,3.17061400782803e-05,0.0046602136775191535,0.0046919198175974335
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,4,0.08,0.0833769614131729,128,0.9819102645773294,3.031813025571764e-06,0.010080652530534567,0.010083684343560138
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,4,0.12,0.12506544211975934,128,0.972865396865994,2.8367906599542116e-07,0.014974112278602214,0.014974395957668208
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,16,0.04,0.04168848070658645,42,0.9909551322886647,0.00015130625236809244,0.0006622996580611241,0.0008136059104292166
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,16,0.08,0.0833769614131729,42,0.9819102645773294,7.00410760730061e-05,0.0019392758200505295,0.0020093168961235358
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,16,0.12,0.12506544211975934,42,0.972865396865994,3.219238544595015e-05,0.003315274783243025,0.0033474671686889754
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,1,0.04,0.04168848070658645,64,0.9909551322886647,0.00010144543078606553,0.013950331806001035,0.0140517772367871
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,1,0.08,0.0833769614131729,64,0.9819102645773294,3.136981886021311e-05,0.03639212330312511,0.03642349312198532
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,1,0.12,0.12506544211975934,64,0.972865396865994,9.5956510854503e-06,0.05789680270314659,0.05790639835423204
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,4,0.04,0.04168848070658645,32,0.9909551322886647,0.00018145838824523445,0.0027848701461756116,0.002966328534420846
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,4,0.08,0.0833769614131729,32,0.9819102645773294,0.00010090595782083577,0.008692928547301068,0.008793834505121905
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,4,0.12,0.12506544211975934,32,0.972865396865994,5.580820158580358e-05,0.01559128800330251,0.015647096204888314
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,16,0.04,0.04168848070658645,10,0.9909551322886647,0.0002706458878768155,0.0004057891745251163,0.0006764350624019318
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,16,0.08,0.0833769614131729,10,0.9819102645773294,0.00022529814084813274,0.0014989248495081062,0.001724222990356239
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,16,0.12,0.12506544211975934,10,0.972865396865994,0.00018723056106319082,0.003118281358653612,0.003305511919716803
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,1,0.04,0.04168848070658645,128,0.9909551322886647,3.17061400782803e-05,0.018640854710076614,0.018672560850154896
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,1,0.08,0.0833769614131729,128,0.9819102645773294,3.031813025571764e-06,0.04032261012213827,0.04032564193516384
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,1,0.12,0.12506544211975934,128,0.972865396865994,2.8367906599542116e-07,0.059896449114408855,0.05989673279347485
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,4,0.04,0.04168848070658645,64,0.9909551322886647,0.00010144543078606553,0.004533857836950337,0.004635303267736402
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,4,0.08,0.0833769614131729,64,0.9819102645773294,3.136981886021311e-05,0.01182744007351566,0.011858809892375874
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,4,0.12,0.12506544211975934,64,0.972865396865994,9.5956510854503e-06,0.01881646087852264,0.01882605652960809
