persistence,policy,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,eta,sharp_boundary,sharp_factor,contraction,update_cost,updates,blocks,omega,initial_error,risk_surrogate,resource_budget
0.0,joint,32,0.0,0,0.1,68,1.9079553609862025e-05,0.0006296252691254468,1.6569876148975915,0.10000000000000003,7.412688455006394,0.09066556807314705,1.7261808506758176,0.0,0,0.052523801812651344,0.10504758877107256,0.9976161087034823,0.9952379003446782,104,1230,1230,0.04700050826373777,0.696136173289883,0.029190446745402356,128000
0.0,q1,1,0.0,0,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,0.009885142859986436,0.01977028483497892,0.9995516421583127,0.9991034853413796,55,2327,2327,1.5040162644396087,0.696136173289883,0.2502819454564151,128000
0.0,q32,32,0.0,0,0.1,68,1.9079553609862025e-05,0.0006296252691254468,1.6569876148975915,0.10000000000000003,7.412688455006394,0.09066556807314705,1.7261808506758176,0.0,0,0.052523801812651344,0.10504758877107256,0.9976161087034823,0.9952379003446782,104,1230,1230,0.04700050826373777,0.696136173289883,0.029190446745402356,128000
0.0,joint,1,0.9,0,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,0.009885142859986436,0.01977028483497892,0.9995516421583127,0.9991034853413796,55,2327,2327,1.5040162644396087,0.696136173289883,0.2502819454564151,128000
0.0,q1,1,0.9,0,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,0.009885142859986436,0.01977028483497892,0.9995516421583127,0.9991034853413796,55,2327,2327,1.5040162644396087,0.696136173289883,0.2502819454564151,128000
0.0,q32,32,0.9,0,0.1,68,1.9079553609862025e-05,0.0006296252691254468,8.360831544774337,0.10000000000000003,7.412688455006394,0.09066556807314705,8.430024780552563,0.0,0,0.010755079654503737,0.021510154580400336,0.9995123234897173,0.9990248848078133,104,1230,1230,1.3583146888220214,0.696136173289883,0.3708053095800976,128000
0.0,joint,4,0.0,8,0.1,56,0.0001234148815085895,0.0006170744075429475,3.3389520242634765,0.10000000000000003,7.412688455006394,0.090851639326653,3.4067659718090306,0.0,0,0.026668002482448005,0.053336002577487954,0.9987878495282931,0.9975771683653524,64,2000,2000,0.37600406610990217,0.696136173289883,0.11581102127191643,128000
0.0,q1,1,0.0,8,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,0.009885142859986436,0.01977028483497892,0.9995516421583127,0.9991034853413796,55,2327,2327,1.5040162644396087,0.696136173289883,0.2502819454564151,128000
0.0,q32,32,0.0,8,0.1,68,1.9079553609862025e-05,0.0006296252691254468,1.6569876148975915,0.10000000000000003,7.412688455006394,0.09066556807314705,1.7261808506758176,3.9764934301467165,8,0.00020666014512486742,0.00041332015413031724,0.999990631522672,0.9999812631331123,104,1230,72,0.04700050826373777,0.696136173289883,0.6953048040639997,128000
0.0,joint,1,0.9,8,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,0.009885142859986436,0.01977028483497892,0.9995516421583127,0.9991034853413796,55,2327,2327,1.5040162644396087,0.696136173289883,0.2502819454564151,128000
