persistence,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,eta,sharp_boundary,sharp_factor,contraction,update_cost,updates,blocks,omega,initial_error,risk_surrogate,resource_budget
0.0,1,0.0,0,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,0.009885142859986436,0.01977028483497892,0.9995516421583127,0.9991034853413796,55,2327,2327,1.5040162644396087,0.696136173289883,0.2502819454564151,128000
0.0,1,0.0,0,0.25,44,0.0007983013019689016,0.0015966026039378031,9.1057040309513,0.10000000000000003,7.412688455006394,0.07632976462111424,9.28116411147165,0.0,0,0.008224158857826824,0.016448316979282458,0.9996860766852157,0.9993722519182789,49,2612,2612,1.5040162644396087,0.696136173289883,0.2970608886331594,128000
0.0,1,0.0,0,0.5,40,0.00148741867493181,0.00297483734986362,9.1057040309513,0.10000000000000003,7.412688455006394,0.05589691504228829,9.432626459647496,0.0,0,0.0059259127997207265,0.011851824151292309,0.9998343661807987,0.9996687597961594,45,2844,2844,1.5040162644396087,0.696136173289883,0.4307800506193361,128000
0.0,1,0.0,0,0.75,37,0.0023721017329521705,0.004744203465904341,9.1057040309513,0.10000000000000003,7.412688455006394,0.029665395480179185,9.627072541862816,0.0,0,0.003081455724919676,0.006162910968245684,0.9999542926576238,0.9999085874044088,42,3047,3047,1.5040162644396087,0.696136173289883,0.683121283200042,128000
0.0,2,0.0,0,0.1,53,0.00019681915438076608,0.0005904574631422982,5.26120162052503,0.10000000000000003,7.412688455006394,0.09124624555958548,5.326090475003452,0.0,0,0.017131936285161208,0.03426387365660585,0.9992180818446258,0.9984367750852533,59,2169,2169,0.7520081322198043,0.696136173289883,0.16458206721035218,128000
0.0,2,0.0,0,0.25,47,0.000500572545289632,0.0015017176358688962,5.26120162052503,0.10000000000000003,7.412688455006394,0.07773647003583031,5.42623423205812,0.0,0,0.014326048906828495,0.028652087879496108,0.9994430168421539,0.9988863439145459,53,2415,2415,0.7520081322198043,0.696136173289883,0.18579575558769154,128000
0.0,2,0.0,0,0.5,42,0.0010896826653167585,0.0032690479959502756,5.26120162052503,0.10000000000000003,7.412688455006394,0.05153513132311524,5.620456593039576,0.0,0,0.009169207793367943,0.01833841449356076,0.9997637039322883,0.9995274637004082,48,2666,2666,0.7520081322198043,0.696136173289883,0.3312445498161996,128000
0.0,2,0.0,0,0.75,40,0.00148741867493181,0.00446225602479543,5.26120162052503,0.10000000000000003,7.412688455006394,0.033845372563432424,5.751585263569324,0.0,0,0.0058845329108233565,0.011769058794209523,0.9999004129963116,0.9998008359101945,46,2782,2782,0.7520081322198043,0.696136173289883,0.5307285583909418,128000
0.0,4,0.0,0,0.1,56,0.0001234148815085895,0.0006170744075429475,3.3389520242634765,0.10000000000000003,7.412688455006394,0.090851639326653,3.4067659718090306,0.0,0,0.026668002482448005,0.053336002577487954,0.9987878495282931,0.9975771683653524,64,2000,2000,0.37600406610990217,0.696136173289883,0.11581102127191643,128000
0.0,4,0.0,0,0.25,50,0.00031388256269316976,0.0015694128134658488,3.3389520242634765,0.10000000000000003,7.412688455006394,0.07673286351296524,3.5114240582819773,0.0,0,0.02185234966782801,0.043704697717715665,0.9991612515993479,0.9983232066975753,58,2206,2206,0.37600406610990217,0.696136173289883,0.12425488123660891,128000
0.0,4,0.0,0,0.5,46,0.0005848353627195289,0.0029241768135976447,3.3389520242634765,0.10000000000000003,7.412688455006394,0.056647976586894744,3.660307067718969,0.0,0,0.015476291490058575,0.0309525815943062,0.9995615536030139,0.9991232994412709,54,2370,2370,0.37600406610990217,0.696136173289883,0.18980704142641366,128000
0.0,4,0.0,0,0.75,43,0.0009326817580449679,0.0046634087902248395,3.3389520242634765,0.10000000000000003,7.412688455006394,0.030863206999450027,3.8514415315548205,0.0,0,0.008013418003033956,0.01602683397714151,0.9998763324795266,0.9997526802527088,51,2509,2509,0.37600406610990217,0.696136173289883,0.47188407900017687,128000
0.0,8,0.0,0,0.1,60,6.623706651910611e-05,0.000596133598671955,2.3778285846336367,0.10000000000000003,7.412688455006394,0.09116209471096601,2.443341223136099,0.0,0,0.03731042472834757,0.07462084611657846,0.9982979032730931,0.9965987036794539,72,1777,1777,0.18800203305495108,0.696136173289883,0.0785788332473271,128000
0.0,8,0.0,0,0.25,54,0.00016846153382633954,0.0015161538044370557,2.3778285846336367,0.10000000000000003,7.412688455006394,0.07752244839567086,2.544447671907858,0.0,0,0.0304672991509621,0.06093459830324842,0.9988183520409317,0.9976381003737627,66,1939,1939,0.18800203305495108,0.696136173289883,0.08098937078375788,128000
0.0,8,0.0,0,0.5,49,0.00036671933100724,0.00330047397906516,2.3778285846336367,0.10000000000000003,7.412688455006394,0.05106922927866938,2.740537143854209,0.0,0,0.01863475256292064,0.037269503457155156,0.9995240555341438,0.9990483375914222,61,2098,2098,0.18800203305495108,0.696136173289883,0.16304442447276735,128000
0.0,8,0.0,0,0.75,47,0.000500572545289632,0.004505152907606689,2.3778285846336367,0.10000000000000003,7.412688455006394,0.03320941010749086,2.8729264192329063,0.0,0,0.01155944071663071,0.02311887271819235,0.9998080405444534,0.9996161179373393,59,2169,2169,0.18800203305495108,0.696136173289883,0.3681401738761913,128000
0.0,16,0.0,0,0.1,64,3.5549594395554215e-05,0.0006043431047244217,1.8972676907220358,0.10000000000000003,7.412688455006394,0.09104038568949316,1.9636825202828403,0.0,0,0.04636207236893558,0.09272413921205525,0.99788735802279,0.995779179301704,84,1523,1523,0.09400101652747554,0.696136173289883,0.0489789592967444,128000
0.0,16,0.0,0,0.25,58,9.041371420756398e-05,0.0015370331415285876,1.8972676907220358,0.10000000000000003,7.412688455006394,0.0772129043536577,2.066181331542804,0.0,0,0.037369857653408056,0.07473971734707618,0.9985562401169652,0.9971145646765303,78,1641,1641,0.09400101652747554,0.696136173289883,0.051567126058873015,128000
0.0,16,0.0,0,0.5,53,0.00019681915438076608,0.0033459256244730232,1.8972676907220358,0.10000000000000003,7.412688455006394,0.05039539150431756,2.264971199433093,0.0,0,0.02224991086404107,0.04449980778292478,0.9994391964409122,0.9988787073824562,73,1753,1753,0.09400101652747554,0.696136173289883,0.13890115934835454,128000
0.0,16,0.0,0,0.75,51,0.0002686584979512118,0.004567194465170601,1.8972676907220358,0.10000000000000003,7.412688455006394,0.03228962063252161,2.3991836381434464,0.0,0,0.013458587148177712,0.02691717309101551,0.9997826900612931,0.9995654273461956,71,1802,1802,0.09400101652747554,0.696136173289883,0.3572515914012195,128000
0.0,32,0.0,0,0.1,68,1.9079553609862025e-05,0.0006296252691254468,1.6569876148975915,0.10000000000000003,7.412688455006394,0.09066556807314705,1.7261808506758176,0.0,0,0.052523801812651344,0.10504758877107256,0.9976161087034823,0.9952379003446782,104,1230,1230,0.04700050826373777,0.696136173289883,0.029190446745402356,128000
