original_persistence,decorrelation_gap,target_delta,actual_delta,used_persistence,homogeneous_delay,rho,num_agents,eta,root,lipschitz,monotonicity,effective_monotonicity,curvature,effective_curvature,rms_delay,linear_coefficient,cubic_coefficient,right_hand_side,polynomial_at_eta,contraction_coefficient,sharp_root,sharp_safe_eta,sharp_safe_factor,sharp_root_factor,rate_eta,rate_factor,rate_contraction_coefficient,coarse_eta,exact_boundary,exact_below_radius,exact_below_residual,exact_above_radius,exact_above_residual,sharp_radius,sharp_residual,rate_radius,rate_residual,sharp_to_exact_ratio,rate_to_exact_ratio,exact_window_contraction,theorem_envelope_slack
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,1,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.4745000000000004,2.4745000000000004,0.0,2.4745000000000004,0.0,1.31,1.124772716025,0.9158057808533059,0.5293998787633865,0.5293998734693877,0.9999999965324308,0.9999999999999999,0.2646999313528582,0.9091872962734306,0.826621539704991,0.45454544999999996,0.5293998783998082,0.9999999288805652,0.0,1.0000000701668736,0.0,0.9999999930648613,1.5700924586837754e-16,0.826621539704991,0.0,0.9999999906867744,0.4999999851774694,0.826621539704991,0.0
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,2,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.1717625000000003,2.1717625000000003,0.0,2.1717625000000003,0.0,1.31,0.987164762855625,0.8532567118563534,0.6031967123476898,0.6031967063157226,0.9999999960490614,0.9999999999999999,0.30159835269089696,0.8957974529468877,0.8024530767061315,0.45454544999999996,0.6031967124952005,0.999999920438558,1.5700924586837754e-16,1.0000000799479358,2.482534153247273e-16,0.9999999920981227,1.5700924586837754e-16,0.8024530767061315,1.5700924586837754e-16,0.9999999897554518,0.4999999941035765,0.8024530767061315,0.0
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,4,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.02039375,2.02039375,0.0,2.02039375,0.0,1.31,0.9183607862709375,0.8219821773578772,0.6483884638823496,0.648388457398465,0.9999999957530555,1.0,0.32419423397805414,0.8874980439857489,0.7876527780785304,0.45454544999999996,0.6483884640409119,0.9999999144777812,1.5700924586837754e-16,1.0000000859376688,0.0,0.999999991506111,0.0,0.7876527780785304,1.5700924586837754e-16,0.9999999897554517,0.5000000030191749,0.7876527780785304,0.0
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,8,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,1.9447093750000004,1.9447093750000004,0.0,1.9447093750000004,0.0,1.31,0.8839587979785939,0.8063449101086391,0.6736225046480273,0.6736224979118022,0.9999999955877725,1.0,0.336811241053381,0.8828298985239292,0.7793886297277712,0.45454544999999996,0.6736225048127603,0.9999999111494197,1.5700924586837754e-16,1.000000089282199,1.5700924586837754e-16,0.999999991175545,1.1102230246251565e-16,0.7793886297277712,0.0,0.9999999897554519,0.4999999831463482,0.7793886297277712,0.0
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,16,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,1.9068671875000003,1.9068671875000003,0.0,1.9068671875000003,0.0,1.31,0.866757803832422,0.79852627648402,0.6869906874413609,0.6869906805714541,0.9999999955002109,0.9999999999999999,0.3434953373877838,0.8803468349820737,0.7750105498629545,0.45454544999999996,0.6869906876093632,0.9999999093861608,0.0,1.0000000910540232,1.1102230246251565e-16,0.9999999910004216,0.0,0.7750105498629543,0.0,0.9999999897554519,0.4999999906594108,0.7750105498629543,2.220446049250313e-16
0.5,1,0.07443181818181818,0.0,0.5,0,0.0,32,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,1.8879460937500003,1.8879460937500003,0.0,1.8879460937500003,0.0,1.31,0.858157306759336,0.7946169596717105,0.6938757437708223,0.6938757368320648,0.9999999954551139,1.0,0.3469378652777515,0.8790652387138601,0.7727556939150558,0.45454544999999996,0.6938757439405083,0.9999999084780246,0.0,1.0000000919665712,1.5700924586837754e-16,0.9999999909102276,0.0,0.7727556939150555,0.0,0.9999999897554518,0.4999999903548975,0.7727556939150555,3.3306690738754696e-16
0.5,1,0.07443181818181818,0.0,0.5,0,0.9,1,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.4745000000000004,2.4745000000000004,0.0,2.4745000000000004,0.0,1.31,1.124772716025,0.9158057808533059,0.5293998787633865,0.5293998734693877,0.9999999965324308,0.9999999999999999,0.2646999313528582,0.9091872962734306,0.826621539704991,0.45454544999999996,0.5293998783998082,0.9999999288805652,0.0,1.0000000701668736,0.0,0.9999999930648613,1.5700924586837754e-16,0.826621539704991,0.0,0.9999999906867744,0.4999999851774694,0.826621539704991,0.0
0.5,1,0.07443181818181818,0.0,0.5,0,0.9,2,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.4442262500000003,2.4442262500000003,0.0,2.4442262500000003,0.0,1.31,1.1110119207080624,0.9095508739536107,0.535956931155616,0.5359569257960467,0.999999996489482,0.9999999999999999,0.26797845944720866,0.9080055644358881,0.8244741050465357,0.45454544999999996,0.5359569307875346,0.9999999279996927,1.5700924586837754e-16,1.000000071035948,1.5700924586837754e-16,0.999999992978964,0.0,0.8244741050465357,1.5700924586837754e-16,0.9999999906867743,0.49999998890478264,0.8244741050465357,0.0
0.5,1,0.07443181818181818,0.0,0.5,0,0.9,4,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.429089375,2.429089375,0.0,2.429089375,0.0,1.31,1.1041315230495938,0.906423420503763,0.5392967477781667,0.5392967423851992,0.9999999964676062,0.9999999999999999,0.2696483647361726,0.9074030609947548,0.8233803151026506,0.45454544999999996,0.5392967479100507,0.9999999288669413,0.0,1.0000000714786084,1.1102230246251565e-16,0.999999992935212,0.0,0.8233803151026503,0.0,0.9999999897554519,0.4999999829057884,0.8233803151026503,3.3306690738754696e-16
0.5,1,0.07443181818181818,0.0,0.5,0,0.9,8,0.45454544999999996,0.45454545454545453,2.2,0.655,0.655,2.4215209375,2.4215209375,0.0,2.4215209375,0.0,1.31,1.1006913242203593,0.9048596937788391,0.5409823139305399,0.5409823085207167,0.9999999964565659,1.0,0.27049115032347426,0.9070988326460069,0.8228282921877484,0.45454544999999996,0.5409823140628363,0.9999999286446163,0.0,1.0000000717020145,0.0,0.9999999929131317,1.5700924586837754e-16,0.8228282921877482,0.0,0.9999999897554516,0.4999999876004378,0.8228282921877482,2.220446049250313e-16
