num_agents,max_delay,multiplier,eta,spectral_radius,predicted_stable
8,0,0.5,2.1049057573825127,0.7895094242617491,True
8,0,0.8,3.3678492118120205,0.6632150788187978,True
8,0,0.95,3.999320939026774,0.8999999999427981,True
8,0,1.05,4.420302090503277,1.0999999999367758,False
8,0,1.2,5.05177381771803,1.3999999999277444,False
8,8,0.5,4.2098115147650255,0.7071067811759034,True
8,8,0.8,6.735698423624041,0.8944271909864525,True
8,8,0.95,7.998641878053548,0.9746794344662246,True
8,8,1.05,8.840604181006555,1.399999999844373,False
8,8,1.2,10.10354763543606,1.9999999998709705,False
8,32,0.5,1.3839249958470465,0.9158507576948843,True
8,32,0.8,2.2142799933552744,0.974162203493535,True
8,32,0.95,2.6294574921093883,0.9942354368109397,True
8,32,1.05,2.906242491278798,1.0053653911407905,False
8,32,1.2,3.3214199900329118,1.019357655155548,False
16,0,0.5,2.1049057573825127,0.7895094242617482,True
16,0,0.8,3.3678492118120205,0.6632150788187978,True
16,0,0.95,3.999320939026774,0.8999999999427984,True
16,0,1.05,4.420302090503277,1.0999999999367773,False
16,0,1.2,5.05177381771803,1.3999999999277433,False
16,8,0.5,2.057528557255864,0.8531167305606983,True
16,8,0.8,3.292045691609383,0.951457035897035,True
16,8,0.95,3.9093042587861415,0.9888032577061147,True
16,8,1.05,4.320809970237315,1.0106480218735832,False
16,8,1.2,4.938068537414074,1.0396513653490775,False
16,32,0.5,0.6465922851674257,0.9676234147373849,True
16,32,0.8,1.0345476562678813,0.990414834808776,True
16,32,0.95,1.2285253418181088,0.997893699186746,True
16,32,1.05,1.3578437988515941,1.0019420737843192,False
16,32,1.2,1.5518214844018217,1.0069138796531205,False
32,0,0.5,2.1049057573825127,0.7895094242617482,True
32,0,0.8,3.3678492118120205,0.6632150788187978,True
32,0,0.95,3.999320939026774,0.8999999999427978,True
32,0,1.05,4.420302090503277,1.0999999999367764,False
32,0,1.2,5.05177381771803,1.3999999999277433,False
32,8,0.5,1.0517446793988348,0.95126050196797,True
32,8,0.8,1.6827914870381357,0.9856694903655363,True
32,8,0.95,1.998314890857786,0.996869146021694,True
32,8,1.05,2.208663826737553,1.0028732651225662,False
32,8,1.2,2.5241872305572035,1.010144851438757,False
32,32,0.5,0.2672917710430921,0.9875487926711773,True
32,32,0.8,0.42766683366894737,0.9963894119024165,True
32,32,0.95,0.507854364981875,0.9992136156277013,True
32,32,1.05,0.5613127191904934,1.000721032372906,False
32,32,1.2,0.641500250503421,1.0025465488096093,False
