num_agents,max_delay,selected_max_delay,critical_eta
8,0,0,4.2098115147650255
8,8,1,8.419623029530051
8,32,4,2.767849991694093
16,0,0,4.2098115147650255
16,8,3,4.115057114511728
16,32,12,1.2931845703348515
32,0,0,4.2098115147650255
32,8,8,2.1034893587976695
32,32,32,0.5345835420861842
