cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,safe_dynamic_risk,common_scalar_risk,recipient_static_risk,recipient_static_alpha,static_to_scalar_ratio,dynamic_to_static_ratio
H0.2-I1.5-N0.1-S0-T0-D1,0.2,1.5,0.1,0.0,0.0,1,0.001953242801186545,0.002040823431041258,0.001948272953249227,"[0.0,0.1,0.1,0.0]",0.9546504237533129,1.0025508992100052
H0.2-I1.5-N0.1-S0-T0-D3,0.2,1.5,0.1,0.0,0.0,3,0.001932636535172871,0.002040823431041258,0.0019299773998990022,"[0.0,0.1,0.1,0.0]",0.9456856338200211,1.0013778064313126
H0.2-I1.5-N0.1-S0-T0.6-D0,0.2,1.5,0.1,0.0,0.6,0,0.005781010107104124,0.006364515192470639,0.005919990578052609,"[0.0,0.25,0.25,0.0]",0.9301557776240503,0.97652353173268
H0.2-I1.5-N0.1-S0-T0.6-D1,0.2,1.5,0.1,0.0,0.6,1,0.00569591552872138,0.006260625477164284,0.005811196209242599,"[0.0,0.25,0.25,0.0]",0.9282133599013415,0.980162314888307
H0.2-I1.5-N0.1-S0-T0.6-D3,0.2,1.5,0.1,0.0,0.6,3,0.0055205548739568145,0.00614184935978491,0.005681069921691254,"[0.0,0.25,0.25,0.0]",0.9249770857112339,0.9717456306739745
H0.2-I1.5-N0.1-S0-T0.9-D0,0.2,1.5,0.1,0.0,0.9,0,0.010975590144111329,0.01325471669544311,0.011627641654956227,"[0.1,0.5,0.5,0.1]",0.8772455814882666,0.943922290504458
H0.2-I1.5-N0.1-S0-T0.9-D1,0.2,1.5,0.1,0.0,0.9,1,0.010731393079049857,0.013023633024913134,0.011185759489141436,"[0.1,0.5,0.5,0.1]",0.8588816551989757,0.959379923148477
H0.2-I1.5-N0.1-S0-T0.9-D3,0.2,1.5,0.1,0.0,0.9,3,0.0100986760719315,0.012759347606070864,0.010613602278724871,"[0.1,0.5,0.5,0.1]",0.8318295422624075,0.9514843129343985
H0.2-I1.5-N0.1-S0.5-T0-D0,0.2,1.5,0.1,0.5,0.0,0,0.0020392127980538542,0.002040823431041258,0.0020393995200177037,"[0.0,0.1,0.1,0.0]",0.9993022860273474,0.999908442675397
H0.2-I1.5-N0.1-S0.5-T0-D1,0.2,1.5,0.1,0.5,0.0,1,0.002008087678507918,0.002040823431041258,0.0019993267419276092,"[0.0,0.1,0.1,0.0]",0.9796666931188277,1.0043819433795307
H0.2-I1.5-N0.1-S0.5-T0-D3,0.2,1.5,0.1,0.5,0.0,3,0.0019584169656255246,0.002040823431041258,0.001953872223793737,"[0.0,0.1,0.1,0.0]",0.9573940567689596,1.0023260179332316
H0.2-I1.5-N0.1-S0.5-T0.6-D0,0.2,1.5,0.1,0.5,0.6,0,0.006291807625665976,0.006598364379695199,0.006429305125030739,"[0.0,0.1,0.1,0.0]",0.9743786118898349,0.9786139409017228
H0.2-I1.5-N0.1-S0.5-T0.6-D1,0.2,1.5,0.1,0.5,0.6,1,0.006121195849246763,0.0065899137935561455,0.006202763750671012,"[0.0,0.25,0.25,0.0]",0.9412511217880115,0.9868497488050507
H0.2-I1.5-N0.1-S0.5-T0.6-D3,0.2,1.5,0.1,0.5,0.6,3,0.00575009126369529,0.0062928540377516955,0.005880890464836379,"[0.0,0.25,0.25,0.0]",0.9345347007186421,0.9777586061289226
H0.2-I1.5-N0.1-S0.5-T0.9-D0,0.2,1.5,0.1,0.5,0.9,0,0.012893375688287445,0.014333770515931123,0.013873868739467238,"[0.0,0.25,0.25,0.0]",0.9679148081830435,0.9293280721050382
H0.2-I1.5-N0.1-S0.5-T0.9-D1,0.2,1.5,0.1,0.5,0.9,1,0.01251721267224142,0.013756052946549361,0.013104270843393967,"[0.1,0.25,0.25,0.1]",0.9526185232284315,0.9552010044535603
H0.2-I1.5-N0.1-S0.5-T0.9-D3,0.2,1.5,0.1,0.5,0.9,3,0.011202353876478098,0.01309521993708768,0.01169507954114054,"[0.1,0.5,0.5,0.1]",0.8930800396882432,0.9578689770403743
H0.2-I1.5-N0.1-S0.9-T0-D0,0.2,1.5,0.1,0.9,0.0,0,0.002040828143196262,0.002040823431041258,0.002040823431041258,"[0.0,0.0,0.0,0.0]",1.0,1.000002308947914
H0.2-I1.5-N0.1-S0.9-T0-D1,0.2,1.5,0.1,0.9,0.0,1,0.002040502360622618,0.002040823431041258,0.002040169772870315,"[0.0,0.1,0.1,0.0]",0.9996797086112397,1.000163019645093
H0.2-I1.5-N0.1-S0.9-T0-D3,0.2,1.5,0.1,0.9,0.0,3,0.001979041309987647,0.002040823431041258,0.001972988082909525,"[0.0,0.1,0.1,0.0]",0.9667607951281104,1.0030680505019551
H0.2-I1.5-N0.1-S0.9-T0.6-D0,0.2,1.5,0.1,0.9,0.6,0,0.006424726840582962,0.006598364379695199,0.006598364379695199,"[0.0,0.0,0.0,0.0]",1.0,0.9736847604769203
H0.2-I1.5-N0.1-S0.9-T0.6-D1,0.2,1.5,0.1,0.9,0.6,1,0.006308651266363615,0.006598364379695199,0.006431790457609701,"[0.0,0.1,0.1,0.0]",0.974755270776181,0.9808546015207329
H0.2-I1.5-N0.1-S0.9-T0.6-D3,0.2,1.5,0.1,0.9,0.6,3,0.0059373808121947445,0.006413657780125124,0.006040746899352478,"[0.0,0.25,0.25,0.0]",0.9418567542022221,0.982888525395955
H0.2-I1.5-N0.1-S0.9-T0.9-D0,0.2,1.5,0.1,0.9,0.9,0,0.013572676793790017,0.014676410958827277,0.014642086881456184,"[0.0,0.1,0.1,0.0]",0.9976612758073221,0.9269632739974691
H0.2-I1.5-N0.1-S0.9-T0.9-D1,0.2,1.5,0.1,0.9,0.9,1,0.013277951973678597,0.01434198888385834,0.01396800233863751,"[0.0,0.25,0.25,0.0]",0.9739236623142453,0.9505977771030196
H0.2-I1.5-N0.1-S0.9-T0.9-D3,0.2,1.5,0.1,0.9,0.9,3,0.011861588161095872,0.013363917801901135,0.012520927784885038,"[0.1,0.25,0.25,0.1]",0.9369204428288107,0.9473409930065162
H0.2-I1.5-N0.5-S0-T0-D0,0.2,1.5,0.5,0.0,0.0,0,0.008795031395488144,0.009440031899370831,0.008754181923728089,"[0.1,0.5,0.5,0.1]",0.927346646393382,1.0046662808833495
H0.2-I1.5-N0.5-S0-T0-D1,0.2,1.5,0.5,0.0,0.0,1,0.008538478760496229,0.009279367772730033,0.008446960858389996,"[0.1,0.5,0.5,0.1]",0.9102948676324379,1.0108344176847146
