rho,policy,num_agents,eta,finite_mse,spectral_radius,risk_ratio_to_joint_oracle
0.0,joint_oracle,32,0.009864763668252936,0.0002705226772750333,0.98939500069543,1.0
0.0,delay_only,32,0.009864763668252936,0.0002705226772750333,0.98939500069543,1.0
0.0,single_agent_oracle_eta,1,0.007496479365920988,0.00616244347704116,0.992503520634079,22.779766706123368
0.0,all_agents_oracle_eta,32,0.009864763668252936,0.0002705226772750333,0.98939500069543,1.0
0.1,joint_oracle,32,0.006242680759524585,0.012794874498167944,0.9934759134744657,1.0
0.1,delay_only,32,0.009864763668252936,0.01724923224011232,0.98939500069543,1.3481361026700325
0.1,single_agent_oracle_eta,1,0.006242680759524585,0.016971698524487256,0.9937573192404754,1.3264450954104612
0.1,all_agents_oracle_eta,32,0.006242680759524585,0.012794874498167944,0.9934759134744657,1.0
0.3,joint_oracle,32,0.005198582049395212,0.03286825766844838,0.9946090420688298,1.0
0.3,delay_only,32,0.009864763668252936,0.05120665136578689,0.98939500069543,1.5579362886321264
0.3,single_agent_oracle_eta,1,0.005198582049395212,0.03566025463905298,0.9948014179506048,1.084945085887067
0.3,all_agents_oracle_eta,32,0.005198582049395212,0.03286825766844838,0.9946090420688298,1.0
0.5,joint_oracle,32,0.004743968439144176,0.05051185346842905,0.9950968106299288,1.0
0.5,delay_only,32,0.009864763668252936,0.08516407049146156,0.98939500069543,1.686021490870274
0.5,single_agent_oracle_eta,1,0.004743968439144176,0.05236277436292891,0.9952560315608558,1.0366432979074254
0.5,all_agents_oracle_eta,32,0.004743968439144176,0.05051185346842905,0.9950968106299288,1.0
0.7,joint_oracle,32,0.004329110580107935,0.06657859734625787,0.9955390324509341,1.0
0.7,delay_only,32,0.009864763668252936,0.11912148961713627,0.98939500069543,1.7891859300912658
0.7,single_agent_oracle_eta,1,0.004329110580107935,0.06777730745997998,0.995670889419892,1.0180044362828482
0.7,all_agents_oracle_eta,32,0.004329110580107935,0.06657859734625787,0.9955390324509341,1.0
0.9,joint_oracle,32,0.003950531850119864,0.08166438811394552,0.9959402151078036,1.0
0.9,delay_only,32,0.009864763668252936,0.1530789087428109,0.98939500069543,1.8744879166818884
0.9,single_agent_oracle_eta,1,0.003950531850119864,0.08244223499743167,0.9960494681498802,1.0095249214676147
0.9,all_agents_oracle_eta,32,0.003950531850119864,0.08166438811394552,0.9959402151078036,1.0
0.99,joint_oracle,32,0.003950531850119864,0.0881082010622267,0.9959402151078036,1.0
0.99,delay_only,32,0.009864763668252936,0.16835974734936401,0.98939500069543,1.9108294723945098
0.99,single_agent_oracle_eta,1,0.003950531850119864,0.08848630012983116,0.9960494681498802,1.004291303908673
0.99,all_agents_oracle_eta,32,0.003950531850119864,0.0881082010622267,0.9959402151078036,1.0
