alignment,horizon,num_agents,eta,rho,mean_delay,max_delay,stable,spectral_radius,finite_mse,stationary_mse,squared_bias,finite_variance
sample_time,25,1,0.02,0.9,0.0,0,True,0.98,0.4618584687333478,0.25591629030954066,0.3641696800871165,0.09768878864623134
sample_time,25,2,0.02,0.9,0.0,0,True,0.98,0.4613854188207864,0.25516499627466455,0.3641696800871165,0.0972157387336699
sample_time,25,4,0.02,0.9,0.0,0,True,0.98,0.46114889386450564,0.25478934925722646,0.3641696800871165,0.09697921377738919
sample_time,25,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.45760069381661306,0.2572903827578354,0.3587079313544932,0.09889276246211987
sample_time,25,16,0.02,0.9,2.375,6,True,0.978945387467499,0.4498890240370764,0.26300992401711687,0.3470599148575173,0.10282910917955915
sample_time,25,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.4282732530440041,0.2776551003140015,0.31920242734583837,0.10907082569816576
sample_time,50,1,0.02,0.9,0.0,0,True,0.98,0.3200299657073548,0.25591629030954066,0.13261955589475277,0.18741040981260204
sample_time,50,2,0.02,0.9,0.0,0,True,0.98,0.31937999974548814,0.25516499627466455,0.13261955589475277,0.18676044385073537
sample_time,50,4,0.02,0.9,0.0,0,True,0.98,0.31905501676455483,0.25478934925722646,0.13261955589475277,0.18643546086980203
sample_time,50,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.3180894429998468,0.2572903827578354,0.12855962230867404,0.18952982069117277
sample_time,50,16,0.02,0.9,2.375,6,True,0.978945387467499,0.3161720897606896,0.26300992401711687,0.11976438210223089,0.19640770765845872
sample_time,50,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.3099168336253486,0.2776551003140015,0.09666425824442927,0.21325257538091932
sample_time,100,1,0.02,0.9,0.0,0,True,0.98,0.2634505269303801,0.25591629030954066,0.01758794660572145,0.24586258032465866
sample_time,100,2,0.02,0.9,0.0,0,True,0.98,0.2627126709795462,0.25516499627466455,0.01758794660572145,0.24512472437382474
sample_time,100,4,0.02,0.9,0.0,0,True,0.98,0.2623437430041292,0.25478934925722646,0.01758794660572145,0.24475579639840775
sample_time,100,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.26414262104972536,0.2572903827578354,0.016513221438362632,0.24762939961136274
sample_time,100,16,0.02,0.9,2.375,6,True,0.978945387467499,0.26840293408520194,0.26300992401711687,0.014261792805052105,0.2541411412801498
sample_time,100,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.27968382911155715,0.2776551003140015,0.00886044878232911,0.27082338032922804
sample_time,200,1,0.02,0.9,0.0,0,True,0.98,0.25604444258081616,0.25591629030954066,0.00030933586580570875,0.25573510671501043
sample_time,200,2,0.02,0.9,0.0,0,True,0.98,0.2552933848942447,0.25516499627466455,0.00030933586580570875,0.25498404902843896
sample_time,200,4,0.02,0.9,0.0,0,True,0.98,0.2549178560509589,0.25478934925722646,0.00030933586580570875,0.2546085201851532
sample_time,200,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.2573993181660326,0.2572903827578354,0.0002724496400449933,0.25712686852598765
sample_time,200,16,0.02,0.9,2.375,6,True,0.978945387467499,0.26308277398844904,0.26300992401711687,0.0002022399791600176,0.262880534009289
sample_time,200,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.27766965913726604,0.2776551003140015,7.444483970981085e-05,0.27759521429755624
sample_time,500,1,0.02,0.9,0.0,0,True,0.98,0.2559162910056555,0.25591629030954066,1.682967357215902e-09,0.2559162893226881
sample_time,500,2,0.02,0.9,0.0,0,True,0.98,0.25516499697206524,0.25516499627466455,1.682967357215902e-09,0.25516499528909786
sample_time,500,4,0.02,0.9,0.0,0,True,0.98,0.2547893499552701,0.25478934925722646,1.682967357215902e-09,0.2547893482723027
sample_time,500,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.25729038324619335,0.2572903827578354,1.2236283757893323e-09,0.257290382022565
sample_time,500,16,0.02,0.9,2.375,6,True,0.978945387467499,0.2630099242243102,0.26300992401711687,5.766943269335879e-10,0.2630099236476159
sample_time,500,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.2776551003225347,0.2776551003140015,4.415412046080976e-11,0.2776551002783806
sample_time,1000,1,0.02,0.9,0.0,0,True,0.98,0.25591629030954066,0.25591629030954066,2.8323791254542753e-18,0.25591629030954066
sample_time,1000,2,0.02,0.9,0.0,0,True,0.98,0.25516499627466455,0.25516499627466455,2.8323791254542753e-18,0.25516499627466455
sample_time,1000,4,0.02,0.9,0.0,0,True,0.98,0.25478934925722646,0.25478934925722646,2.8323791254542753e-18,0.25478934925722646
sample_time,1000,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.2572903827578354,0.2572903827578354,1.4959659491991186e-18,0.2572903827578354
sample_time,1000,16,0.02,0.9,2.375,6,True,0.978945387467499,0.26300992401711687,0.26300992401711687,3.3068167191508156e-19,0.26300992401711687
sample_time,1000,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.2776551003140015,0.2776551003140015,1.8486965743423446e-21,0.2776551003140015
sample_time,2000,1,0.02,0.9,0.0,0,True,0.98,0.25591629030954066,0.25591629030954066,8.022371510309123e-36,0.25591629030954066
sample_time,2000,2,0.02,0.9,0.0,0,True,0.98,0.25516499627466455,0.25516499627466455,8.022371510309123e-36,0.25516499627466455
sample_time,2000,4,0.02,0.9,0.0,0,True,0.98,0.25478934925722646,0.25478934925722646,8.022371510309123e-36,0.25478934925722646
sample_time,2000,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.2572903827578354,0.2572903827578354,2.2359703777081672e-36,0.2572903827578354
sample_time,2000,16,0.02,0.9,2.375,6,True,0.978945387467499,0.26300992401711687,0.26300992401711687,1.0872740325088755e-37,0.26300992401711687
sample_time,2000,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.2776551003140015,0.2776551003140015,3.240816438808503e-42,0.2776551003140015
server_time,25,1,0.02,0.9,0.0,0,True,0.98,0.4618584687333478,0.25591629030954066,0.3641696800871165,0.09768878864623134
server_time,25,2,0.02,0.9,0.0,0,True,0.98,0.4613854188207864,0.25516499627466455,0.3641696800871165,0.0972157387336699
