cell_id,task,delay,message_overhead,rho,oracle_active,controller_mean_risk,strong_fixed_mean_risk,true_rho_oracle_mean_risk,controller_to_strong_ratio,controller_to_oracle_ratio,median_selected_q
cliffwalking-D0-H32-R0,cliffwalking,0,32,0.0,False,1.035296080679095,0.9904495020050705,0.9904495020050705,1.0452790158238625,1.0452790158238625,16.0
cliffwalking-D0-H32-R0.1,cliffwalking,0,32,0.1,False,1.6602597604235378,1.568962002393789,1.568962002393789,1.0581899102020664,1.0581899102020664,16.0
cliffwalking-D0-H32-R0.3,cliffwalking,0,32,0.3,False,2.7093491464409616,3.0616391680933837,3.0616391680933837,0.8849341799243415,0.8849341799243415,10.0
cliffwalking-D0-H32-R0.5,cliffwalking,0,32,0.5,True,3.249798378980577,3.5682289038111676,3.4034970281083146,0.9107595018664637,0.9548409627338019,4.0
cliffwalking-D0-H32-R0.7,cliffwalking,0,32,0.7,True,15.217945893701792,5.205773739502832,14.825238804974544,2.9232822353042094,1.026489090253,4.0
cliffwalking-D0-H32-R0.9,cliffwalking,0,32,0.9,True,12.887020808443708,10.215358922249663,12.414148057296728,1.261533824364703,1.0380914380080264,1.0
cliffwalking-D0-H32-R1,cliffwalking,0,32,1.0,True,8.634384740028619,11.245748219936846,8.244274256017365,0.7677910416597525,1.0473189600317478,1.0
cliffwalking-D0-H8-R0,cliffwalking,0,8,0.0,True,1.1452597231069204,1.407519986177535,1.1240361764170275,0.8136720859056172,1.018881551266032,16.0
cliffwalking-D0-H8-R0.1,cliffwalking,0,8,0.1,True,1.085794681333007,2.696634440873713,0.5637072426321029,0.40264808046477674,1.9261676970179333,16.0
cliffwalking-D0-H8-R0.3,cliffwalking,0,8,0.3,False,3.3990972601834386,3.3125031351331873,3.3125031351331873,1.0261415979148256,1.0261415979148256,4.0
cliffwalking-D0-H8-R0.5,cliffwalking,0,8,0.5,False,2.7395128158309063,2.6909584151408215,2.6909584151408215,1.0180435343842145,1.0180435343842145,4.0
cliffwalking-D0-H8-R0.7,cliffwalking,0,8,0.7,True,3.7643571456546376,4.197154964938271,3.822234800670895,0.8968830498518421,0.9848576400889609,1.0
cliffwalking-D0-H8-R0.9,cliffwalking,0,8,0.9,True,4.884808713973733,8.592758960967387,4.783185469839273,0.5684796624882624,1.0212459342785791,1.0
cliffwalking-D0-H8-R1,cliffwalking,0,8,1.0,True,5.279695500621669,5.5490246945425765,5.1068904764320955,0.95146368799083,1.0338376209529174,1.0
cliffwalking-D8-H32-R0,cliffwalking,8,32,0.0,False,1.0546378171368438,1.065804485514964,1.065804485514964,0.9895227797125241,0.9895227797125241,16.0
cliffwalking-D8-H32-R0.1,cliffwalking,8,32,0.1,False,1.2709808604481267,1.2381775735530771,1.2381775735530771,1.0264932006488514,1.0264932006488514,16.0
cliffwalking-D8-H32-R0.3,cliffwalking,8,32,0.3,False,7.899670358783618,7.611435226119525,7.611435226119525,1.0378686967833584,1.0378686967833584,16.0
cliffwalking-D8-H32-R0.5,cliffwalking,8,32,0.5,True,10.841718323028225,6.780962194419859,10.263555660661918,1.5988465961290885,1.056331614645233,4.0
